"Station_numBDQA","Station_AASQA","Station_nom","Station_rue","Station_codepost","Station_ville","Station_latitude","Station_longitude","Station_Typologie","Station_commentaire"
"08016","Air Languedoc-Roussillon","Près d'Arènes","Rue de la bandido",34000,"Montpellier","43,591486","3,886814","urbain",
"08017","Air Languedoc-Roussillon","Périurbaine Sud ","Rue des camélias",34970,"Lattes","43,570549","3,911678","périurbain",
"08209","Air Languedoc-Roussillon","Gard Rhodanien 2","Chemin du stade",30650,"SAZE","43,94263","4,679579","industrielle",
"08004","Air Languedoc-Roussillon"," ","Bd Clémenceau",34000,"Montpellier","43,605066","3,874638","trafic",
"08018","Air Languedoc-Roussillon","Périurbaine Nord","Rue de la rompude",34980,"SAINT GELY DU FESC","43,692637","3,800213","périurbain",
"08250","Air Languedoc-Roussillon","GarNor01","Rue jean Vilar",30290,"LAUDUN","44,097913","4,702306","industrielle",
"08251","Air Languedoc-Roussillon","GarNor02","Marillac",30150,"St Geniès de Comolas","44,073039","4,71841","industrielle",
"08020","Air Languedoc-Roussillon","Lunel-Viel","Stade de Lunel-Viel",34400,"Lunel-Viel","43,675769","4,088383","industrielle",
"08204","Air Languedoc-Roussillon","Gard Rhodanien 1","Route de vallabregues",30300,"Vallabrègues","43,82916","4,642951","industrielle",
"08003","Air Languedoc-Roussillon","Chaptal"," Bd des arceaux",34000,"Montpellier","43,611344","3,866262","urbain",
"08617","Air Languedoc-Roussillon","La Calmette","Rue du moulin à  vent",30190,"LA CALMETTE","43,925395","4,265812","périurbain",
"08614","Air Languedoc-Roussillon","Nîmes Sud","Rue de Tunis",30000,"Nîmes","43,834404","4,374186","urbain",
"08616","Air Languedoc-Roussillon","Nîmes trafic","Place du 19 mars 1962",30000,"Nîmes","43,829897","4,361988","trafic",
"08714","Air Languedoc-Roussillon","Perpignan Centre","Rue Waldeck Rousseau",66000,"Perpignan","42,695548","2,900528","urbain",
"08713","Air Languedoc-Roussillon","Perpignan Sud","Bd du Foment de sardane",66000,"Perpignan","42,683533","2,903513","urbain",
"08712","Air Languedoc-Roussillon","Périphérie Perpignan","Av. Baïxas",66240,"SAINT ESTEVE","42,719828","2,839883","périurbain",
"08022","Air Languedoc-Roussillon","Agathois-Piscénois","Rue Labech",34300,"Le Cap d'Agde","43,287476","3,504841","périurbain",
"08023","Air Languedoc-Roussillon","Biterrois-Narbonnais","Chemin Chartreuse",34490,"Corneilhan","43,406812","3,188778","rurale régionale",
"08025","Air Languedoc-Roussillon","Haut-Languedoc","l'Ayrolle",34330,"Fraisse sur Agout","43,594403","2,802958","rurale régionale",
"08030","Air Languedoc-Roussillon","Montpellier trafic","Av de la pompignane",34000,"Montpellier","43,609606","3,898782","trafic",
"08618","Air Languedoc-Roussillon","Alès-Cévennes","Chemin des blacous",30340,"Saint-Privat-des-Vieux","44,142444","4,13832","périurbain",
