"Demandeurs d'emploi inscrits à Pôle Emploi (2009)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Données par ZUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : ZUS de l'agglomération 34701-Montpellier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Pôle Emploi, traitement Insee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"reg","uu","zus","nom","note","A","BCatABC","BCatA","BCatB","BCatC","BCatD","BCatE","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","BEH","BEF","BFor6","BFor5","BFor4","BFor3","BFor12","BDur1","BDur2","BDur3","BDur4","BIns1","BIns2","BIns3","BRecu","BQal1","BQal2","BQal3","BQal4","BQal5","BInd","BRmi"
"Code région","Code unité urbaine (agglomération)","Code ZUS","Nom de la zone","Disponibilité (voir documentation)","DEFM toutes catégories","Catégorie A, B ou C","Catégorie A","Catégorie B","Catégorie C","Catégorie D","Catégorie E","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Niveau de formation : Sortie avant troisième","Niveau de formation : CEP SES","Niveau de formation : BEPC BEP CAP","Niveau de formation : Bac, BTn, BT, BP","Niveau de formation : Bac+2 et plus","Durée du chômage : Moins de 6 mois","Durée du chômage : 6 mois à moins d'un an","Durée du chômage : un an à moins de deux ans","Durée du chômage : plus de deux ans","Motif d'inscription : 1ère entrée sur le marché du travail","Motif d'inscription : Licenciement","Motif d'inscription : Fin de CDD","Réinscription depuis moins de 7 mois d’intervalle","Niveau de qualification : Manoeuvres ou ouvriers spécialisés","Niveau de qualification : Ouvriers qualifiés","Niveau de qualification : Employés non qualifiés","Niveau de qualification : Employés qualifiés","Niveau de qualification : Cadres, techniciens, agents de maitrise","Indemnisés","Titulaires du Revenu Minimum d'Insertion ou du revenu de Solidarité active"
"91","34701","9105030","GELY-FIGUEROLLES",0,259,227,168,25,34,11,21,127,100,19,22,94,65,14,13,44,33,11,38,22,57,60,49,121,31,39,36,9,28,52,80,21,21,57,101,25,120,79
"91","34701","9105040","LA PAILLADE",0,2260,2079,1615,224,240,49,131,1271,808,247,192,817,495,207,121,808,553,255,581,274,673,298,242,1087,332,393,267,111,356,370,776,273,453,595,633,111,1122,542
"91","34701","9105050","LES CEVENNES",0,900,808,593,98,117,34,58,452,356,75,107,318,206,59,43,283,177,106,162,53,207,155,227,416,163,138,91,44,117,199,268,82,129,175,276,141,456,171
"91","34701","9105060","PAS DU LOUP,VAL DE CROZE,PAUL VALERY",0,655,607,456,72,79,16,32,350,257,76,47,226,171,48,39,111,67,44,80,72,243,107,104,279,129,119,80,22,110,133,208,65,88,127,266,59,349,127
"91","34701","9105070","PETIT BARD,PERGOLA",0,742,697,542,75,80,17,28,470,227,110,83,292,118,68,26,381,279,102,220,88,209,112,64,366,138,118,75,58,89,131,270,122,188,184,166,32,381,178
