"Population salariée (2008)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Données par ZUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : ZUS de l'agglomération 34701-Montpellier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Exploitation des Déclarations Annuelles des Données sociales (DADS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"reg","uu","zus","nom","note","A","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","XEH","XEF","BTc","BTp","BCsC","BCs4","BCs5","BCs6","BCs6Q","BCs6NQ","BTypeA","BDom2","BDom3","BDom4","BDom5","BDom6","BDom7","BDom8","BDom9","CA17AZ","CA17DE","CA17C1","CA17C2","CA17C3","CA17C4","CA17C5","CA17FZ","CA17GZ","CA17HZ","CA17IZ","CA17JZ","CA17KZ","CA17LZ","CA17MN","CA17OQ","CA17RU"
"Code région","Code unité urbaine (agglomération)","Code ZUS","Nom de la zone","Disponibilité (voir documentation)","Salariés","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Temps complet","Temps partiel","CSP des salariés : Chefs d’entreprises et cadres","CSP des salariés : Professions intermédiaires","CSP des salariés : Employés","CSP des salariés : Ouvriers","CSP des salariés : Ouvriers qualifiés","CSP des salariés : Ouvriers non qualifiés","CSP des salariés : Apprentis","Domaine d'emploi : Collectivités territoriales","Domaine d'emploi : Établissements publics locaux","Domaine d'emploi : Établissements sanitaires et médico-sociaux","Domaine d'emploi : Établissements publics nationaux","Domaine d'emploi : EPIC","Domaine d'emploi : Associations","Domaine d'emploi : Entreprises individuelles et particuliers employeurs","Domaine d'emploi : Sociétés","Activité A17 : AZ-Agriculture, sylviculture, et pêche","Activité A17 : DE-Industries extractives,  énergie, eau, gestion des déchets et dépollution","Activité A17 : C1-Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac","Activité A17 : C2-Cokéfaction et raffinage","Activité A17 : C3-Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Activité A17 : C4-Fabrication de matériels de transport","Activité A17 : C5-Fabrication d'autres produits industriels","Activité A17 : FZ-Construction","Activité A17 : GZ-Commerce ; réparation d'automobiles et de motocycles","Activité A17 : HZ-Transports et entreposage","Activité A17 : IZ-Hébergement et restauration","Activité A17 : JZ-Information et communication","Activité A17 : KZ-Activités financières et d'assurance","Activité A17 : LZ-Activités immobilières","Activité A17 : MN-Activités scientifiques et techniques ; services administratifs et de soutien","Activité A17 : OQ-Administration publique, enseignement, santé humaine et action sociale","Activité A17 : RU-Autres activités de services"
"91","34701","9105030","GELY-FIGUEROLLES",0,727,401,326,92,70,251,197,58,59,146,95,51,426,298,58,115,258,240,112,128,15,72,16,26,18,9,140,51,395,6,21,10,0,3,2,12,41,72,22,49,22,12,2,172,204,77
"91","34701","9105040","LA PAILLADE",0,4943,2996,1947,675,467,1809,1158,512,322,1618,1152,466,2993,1941,98,475,1642,2474,1181,1293,99,340,79,141,44,50,520,468,3301,16,47,42,0,38,3,91,759,512,154,273,67,47,37,1657,1042,158
"91","34701","9105050","LES CEVENNES",0,2769,1419,1350,318,365,919,753,182,232,585,389,196,1921,845,313,597,934,781,401,380,48,122,42,202,118,40,352,188,1705,11,11,36,0,30,6,50,217,317,64,188,82,62,39,789,696,171
"91","34701","9105060","PAS DU LOUP,VAL DE CROZE,PAUL VALERY",0,2118,1116,1002,226,165,724,659,166,178,368,225,143,1423,686,138,373,869,641,325,316,40,204,54,100,29,43,266,145,1277,6,47,19,0,15,1,57,146,294,86,129,43,57,32,474,584,128
"91","34701","9105070","PETIT BARD,PERGOLA",0,1501,960,541,282,167,531,303,147,71,740,531,209,959,540,14,111,413,889,448,441,28,64,20,33,14,21,177,152,1020,26,13,20,0,10,2,20,272,127,37,71,8,13,11,567,254,50
