Identifiant Observation,Ordre Observation,Nom Sélectionné,Numéro Nomenclatural Nom Selectionné,Nom Retenu,Numéro Nomenclatural Nom Retenu,Numéro Taxonomique,Famille,Référentiel Taxonomique,Code Insee,Commune,Lieu-Dit,Station,Milieu,Latitude,Longitude,Référentiel Géographique,Date Observation,Mots Clés,Commentaires,Date Création,Date Modification,Date Transmission
71,12,Allium ursinum,74946,Allium ursinum L.,74946,29938,Amaryllidaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin botanique,,,"43,61528","3,87174",WGS84,2007-04-18 00:00:00,,234,2007-04-18 11:44:04,2010-05-06 18:34:30,2007-05-27 19:13:18
72,11,Scrophularia canina,61979,Scrophularia canina,61979,5459,Scrophulariaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin botanique,,,,,,2007-04-18 00:00:00,,234,2007-04-18 11:43:20,2007-05-27 19:13:18,2007-05-27 19:13:18
85,1,Acer monspessulanum,182,Acer monspessulanum L.,182,8523,Sapindaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin des plantes,,,,,,2007-05-10 00:00:00,,,2007-05-10 10:28:02,2007-05-10 10:29:23,2007-05-10 10:28:36
3710,9,Diplotaxis erucoides (L.) DC.,75095,Diplotaxis erucoides (L.) DC.,75095,30087,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Plan des 4 seigneurs,,,,,,2008-03-05 00:00:00,,,2008-03-05 23:25:53,2008-03-05 23:27:12,2008-03-05 23:27:12
3711,10,Capsella bursa-pastoris (L.) Medik.,75016,Capsella bursa-pastoris (L.) Medik.,75016,30008,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-06 00:00:00,,,2008-03-06 19:35:31,2008-03-07 21:29:57,2008-03-06 19:35:44
3757,51,Sonchus oleraceus L.,65205,Sonchus oleraceus L.,65205,1232,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:25:47,2008-03-07 21:27:40,2008-03-07 21:27:40
3758,52,Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:27:09,2008-03-07 21:27:40,2008-03-07 21:27:40
3759,53,Veronica persica Poir.,71290,Veronica persica Poir.,71290,5522,Plantaginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:51:51,2008-03-07 21:52:15,2008-03-07 21:52:15
3788,80,Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-09 11:15:48,2008-03-09 11:22:08,2008-03-09 11:22:08
3789,81,Euphorbia helioscopia L.,25914,Euphorbia helioscopia L.,25914,2710,Euphorbiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-09 11:19:56,2008-03-09 11:22:08,2008-03-09 11:22:08
3804,82,Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-11 21:00:32,2008-03-11 21:00:40,2008-03-11 21:00:40
3814,83,Symphytum orientale L.,66629,Symphytum orientale L.,66629,1460,Boraginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin des plantes,,,,,,2008-03-14 00:00:00,,,2008-03-14 22:19:03,2008-03-14 22:19:17,2008-03-14 22:19:17
3877,84,Ornithogalum umbellatum L.,46526,Ornithogalum umbellatum L.,46526,6360,Asparagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-24 00:00:00,,,2008-03-24 20:58:21,2008-03-24 21:06:05,2008-03-24 21:06:05
4316,96,Scrophularia peregrina L.,62024,Scrophularia peregrina L.,62024,5465,Scrophulariaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Centre Ville,,,,,,2008-04-11 00:00:00,,,2008-04-11 21:22:40,2008-04-11 21:22:44,2008-04-11 21:22:44
6797,6495,Arundo donax L.,7099,Arundo donax L.,7099,6639,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-13 16:45:46,2008-06-19 16:02:36,2010-10-27 15:39:24
6800,6498,Bromus madritensis L.,10881,Bromus madritensis L.,10881,6708,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-13 16:47:05,2008-06-19 17:58:26,2010-10-27 15:39:24
6825,6509,Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:45:15,2008-06-19 18:34:24,2010-10-27 15:39:24
6828,6512,Hordeum murinum L.,34857,Hordeum murinum L.,34857,6955,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:50:20,2008-06-19 16:01:43,2010-10-27 15:39:24
6832,6516,Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:51:58,2008-06-19 16:12:39,2010-10-27 15:39:24
6834,6518,Papaver rhoeas L.,75277,Papaver rhoeas L.,75277,30269,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:53:44,2008-06-19 16:13:52,2010-10-27 15:39:24
6835,6519,Phalaris arundinacea L.,48632,Phalaris arundinacea L.,48632,7043,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:54:06,2008-06-19 17:57:22,2010-10-27 15:39:24
6843,6527,Urtica dioica L.,70396,Urtica dioica L.,70396,14875,Urticaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:58:43,2008-06-19 17:56:15,2010-10-27 15:39:24
6881,6564,Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,1468,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:22:57,2008-06-27 19:49:09,2010-10-27 15:39:24
6884,6567,Artemisia annua L.,6765,Artemisia annua L.,6765,430,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:25:55,2008-06-29 11:16:53,2010-10-27 15:39:24
6885,6568,Arum italicum Mill.,7024,Arum italicum Mill.,7024,8677,Araceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:26:41,2008-06-29 11:16:29,2010-10-27 15:39:24
6886,6569,Asparagus acutifolius L.,7214,Asparagus acutifolius L.,7214,6269,Asparagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:27:01,2008-06-29 11:16:01,2010-10-27 15:39:24
6887,6570,Avena fatua L.,75451,Avena sativa subsp. fatua (L.) Thell.,101790,6645,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:27:23,2008-06-29 11:15:39,2010-10-27 15:39:24
6888,6571,Ballota nigra L.,9097,Ballota nigra L.,9097,3523,Lamiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:28:32,2008-06-29 11:13:03,2010-10-27 15:39:24
6889,6572,Bellis perennis L.,9408,Bellis perennis L.,9408,493,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:28:50,2008-06-29 11:12:30,2010-10-27 15:39:24
6892,6575,Bromus madritensis L.,10881,Bromus madritensis L.,10881,6708,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:30:08,2008-06-29 11:12:07,2010-10-27 15:39:24
6893,6576,Bromus sterilis L.,11176,Bromus sterilis L.,11176,6720,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:30:33,2008-06-27 19:48:06,2010-10-27 15:39:24
6894,6577,Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:30:53,2008-06-29 11:11:42,2010-10-27 15:39:24
