"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
9333,"Rue des Augustins","Non","0,75","Non","2,25","Non_Non","55,8912040938",6904
18379,"Place Yitzhak Rabin","Non",0,"Non","1,9","Non_Non","9,1889170706",7540
13154,"Rue des Manguiers","Oui","2,3","Non",0,"Oui_Non","470,707475974",6628
4594,"Rue des Rêves","Non","0,5","Non","0,5","Non_Non","106,958862701",4283
4229,"Rue Ferdinand Fabre","Non","4,5","Non",2,"Non_Non","22,1848388752",5074
1976,"Rue André-Marie Ampère","Non","1,4","Non","2,85","Non_Non","130,939920648",3209
1349,"Rue Rogier de Mirepoix","Non",0,"Non",0,"Non_Non","116,317542368",3066
4630,"Rue Gustave","Non","1,7","Non","0,65","Non_Non","25,1552516443",5194
15856,"Voie non dénommée","Non",0,"Non","5,15","Non_Non","47,3385108081",7200
2140,"Rue du Pont de Lavérune","Non","1,4","Non","1,45","Non_Non","134,746609389",3586
7016,"Cour du Raisin","Non",0,"Oui","12,2","Non_Oui","98,5828122365",6533
1092,"Rue des Marels","Non","1,2","Non",0,"Non_Non","663,335938684",3105
1407,"Rue du Mas de Bringaud","Non","1,4","Non",0,"Non_Non","199,397965887",2780
3409,"Avenue du Professeur Emile Jeanbrau","Non","1,35","Non","1,1","Non_Non","207,325100125",4486
4207,"Rue du Faubourg Saint Jaumes","Non","1,3","Non","4,35","Non_Non","115,536139541",5064
1822,"Route de Lavérune","Non","1,45","Non","1,4","Non_Non","62,7807191728",3133
7014,"Rue de la Spirale","Non","0,9","Oui",5,"Non_Oui","38,7218769923",6602
1783,"Rue de Font Couverte","Non","1,8","Non","1,45","Non_Non","88,660859743",3389
6386,"Avenue des Moulins","Non","10,15","Oui","3,85","Non_Oui","62,5785442289",6594
3388,"Boulevard des Sports","Non","1,1","Non","6,2","Non_Non","54,3785495806",4470
7387,"Boulevard Sarrail",,0,"Oui",2,"_Oui","11,8881662358",6618
