"OBJECTID","NOMOBJ","NUMOBJ","MARQUE","SUPPORT","DIM","CDCOM","BISTER","CDRUE","NORUE","METRAGE","QUART","SSQUART","CANTON","OBSERV","Coord_x","Coord_y"
1,"P.A.L","359,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"618,00000000000","161,00000000000","0,00000000000","3","9","10",,"3,83295549076392","43,606299264524"
2,"P.A.L","338,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1781,00000000000","0,00000000000","0,00000000000","3","9","8",,"3,83791687340066","43,6069187679286"
3,"P.A.L","335,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1781,00000000000","0,00000000000","0,00000000000","3","9","8",,"3,83794159675619","43,6070746382555"
4,"P.A.L","337,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1781,00000000000","0,00000000000","0,00000000000","3","9","8",,"3,83805436498566","43,6069817675208"
5,"P.A.L","336,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1781,00000000000","0,00000000000","0,00000000000","3","9","8",,"3,83806965275492","43,6071516271985"
11,"P.A.L","348,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"857,00000000000","65,00000000000","0,00000000000","2","6","10",,"3,82956433922029","43,6119754950398"
12,"P.A.L","344,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1731,00000000000","1142,00000000000","0,00000000000","3","7","10",,"3,83360969123867","43,610832488852"
25,"P.A.L","378,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1568,00000000000","2300,00000000000","0,00000000000","1","2","9",,"3,83409485340622","43,621334158507"
26,"P.A.L","361,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2300,00000000000","0,00000000000","0,00000000000","1","2","9",,"3,83398529627439","43,6212058146268"
27,"P.A.L","282,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1794,00000000000","388,00000000000","0,00000000000","4","14","6",,"3,8560364002707","43,5848001044581"
40,"P.A.L","209,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2100,00000000000","0,00000000000","0,00000000000","4","13","8",,"3,84496653473669","43,5964275564169"
41,"P.A.L","324,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1363,00000000000","25,00000000000","0,00000000000","3","9","8",,"3,84276829959791","43,5994272327286"
46,"P.A.L","331,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"864,00000000000","803,00000000000","0,00000000000","3","10","8",,"3,84461925522358","43,6043525360166"
48,"P.A.L","213,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1695,00000000000","0,00000000000","0,00000000000","3","10","8",,"3,81758913608852","43,6230021551578"
49,"P.A.L","212,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1695,00000000000","0,00000000000","0,00000000000","3","10","8",,"3,81766203397267","43,6245037046097"
50,"P.A.L","211,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1363,00000000000","40,00000000000","0,00000000000","3","9","8",,"3,85361975300542","43,6022887338773"
51,"P.A.L","321,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1046,00000000000","575,00000000000","0,00000000000","4","11","8",,"3,8558129011704","43,5995080116618"
52,"P.A.L","210,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1046,00000000000","268,00000000000","0,00000000000","4","11","7",,"3,85705846658255","43,6017683854292"
53,"P.A.L","319,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1363,00000000000","30,00000000000","0,00000000000","3","9","8","ANGLE/ROC DE PEZENAS","3,85554226615618","43,6029045295862"
57,"P.A.L","246,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1062,00000000000","3,00000000000","0,00000000000","4","12","6",,"3,86904232110118","43,592677252504"
58,"P.A.L","247,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2139,00000000000","0,00000000000","0,00000000000","4","12","6",,"3,86649511394501","43,5932051254901"
