"N°Asso.","Association (handicap)","Nature ","Montant",
4861,"Améthyste","F",5 000 €,
703,"Association des Donneurs de Voix","F",2 400 €,
1058,"Association des Paralysés de France","F",16 000 €,
2136,"Association Gem Lesseps","M",800 €,
697,"Association pour Personnes en Situation de Handicap","F",10 000 €,
2099,"Association Socioculturelle Bilingue Frederic Peyson","M",1 000 €,
1108,"Association Valentin Hauy","F",500 €,
3246,"Atelier Handicap Habitat","M",1 500 €,
700,"Auxiliaire des Aveugles","F",800 €,
4652,"Cap Horizon","F",500 €,
5325,"Cie Atelier Gulliver","M",500 €,
696,"Comité Liaison des Associations de Personnes Handicapées","F",10 000 €,
1543,"FNATH Accidentés de la Vie Section Montpellier","F",5 000 €,
1936,"Roule Nature","F",2 500 €,
2827,"Sésame Autisme Hérault","F",1 500 €,
582,"Surdi 34 Déficients Auditifs","F",400 €,
699,"Union des Aveugles et Handicapés de la Vue de Montpellier","F",12 000 €,
5475,"Union des seniors sourds Montpellier Hérault","M",500 €,
5470,"Union pour la promotion de tous les talents","M",1 000 €,
,,"Total ",71 900 €,
"N°Asso.","Association (santé)","Nature ","Montant",
1803,"AFM Coordination Téléthon","F",1 000 €,
2277,"Aide aux Cancers et Leucémies chez l'Enfant - La Clé","F",500 €,
3864,"Alcool Assistance La Croix d'Or de l'Hérault","F",1 000 €,
164,"Amicale Languedoc Roussillon des Insuffisants Respiratoires","F",1 000 €,
132,"Amis de la Bibliothèque des Hôpitaux de Montpellier","F",800 €,
4874,"Andeva-FT","F",2 500 €,
5469,"Asso Dpt Le dispensaire de l’ostéopathie de l’Hérault","M",500 €,
4903,"Association de Cardiologie du Languedoc-Roussillon","F",1 000 €,
5520,"Association de prévention en orthophonie de l’Hérault","M",500 €,
681,"Association des Diabétiques de l'Hérault","F",3 000 €,
2021,"Association des Familles de Traumatisés Crâniens LR","F",1 500 €,
4200,"Association Envie","F",5 000 €,
4452,"Association pour le Développement des Soins Palliatifs","F",300 €,
578,"Avenir Santé","M",12 000 €,
710,"Centre de Réflexion et d'Action Psycho-sociale","F",4 200 €,
1464,"Cesam Migrations Santé Languedoc, Comité pour la Santé","F",3 000 €,
1024,"Chemins des Alliances","F",300 €,
1956,"Comité Féminin 34","F",1 500 €,
2776,"Déclic Familles et Toxicomanies","F",8 000 €,
2575,"Ecole des parents et des éducateurs de l'Hérault","M",3 000 €,
2882,"Etincelle Languedoc-Roussillon","M",2 500 €,
1948,"France Alzheimer Hérault","F",1 000 €,
3527,"Groupe des Aphasiques de Montpellier et de l'Hérault","F",500 €,
1480,"Info Don  34","F",500 €,
155,"Intervalle - Jalmalv  Montpellier","F",2 500 €,
723,"Jalmav Crersi","F",3 000 €,
2162,"Kokcinelo","F",1 200 €,
657,"La Cordée","F",2 500 €,
4242,"Médecins du Monde Missions en France","F",1 000 €,
1734,"Musika","F",1 000 €,
2814,"Opérés du Coeur et Malades Cardiaques","F",1 500 €,
1945,"Pharmacie Humanitaire Internationale Hérault","F",5 000 €,
2874,"Réduire les Risques","F",4 000 €,
1425,"Rire Clowns pour Enfants Hospitalisés","F",4 000 €,
3254,"Santé et Solidarité","F",2 500 €,
674,"SOS Amitiés Montpellier Languedoc","F",1 800 €,
5514,"Soutien Lait","F",1 000 €,
3317,"SPHERES Soins Palliatifs Hôpital et Réseaux Externes de Santé","F",3 000 €,
4406,"Vivre Mieux le Lymphoedème","F",500 €,
,,"Total ",89 600 €,
"N°Asso.","Association (solidarité)","Nature ","Montant",
3628,"Adages Parenthèse Espace Famille","F",5 000 €,
4529,"Aide aux Personnes en Difficulté","F",2 750 €,
3530,"ALMA-HERAULT","F",1 000 €,
343,"Association de Solidarité avec les Travailleurs Migrants","F",5 000 €,
2800,"Association Nouas","F",10 000 €,
2030,"Association Vie et Animation","F",800 €,
1742,"Astrée","F",1 000 €,
4773,"DE.F.I  Développement, Formation, Insertion","F",8 000 €,
2882,"Etincelle Languedoc-Roussillon","F",3 000 €,
369,"Institut de Victimologie du Languedoc-Roussillon","F",1 000 €,
4279,"J'Ose Lire et Clair de Plume","F",1 300 €,
618,"La Clé des Chants","F",500 €,
4636,"Le Peyrou les seniors en action","F",400 €,
2101,"Lieux Ressources Montpellier","F",3 000 €,
1539,"Pain de l'Espoir","F",1 500 €,
4901,"Promotion Activités Comites Entreprises","F",20 000 €,
2838,"Union Française des Retraités de l'Hérault","F",1 200 €,
4163,"Via Voltaire","F",18 000 €,
,,"Total ",83 450 €,
"N°Asso.","Association (alimentaire)","Nature ","Montant",
1942,"Banque alimentaire","F","9 000 €",
3090,"Initiative Solidarité Situations Urgence","F","4 000 €",
1493,"Restaurants du Cœur","F","6 500 €",
666,"Secours catholique","F","8 000 €",
1068,"Secours Populaire Français","F","8 000 €",
4326,"Société Saint Vincent de Paul","F","6 000 €",
1664,"Avitarelle","F","3 000 €",
2110,"A cœur ouvert","F","2 000 €",
3318,"Le refuge","F","2 000 €",
2835,"Solidarité DOM TOM","F","2 000 €",
,,"Total ",50 500 €,
"N°Asso.","Association (anciens combattants)","Nature ","Montant",
512,"Amicale des Transmetteurs du Languedoc-Roussillon","F",200 €,
4303,"Amis Fondation Mémoire Déportation Hérault","F",300 €,
2079,"Anciens Marins et Marins Anciens Combattants de Montpellier","F",200 €,
1760,"Association des Combattants de l'Union Française","F",200 €,
528,"Association des Déportés Internés et Familles de Disparus - HLT","F",200 €,
