"OBJECTID","CODCOMM","NOM","SHAPE_AREA","SHAPE_LEN"
6,,"BV Le Lez","9173478,52426000000","32377,65720980000"
7,,"BV Lironde","3959467,15947000000","16889,09364830000"
8,,"BV Croix d'argent","2472920,25797000000","8153,60416125000"
9,,"BV Noyer des Champs","893782,33559700000","3822,07463683000"
10,,"BV Lantissargues","5331251,07713000000","15382,87250170000"
11,,"BV Aiguerelles","3924068,58953000000","13442,85916460000"
12,,"BV NÚgue Cats","2407733,82794000000","10243,04327830000"
1,,"BV Rieucoulon","6625891,67601000000","20703,43242010000"
2,,"BV Gramont","1516630,94561000000","6516,18265488000"
3,,"BV Chambery","2657668,04880000000","11317,25287560000"
4,,"BV Mosson","6429005,17881000000","19833,66645540000"
5,,"BV verdanson","11701395,75950000000","25157,17290790000"
