"Exercice","I_F","D_R","Nature","Sous-fontion","Montant","Libellé nature","Libellé fonction"
2005,"F",1,60222,20,"264153,51","PRODUITS D'ENTRETIEN","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60223,20,"491121,03","FOURNITURES DES ATELIERS MUNICIPAUX","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60224,20,"185605,62","FOURNITURES ADMINISTRATIVES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6032,20,235965,"VARIATION DES STOCKS AUTRES APPROVISIONNEMENTS","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6042,20,"555274,27","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6042,23,"783685,29","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,6042,24,"299980,6","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","FETES ET CEREMONIES"
2005,"F",1,6042,26,"167595,5","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,6042,112,"288381,09","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","POLICE MUNICIPALE"
2005,"F",1,6042,12,"20424,83","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,6042,211,"55471,19","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ECOLES MATERNELLES"
2005,"F",1,6042,212,"177013,27","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ECOLES PRIMAIRES"
2005,"F",1,6042,251,"2957,51","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,6042,30,"748124,18","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","SERVICES COMMUNS"
2005,"F",1,6042,322,"1435,2","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","MUSEES"
2005,"F",1,6042,323,"77427,5","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ARCHIVES"
2005,"F",1,6042,40,"325797,25","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","SERVICES COMMUNS"
2005,"F",1,6042,415,"33684,98","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","MANIFESTATIONS SPORTIVES"
2005,"F",1,6042,421,"693264,3","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","CENTRES DE LOISIRS"
2005,"F",1,6042,422,"67305,87","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,6042,64,"446201,65","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","CRECHES ET GARDERIES"
2005,"F",1,6042,812,"88501,87","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","COLLECTE ET TRAITEMENT DES ORDURES MENAGERES"
2005,"F",1,6042,814,"84522,13","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ECLAIRAGE PUBLIC"
2005,"F",1,6042,816,"24107,74","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","AUTRES RESEAUX ET SERVICES DIVERS"
2005,"F",1,6042,820,"52888,36","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","SERVICES COMMUNS"
2005,"F",1,6042,821,"118088,39","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","EQUIPEMENTS DE VOIRIE"
2005,"F",1,6042,822,"15702,84","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,6042,823,"21297,96","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","ESPACES VERTS URBAINS"
2005,"F",1,6042,824,"4519,01","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","AUTRES OPERATIONS D'AMENAGEMENT URBAIN"
2005,"F",1,6042,90,"214845,73","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","INTERVENTIONS ECONOMIQUES"
2005,"F",1,6042,91,"348410,52","ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER","FOIRES ET MARCHES"
2005,"F",1,60611,20,"6379,74","EAU ET ASSAINISSSEMENT","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60611,26,"20476,1","EAU ET ASSAINISSSEMENT","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60611,30,"1999,27","EAU ET ASSAINISSSEMENT","SERVICES COMMUNS"
