"Shape_Leng,N,19,11","Shape_Area,N,19,11","Bureau,N,9,0","CANTON,N,9,0","CIRCONS,N,9,0","Nom_Bureau,C,50"
"7214,69056923","2191546,89263",62,6,1,"élémentaire Pierre de Ronsard"
"4502,990077","680175,710265",112,6,1,"maternelle Alienor d'Aquitaine"
"2480,17267192","160818,67426",61,6,1,"maternelle Alienor d'Aquitaine"
"2179,01378209","181578,112461",49,5,1,"maternelle Jean Cocteau"
"4568,95910452","832705,951189",75,7,2,"élémentaire Esope"
"1572,51221482","100522,221091",57,6,1,"élémentaire Garibaldi"
"2026,85533857","225584,318371",60,6,1,"élémentaire Voltaire"
"6542,93573103","1556225,53554",48,5,1,"maternelle Jean Cocteau"
"1408,41465889","91507,1167612",55,6,1,"élémentaire Georges Simenon"
"1531,34147087","98117,5016175",58,6,1,"élémentaire Garibaldi"
"2102,2488318","159271,816174",50,5,1,"maternelle Jean Cocteau"
"3602,92296159","739562,310411",47,5,1,"élémentaire Jean Mace"
"1398,1226694","104939,475965",59,6,1,"élémentaire Voltaire"
"3399,86431581","659491,799821",108,8,1,"maternelle Hélène Boucher"
"2597,40057494","224219,993737",51,5,1,"élémentaire Jacques Brel"
"1952,16977181","144830,581469",54,6,1,"M.P.T Albert Camus"
"5571,69439287","815679,45585",56,6,1,"élémentaire Georges Simenon"
"3028,54042462","235124,190676",82,8,1,"élémentaire Victor Schoelcher"
"4890,95844611","770397,3016",113,8,1,"M.d.Q Antoine de Saint Exupéry"
"2611,96151798","303246,217732",80,8,1,"élémentaire Winston Churchill"
"1942,67920344","210877,229724",53,6,1,"élémentaire Marie Curie"
"2032,9033066","223352,774514",45,5,1,"élémentaire Charles Dickens"
"1755,06272799","147777,49855",81,8,1,"maternelle Lily Boulanger"
"2121,29956036","259053,72985",52,5,1,"élémentaire Jacques Brel"
"3087,10322977","396902,997939",46,5,1,"Hôtel de Ville"
"2364,96802824","154973,241229",44,5,1,"élémentaire Charles Dickens"
"2230,7439711","210056,191311",12,1,2,"maternelle Anatole France"
"3349,23183285","612334,286794",74,7,2,"maternelle Docteur Roux"
"1436,27313858","122242,202689",43,4,9,"élémentaire Victor Hugo"
"1447,94957743","101615,624573",39,4,9,"élémentaire Jean Jaurès"
"2636,1638215","229243,804266",11,1,2,"maternelle Anatole France"
"1735,22698921","145174,34189",42,4,9,"élémentaire Victor Hugo"
"2592,5742733","166806,983838",79,8,1,"élémentaire Winston Churchill"
"2637,7863439","199538,392432",40,4,9,"élémentaire Jules Simon"
"2245,5429801","196385,676232",73,7,2,"maternelle Docteur Roux"
"2164,87101622","172292,792829",10,1,2,"élémentaire Sévigné"
"4071,09355246","479278,785162",116,4,9,"maternelle Louise Michel"
"1514,09403892","129519,922894",117,4,9,"maternelle de Gaulle-Anthonioz"
"2481,82322894","217577,169567",78,8,1,"élémentaire Frédéric Bazille"
"3289,83926362","442751,056437",83,8,1,"M.d.Q Antoine de Saint Exupéry"
"1818,93014239","154047,227241",9,1,2,"élémentaire Sévigné"
"1490,82728781","87945,8582797",41,4,9,"élémentaire Jules Simon"
"2118,98105473","191353,23994",77,8,1,"élémentaire Frédéric Bazille"
"1786,88872899","105675,571449",21,3,2,"élémentaire Péricles"
"3748,41251332","521083,109893",84,8,1,"élémentaire Sun Yat Sen"
"2535,51121416","333054,608962",85,8,1,"élémentaire Sun Yat Sen"
"1695,66089412","160392,216963",72,7,2,"maternelle Docteur Roux"
"1996,53821466","135249,812189",8,1,2,"élémentaire Gambetta"
"1785,58738692","151256,168874",7,1,2,"Maison de la Démocratie"
"1186,25229188","85525,7776185",1,1,2,"Maison des Relations Internationales"
"8387,09775263","3174941,3356",38,4,9,"élémentaire Paul Painlevé"
"1259,70056464","65746,2024471",6,1,2,"élémentaire Lamartine"
"1984,88641253","185951,444181",20,3,2,"élémentaire Péricles"
"2467,45958265","270837,949705",107,10,8,"élémentaire Spinoza"
"1327,19795631","76067,2531044",5,1,2,"Conservatoire National de Région"
"1501,30022463","104033,903904",4,1,2,"Conservatoire National de Région"
"2220,64895752","189860,656124",71,7,2,"élémentaire Jeanne d'Arc"
"2465,40592932","322992,741935",110,3,2,"élémentaire Péricles"
"3941,47081004","401278,493942",76,8,1,"élémentaire Frédéric Bazille"
"2014,47082023","239952,62938",97,10,8,"élémentaire Auguste Comte"
"2164,9456757","261504,834974",69,7,2,"élémentaire Paul Langevin"
"2609,55416364","352860,676754",105,10,8,"élémentaire Léo Malet"
"1298,31121585","90035,5967351",2,1,2,"Espace Martin Luther King"
"3177,39213447","346224,883173",106,10,8,"élémentaire Léo Malet"
"3490,14862423","349397,524886",22,3,2,"maternelle Vasco de Gama"
"7464,98492776","1978170,72424",115,10,8,"élémentaire Spinoza"
"1605,68337299","109866,663945",3,1,2,"maternelle Jean-Jacques Rousseau"
"2851,87548184","300806,592158",70,7,2,"élémentaire Paul Langevin"
"10646,9077841","3230397,66833",118,4,9,"M.P.T Mélina Mercouri"
"2512,01208378","224045,138977",99,10,8,"maternelle Mozart"
"2657,33693489","241660,821523",98,10,8,"élémentaire Auguste Comte"
"2593,8990958","206661,779881",63,7,2,"maternelle Geneviève Bon"
"1838,77248622","194450,629506",68,7,2,"maternelle Rudyard Kipling"
"2736,47040293","294573,526474",86,9,2,"M.P.T Marie Curie"
"3797,16582855","187739,102125",32,4,9,"élémentaire Jean Moulin"
"2443,31471306","260980,888819",67,7,2,"élémentaire Charles Baudelaire"
"2219,35540671","208677,770346",33,4,9,"élémentaire Jean Moulin"
"1779,97145684","99330,8408094",64,7,2,"maternelle Geneviève Bon"
"3348,103735","236227,069803",23,3,2,"maternelle La Fontaine"
"2681,25728639","306499,339289",36,4,9,"élémentaire Jean Zay"
"1988,79418145","209593,663554",13,2,3,"élémentaire Condorcet"
"2111,88168859","207647,840664",66,7,2,"élémentaire Julie Daubie"
"2281,33532474","178306,667488",109,9,2,"élémentaire Léo Malet"
"4701,31010824","822933,307472",37,4,9,"élémentaire Paul Painlevé"
"2173,5673337","210194,965117",35,4,9,"élémentaire Jean Zay"
"3140,97877849","398992,597241",14,2,3,"élémentaire Condorcet"
"1058,87255724","61453,0301067",88,9,2,"élémentaire Simon Bolivar"
"3341,88524334","391242,607116",100,10,8,"maternelle Mozart"
"2970,60028538","425439,8296",101,10,8,"maternelle Mozart"
"1712,3231054","156135,009414",102,10,8,"élémentaire Berthe Morisot"
"3137,44333746","528215,114111",65,7,2,"élémentaire Julie Daubie"
"4899,63932427","1179971,43651",87,9,2,"élémentaire Antoine Balard"
"3137,95510209","337991,857383",89,9,2,"élémentaire Heidelberg"
"1158,27753265","83453,9374384",91,9,2,"maternelle Cervantes"
"1040,91863219","56727,5534854",90,9,2,"élémentaire Heidelberg"
"2115,69684516","261486,56454",27,3,2,"élémentaire Sigmund Freud"
"3181,58465612","438236,291081",34,4,9,"élémentaire Jean Moulin"
"4158,4534036","427692,868331",25,3,2,"Club Cavalerie"
"4588,45750851","496337,196774",24,3,2,"Club Cavalerie"
"2771,52055221","276272,835611",26,3,2,"élémentaire Sigmund Freud"
"2050,08754752","167801,842621",92,9,2,"élémentaire Sedar Senghor"
"2401,16749321","206204,163536",28,3,2,"élémentaire Sigmund Freud"
"7665,29657306","2654705,32257",111,4,9,"M.P.T Mélina Mercouri"
"2357,08218777","289425,288353",103,10,8,"élémentaire Emile Combes"
"2708,71597355","331185,480443",15,2,3,"élémentaire Eugène Pottier"
"3225,25653715","513979,785481",16,2,3,"élémentaire Eugène Pottier"
"3483,05182878","373980,094685",29,3,2,"élémentaire Sigmund Freud"
"4145,3447753","988077,441972",30,3,2,"maternelle Térésa"
"5328,22513954","1239231,51994",104,10,8,"élémentaire Berthe Morisot"
"3381,36091283","438518,016085",94,9,2,"élémentaire Galilée"
"6069,60687163","1237235,34823",93,9,2,"maternelle James Joyce"
"4888,18172799","778481,262028",120,10,8,"élémentaire François Mitterrand"
"5789,75712031","813813,228842",17,2,3,"élémentaire Docteur Calmette"
"3249,18706346","428635,779707",96,9,2,"élémentaire March Bloch"
"4438,09195834","238800,321575",95,9,2,"maternelle Averroes"
"3935,84487885","302153,844047",119,9,2,"maternelle Nicolas Copernic"
"8670,23995688","2132781,12247",31,3,2,"élémentaire Jules Ferry"
"6041,06222736","1465466,53158",18,2,3,"élémentaire Docteur Calmette"
"6151,44570471","1714989,99889",114,10,8,"élémentaire Emile Combes"
"7475,94770329","2124622,90445",19,2,3,"élémentaire Docteur Calmette"
