"ID","AREA,N,19,11","PERIMETER,N,19,11","BATIMENTS_,N,9,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,4,0","Shape_Leng,N,19,11","Shape_Area,N,19,11"
1,"11232,5163061","647,006148601",2,"Midi Libre",,,,,"NP",170,"647,280662762","11242,0022258"
2,"347,989334389","79,6709464808",3,"Ecolothèque",,,,,"BT",104,"79,7043346021","348,281563029"
3,"7826,5289123","480,174670486",4,"Centre Municipal Garosud","00231600","0","02316","00","BC",109,"480,376156891","7833,11695702"
4,"625,296074997","105,497266848",5,"Ecolothèque",,,,,"BT",104,"105,541425672","625,821495882"
5,"327,30138443","75,4498399035",6,"Ecolothèque",,,,,"BT",104,"75,4816502009","327,575978561"
6,"605,583562515","117,647868987",7,"Ecolothèque",,,,,"BT",104,"117,697011401","606,091695766"
7,"822,74632203","144,85238496",8,"Salle Victoire II",,,,,"BT",104,"144,913591847","823,439116713"
8,"2134,02066868","221,032749097",9,"Complexe sportif Albert Batteux","00327700","0","03277","00","BC",109,"221,125999898","2135,81212999"
9,"9734,76680399","389,748967664",10,"Piscine Amphitrite",,,,,"BT",104,"389,911812761","9742,95698964"
10,"16282,4406312","528,429984959",11,"Métro",,,,,"NP",170,"528,651993712","16296,1206719"
11,"1073,71590214","159,853486544",12,"M.U.C",,,,,"NP",170,"159,920030058","1074,61610538"
12,"541,124381227","119,868016306",13,"Unité de Méthanisation",,,,,"NP",170,"119,917795251","541,577099414"
13,"6170,65622198","347,032938282",14,"Unité de Méthanisation",,,,,"NP",170,"347,17772218","6175,80964406"
14,"564,502803271","120,17730945",15,"Unité de Méthanisation",,,,,"NP",170,"120,227051505","564,975595014"
15,"483,753487483","95,0251021774",16,"Unité de Méthanisation",,,,,"NP",170,"95,0649488235","484,156447742"
16,"483,753881165","95,0239002527",17,"Unité de Méthanisation",,,,,"NP",170,"95,0638285735","484,158948225"
17,"482,829571953","94,9755721931",18,"Unité de Méthanisation",,,,,"NP",170,"95,0154278929","483,233177962"
18,"484,830056156","95,0988052194",19,"Unité de Méthanisation",,,,,"NP",170,"95,1388335052","485,236588529"
19,"13920,560256","552,750399673",20,"Unité de Méthanisation",,,,,"NP",170,"552,981959553","13932,1769996"
20,"251,069650059","72,142299534",21,"Centre T.A.M  La jeune Parque","00123600","0","01236","00","BT",104,"72,1723549317","251,278367771"
21,"5171,62688127","511,136975641",22,"Centre T.A.M  La jeune Parque","00123600","0","01236","00","BT",104,"511,348871986","5175,92186275"
22,"253,473487419","74,8549339921",23,"Centre T.A.M  La jeune Parque","00123600","0","01236","00","BT",104,"74,8862929523","253,685304331"
23,"498,618465636","134,838612781",24,"Maison de Quartier JP Caillens","00089800","0","00898","00","BC",109,"134,894882266","499,030777603"
24,"238,076309378","54,7702070535",25,"Maera Usine d'assainissement",,,,,"NP",170,"54,7927915159","238,272698498"
25,"281,613187472","59,5945877364",26,"Maera Usine d'assainissement",,,,,"NP",170,"59,6191563878","281,845482569"
