"AREA_,N,19,8","PERIMETER,N,19,8","BATIMENTS_,N,10,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,5,0","ID,N,10,0","AREA,N,19,11","LEN,N,19,11"
"5171,62688127","511,13697564",22,Centre T.A.M  La jeune Parque,00123600,0,01236,00,BT,104,0,"5175,92186","511,348872"
"238,07630938","54,77020705",25,Maera Usine d'assainissement,,,,,NP,170,0,"238,2727","54,792792"
"214,10102501","51,93829975",28,Maera Usine d'assainissement,,,,,NP,170,0,"214,27746","51,959696"
"2645,44314679","253,74940238",31,Maera Usine d'assainissement,,,,,NP,170,0,"2647,62302","253,85364"
"580,67943122","85,53259483",33,Maera Usine d'assainissement,,,,,NP,170,0,"581,15766","85,567811"
"542,07301251","82,64127271",36,Maera Usine d'assainissement,,,,,NP,170,0,"542,51967","82,675312"
"1220,86539382","124,02567443",37,Maera Usine d'assainissement,,,,,NP,170,0,"1221,87171","124,076783"
"65,96817186","28,83612434",40,Maera Usine d'assainissement,,,,,NP,170,0,"66,02244","28,847983"
"8343,80575235","801,48296943",43,Maera Usine d'assainissement,,,,,NP,170,0,"8350,67942","801,813428"
"1219,82618756","123,96943478",45,Maera Usine d'assainissement,,,,,NP,170,0,"1220,83003","124,020433"
"70,80476562","29,87413335",47,Maera Usine d'assainissement,,,,,NP,170,0,"70,86304","29,886421"
"3158,5733312","231,30627413",50,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"3161,17457","231,401115"
"3406,70699062","379,68471807",53,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"3409,51423","379,842211"
"4523,90446244","292,78759828",57,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"4527,62745","292,908915"
"203,41463751","71,63844491",59,M.I.N Marché Gare,99999999,7,00227,00,NP,170,0,"203,58258","71,667849"
"3714,76975629","280,95373192",61,M.I.N Marché Gare,99999999,,,,NP,170,0,"3717,82097","281,068347"
"7945,36998691","441,4256302",63,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"7951,89227","441,604973"
"2530,66363445","224,07455995",67,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"2532,73761","224,166201"
"9538,60989309","428,17349737",69,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"9546,43253","428,348788"
"827,12065626","161,62184312",70,Ecole élémentaire Ronsard,00043002,0,00430,02,BC,109,0,"827,79762","161,687941"
"17163,97625361","753,10101413",73,Hypermarché,99999999,0,00000,0,NP,170,0,"17178,05635","753,410415"
"1168,49804697","179,74833101",79,Centre EDF-GDF,99999999,0,00000,0,NP,170,0,"1169,45444","179,82195"
"2968,78614379","392,79474065",81,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"2971,21596","392,955314"
"538,78189369","181,2338675",82,Maison de Quartier Pauline Lafont,00144600,0,01446,00,BC,109,0,"539,2232","181,308619"
"351,81114075","177,56437188",89,Médiathèque Federico Garcia Lorca,70244200,7,02442,00,BT,104,0,"352,09833","177,636033"
"560,72113462","177,37264706",90,Médiathèque Federico Garcia Lorca,70244200,7,02442,00,BT,104,0,"561,17749","177,444288"
"3077,65511221","301,74215622",92,Médiathèque Federico Garcia Lorca,70244200,7,02442,00,BT,104,0,"3080,16518","301,863777"
"764,37985637","208,66431781",99,Chai Molière,00010100,0,00101,00,BC,109,0,"765,00161","208,749675"
"138,22154995","83,18388361",102,Eglise Saint Martin,88888888,0,00000,0,CE,0,0,"138,33307","83,217909"
"684,735225","172,31797917",103,Ecole maternelle Jean Cocteau,00041501,0,00415,01,BC,109,0,"685,29157","172,388154"
"1346,65202813","263,62594432",105,Eglise Saint Martin,99999999,,,,BT,104,0,"1347,74882","263,733337"
"1337,44984684","155,66544551",107,Salle de sports Henri Ferrari,00018400,0,00184,00,BC,109,0,"1338,53702","155,728659"
"536,38324683","97,39548177",108,Ecole maternelle Bertie Albrecht,00038601,0,00386,01,BC,109,0,"536,81908","97,434843"
"503,9315311","91,70088633",109,Gymnase Henri Ferrari,00106600,0,01066,00,BC,109,0,"504,34188","91,738344"
"564,21174989","95,21632198",110,Poste de Police Municipale St Martin,00013200,0,00132,00,BC,109,0,"564,67051","95,254983"
"390,76137501","79,08916539",111,Club de loisirs Lemasson,,,,,BC,109,0,"391,07871","79,121261"
