"AREA,N,13,11","PERIMETER,N,13,11","CANTON,N,4,0","LIBCANT,C,16","SYMBOLE,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11"
5853100,"12251,4",2,"DEUXIEME CANTON",57,"12255,9757357","5857482,57275"
5696250,"14354,8",10,"DIXIEME CANTON",24,"14360,2328117","5700580,14307"
6358350,15181,3,"TROISIEME CANTON",94,"15186,8005332","6363185,51228"
5001780,"12710,5",9,"NEUVIEME CANTON",19,"12715,336417","5005600,31137"
12489900,"20805,9",4,"QUATRIEME CANTON",25,"20814,0924652","12499717,3262"
4048280,"16021,9",7,"SEPTIEME CANTON",17,"16028,2147737","4051488,40016"
1582120,"6742,32",1,"PREMIER CANTON",14,"6744,98230332","1583369,45776"
2945570,"8763,65",10,"DIXIEME CANTON",24,"8767,14928814","2947903,59208"
4386530,"10282,2",8,"HUITIEME CANTON",23,"10286,3367277","4390053,46668"
3892160,"9454,72",5,"CINQUIEME CANTON",4,"9458,59741209","3895327,84792"
4820390,"9731,32",6,"SIXIEME CANTON",18,"9735,35119199","4824365,16322"
