"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"NULL","NULL",1,99999,"I","Ecole maternelle aliénor d'AQUITAINE                        "
"NULL","NULL",2,99998,"P","Ecole maternelle aliénor d'AQUITAINE                        "
"NULL","NULL",1,99999,"I","Ecole Primaire Michel de l'HOSPITAL                         "
"NULL","NULL",2,99998,"P","Ecole Primaire Michel de l'HOSPITAL                         "
"NULL","NULL",1,99999,"I","Ecole Maternelle Sarah BERNHARDT                            "
"NULL","NULL",2,99998,"P","Ecole Maternelle Sarah BERNHARDT                            "
"NULL","NULL",1,99999,"I","Ecole Maternelle Hélène BOUCHER                             "
"NULL","NULL",2,99998,"P","Ecole Maternelle Hélène BOUCHER                             "
"ABBE DE L'EPEE      ","Rue de l'Abbé de l'Epée                                         ",1,99999,"I","Ecole Maternelle Pauline KERGOMARD                          "
"ABBE DE L'EPEE      ","Rue de l'Abbé de l'Epée                                         ",2,99998,"P","Ecole Maternelle Pauline KERGOMARD                          "
"ABEILLES            ","Rue des Abeilles                                                ",1,99999,"I","Ecole Maternelle Pauline KERGOMARD                          "
"ABEILLES            ","Rue des Abeilles                                                ",2,99998,"P","Ecole Maternelle Pauline KERGOMARD                          "
"ABERT               ","Rue Abert                                                       ",1,99999,"I","Ecole Maternelle LA FONTAINE                                "
"ABERT               ","Rue Abert                                                       ",2,99998,"P","Ecole Maternelle LA FONTAINE                                "
"ABRANTES            ","Rue Duchesse d'Abrantes                                         ",1,99999,"I","Ecole Maternelle CHAPTAL                                    "
"ABRANTES            ","Rue Duchesse d'Abrantes                                         ",2,99998,"P","Ecole Maternelle CHAPTAL                                    "
"ABRICOTIERS         ","Rue des Abricotiers                                             ",1,99999,"I","Ecole Maternelle Simone SIGNORET                            "
"ABRICOTIERS         ","Rue des Abricotiers                                             ",2,99998,"P","Ecole Maternelle Simone SIGNORET                            "
"ABRIVADO            ","Rue de l'Abrivado                                               ",1,99999,"I","Ecole Maternelle Jean COCTEAU                               "
"ABRIVADO            ","Rue de l'Abrivado                                               ",2,99998,"P","Ecole Maternelle Jean COCTEAU                               "
"ACACIAS             ","Rue des Acacias                                                 ",1,99999,"I","Ecole Maternelle Charlie CHAPLIN                            "
"ACACIAS             ","Rue des Acacias                                                 ",2,99998,"P","Ecole Maternelle Charlie CHAPLIN                            "
"ACADIE              ","Place d'Acadie                                                  ",1,99999,"I","Ecole Maternelle FLORIAN                                    "
"ACADIE              ","Place d'Acadie                                                  ",2,99998,"P","Ecole Maternelle FLORIAN                                    "
"ACANTHES            ","Impasse des Acanthes                                            ",1,99999,"I","Ecole Maternelle Anne FRANK                                 "
"ACANTHES            ","Impasse des Acanthes                                            ",2,99998,"P","Ecole Maternelle Anne FRANK                                 "
"ACCONIERS           ","Rue des Acconiers                                               ",1,99999,"I","Ecole Maternelle Paul ELUARD                                "
"ACCONIERS           ","Rue des Acconiers                                               ",2,99998,"P","Ecole Maternelle Paul ELUARD                                "
"ACCUEIL             ","Allée de Bon Accueil                                            ",1,99999,"I","Ecole Maternelle Charlie CHAPLIN                            "
"ACCUEIL             ","Allée de Bon Accueil                                            ",2,99998,"P","Ecole Maternelle Charlie CHAPLIN                            "
"ACHARD              ","Allée Marcel Achard                                             ",1,99999,"I","Ecole Maternelle MOZART                                     "
"ACHARD              ","Allée Marcel Achard                                             ",2,99998,"P","Ecole Maternelle MOZART                                     "
"ACHILLE             ","Rue Achille                                                     ",2,99998,"P","Ecole Primaire Michel de l'HOSPITAL                         "
"ACHILLE             ","Rue Achille                                                     ",1,99999,"I","Ecole Primaire Michel de l'HOSPITAL                         "
"ACONITS             ","Rue des Aconits                                                 ",1,99999,"I","Ecole Maternelle Geneviève BON                              "
"ACONITS             ","Rue des Aconits                                                 ",2,99998,"P","Ecole Maternelle Jules MICHELET                             "
"ACORES              ","Allée des Açores                                                ",1,99999,"I","Ecole Maternelle M. CALLAS                                  "
"ACORES              ","Allée des Açores                                                ",2,99998,"P","Ecole Maternelle M. CALLAS                                  "
