"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"NULL","NULL",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"NULL","NULL",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"NULL","NULL",1,99999,"I","Ecole Primaire Michel de l' Hospital (Element)              "
"NULL","NULL",2,99998,"P","Ecole Primaire Michel de l' Hospital (Element)              "
"NULL","NULL",1,99999,"I","Ecole Elémentaire Blaise PASCAL                             "
"NULL","NULL",2,99998,"P","Ecole Elémentaire Blaise PASCAL                             "
"NULL","NULL",1,99999,"I","Ecole Elémentaire Alain SAVARY                              "
"NULL","NULL",2,99998,"P","Ecole Elémentaire Alain SAVARY                              "
"ABBE DE L'EPEE      ","Rue de l'Abbé de l'Epée                                         ",1,99999,"I","Ecole Elémentaire Charles DAVILER                           "
"ABBE DE L'EPEE      ","Rue de l'Abbé de l'Epée                                         ",2,99998,"P","Ecole Elémentaire Charles DAVILER                           "
"ABEILLES            ","Rue des Abeilles                                                ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"ABEILLES            ","Rue des Abeilles                                                ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"ABERT               ","Rue Abert                                                       ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"ABERT               ","Rue Abert                                                       ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"ABRANTES            ","Rue Duchesse d'Abrantes                                         ",1,99999,"I","Ecole Elémentaire Jeanne d'ARC                              "
"ABRANTES            ","Rue Duchesse d'Abrantes                                         ",2,99998,"P","Ecole Elémentaire Jeanne d'ARC                              "
"ABRICOTIERS         ","Rue des Abricotiers                                             ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"ABRICOTIERS         ","Rue des Abricotiers                                             ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"ABRIVADO            ","Rue de l'Abrivado                                               ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"ABRIVADO            ","Rue de l'Abrivado                                               ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"ACACIAS             ","Rue des Acacias                                                 ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ACACIAS             ","Rue des Acacias                                                 ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ACADIE              ","Place d'Acadie                                                  ",1,99999,"I","Ecole Elémentaire Jules SIMON                               "
"ACADIE              ","Place d'Acadie                                                  ",2,99998,"P","Ecole Elémentaire Jules SIMON                               "
"ACANTHES            ","Impasse des Acanthes                                            ",1,99999,"I","Ecole Elémentaire Charles DICKENS                           "
"ACANTHES            ","Impasse des Acanthes                                            ",2,99998,"P","Ecole Elémentaire Charles DICKENS                           "
"ACCONIERS           ","Rue des Acconiers                                               ",1,99999,"I","Ecole Elémentaire Jean MACE                                 "
"ACCONIERS           ","Rue des Acconiers                                               ",2,99998,"P","Ecole Elémentaire Jean MACE                                 "
"ACCUEIL             ","Allée de Bon Accueil                                            ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ACCUEIL             ","Allée de Bon Accueil                                            ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ACHARD              ","Allée Marcel Achard                                             ",2,99998,"P","Ecole Elémentaire Berthe MORISOT                            "
"ACHARD              ","Allée Marcel Achard                                             ",1,99999,"I","Ecole Elémentaire Berthe MORISOT                            "
"ACHILLE             ","Rue Achille                                                     ",2,99998,"P","Ecole Primaire Michel de l' Hospital (Element)              "
"ACHILLE             ","Rue Achille                                                     ",1,99999,"I","Ecole Primaire Michel de l' Hospital (Element)              "
"ACONITS             ","Rue des Aconits                                                 ",1,99999,"I","Ecole Elémentaire Louis ARMSTRONG                           "
"ACONITS             ","Rue des Aconits                                                 ",2,99998,"P","Ecole Elémentaire Joseph DELTEIL                            "
"ACORES              ","Allée des Açores                                                ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"ACORES              ","Allée des Açores                                                ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"ACROPOLE            ","Rue de l'Acropole                                               ",1,63,"I","Ecole Elémentaire Jean JAURES                               "
"ACROPOLE            ","Rue de l'Acropole                                               ",2,38,"P","Ecole Elémentaire Jean JAURES                               "
"ACROPOLE            ","Rue de l'Acropole                                               ",40,99998,"P","Ecole Elémentaire PERICLES                                  "
"ACROPOLE            ","Rue de l'Acropole                                               ",65,99999,"I","Ecole Elémentaire PERICLES                                  "
"ADA                 ","Rue Ada                                                         ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"ADA                 ","Rue Ada                                                         ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"ADAM                ","Place Edouard Adam                                              ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"ADAM                ","Place Edouard Adam                                              ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"ADANSON             ","Avenue Aglaé Adanson                                            ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"ADANSON             ","Avenue Aglaé Adanson                                            ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"ADHEMAR             ","Avenue Pierre d'Adhémar                                         ",1,99999,"I","Ecole Elémentaire Charles DAVILER                           "
