"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"9999TR","Voie non dénommée",50,"2085",40347,40353,"Hébert-Danton",53,60,481,"#N/A",6,2010,"Magnétique",0
"9999TR","Voie non dénommée",50,"2086",40347,40353,"Danton-Hébert",32,33,238,"#N/A",6,2010,"Magnétique",0
"9999TR","Voie non dénommée",50,"2094",40347,40353,"Vanières-Lavérune",50,48,456,"#N/A",6,2010,"Pneumatique",0
"9999TR99999","Voie non dénommée",50,"1417",39536,39542,"Liberté-Garrats",337,318,3920,"R.A.S",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1418",39536,39542,"Recambale-Liberté",204,254,2077,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1419",39536,39542,"Liberté-Recambale",192,244,1588,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1420",39536,39542,"Garrats-Liberté",134,179,1814,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1421",39536,39542,"Garrats-Liberté",353,417,4134,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1425",39536,39542,"Liberté-Parking",109,129,992,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1426",39536,39542,"Parking-Causse",92,131,1060,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1427",39536,39542,"Parking-Garrats",52,75,458,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1416",39536,39542,"Dezeuze-Garrats",171,162,1217,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1415",39536,39542,"Liberté-Garrats",225,205,2183,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1413",39536,39542,"Liberté-Recambale",329,376,3842,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1414",39536,39542,"Recambale-Liberté",236,217,1658,"#N/A",3,2008,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1199",39106,39112,"Fabreges-Dubout",170,134,1261,"#N/A",1,2007,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"1198",39106,39112,"Dubout-Fabreges",68,69,518,"#N/A",1,2007,"Pneumatique",99999
"9999TR","Voie non dénommée",50,"953",38737,38743,"Usine-Carrefour",24,29,80,"#N/A",1,2006,"Pneumatique",0
"9999TR","Voie non dénommée",50,"757",38272,38278,"Prefecture-Foch",97,81,707,"#N/A",10,2004,"Pneumatique",0
"9999TR","Voie non dénommée",50,"756",38272,38278,"Resistance-Prefecture",234,82,1045,"#N/A",10,2004,"Pneumatique",0
"9999TR","Voie non dénommée",50,"749",38251,38257,"Resistance-Pietonne",248,146,1234,"#N/A",9,2004,"Pneumatique",0
"9999TR","Voie non dénommée",50,"751",38251,38257,"Resistance-Pietonne",231,98,1134,"#N/A",9,2004,"Pneumatique",0
"9999TR","Voie non dénommée",50,"748",38251,38257,"Prefecture-Foch",136,91,780,"#N/A",9,2004,"Pneumatique",0
"9999TR","Voie non dénommée",50,"752",38251,38257,"Parking-Resistance",83,108,928,"#N/A",9,2004,"Pneumatique",0
"9999TR99999","Voie non dénommée",50,"366",36601,36607,"Montmorency-Olympie",318,326,3237,"#N/A",3,2000,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"367",36601,36607,"Parking-Olympie",392,541,4643,"#N/A",3,2000,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"368",36601,36607,"Languedoc-Michelet",258,182,1871,"#N/A",3,2000,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"357",36550,36556,"Liberte-Claret",497,344,4638,"#N/A",1,2000,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"358",36550,36556,"Claret-Liberte",255,102,1616,"#N/A",1,2000,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"344",36442,36448,"Rosier-Garrats",414,378,3279,"#N/A",10,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"345",36442,36448,"Garrats-Liberte",83,144,1084,"#N/A",10,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"342",36442,36448,"Garrats-Causse",461,466,4068,"#N/A",10,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"343",36442,36448,"Causse-Garrats",299,301,3267,"#N/A",10,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"300",36188,36194,"Celleneuve-Liberte",593,876,8373,"#N/A",1,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"289",36175,36181,"Parking-Marie",156,227,1269,"#N/A",1,1999,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"126",35523,35529,"A9-Zenith",1315,686,9360,"#N/A",4,1997,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"103",35495,35501,"Gramont-Mendes",738,398,4258,"#N/A",3,1997,"Pneumatique",99999
"9999TR99999","Voie non dénommée",50,"100",35495,35501,"Zenith-A9",1084,1070,9923,"#N/A",3,1997,"Pneumatique",99999
"910TR4360","Voie Domitienne",9999,"CT30_2011-03-21.xls",40623,40629,"Père Soulas-Sabatier",389,348,4226,,3,2011,"Regulation",4360
"910TR4360","Voie Domitienne",50,"214",35752,35758,"Martin-Mares",1067,1289,1148,"#N/A",11,1997,"Pneumatique",4360
"910TR4360","Voie Domitienne",50,"215",35752,35758,"Martin-Ventre",212,246,2363,"#N/A",11,1997,"Pneumatique",4360
"3314TR","Viaduc Alphonse Loubat",50,"1121",38983,38989,"Citadelle-Nimes",486,591,5151,"#N/A",9,2006,"Pneumatique",0
"3314TR","Viaduc Alphonse Loubat",50,"1040",38847,38853,"Citadelle-Nimes",313,550,4412,"#N/A",5,2006,"Pneumatique",0
"2517TR207","Tunnel du Corum",50,"766",38272,38278,"Blanc-Corum",140,223,1895,"#N/A",10,2004,"Pneumatique",207
"2481TR5401","Tunnel de la Comédie",50,"1701",39871,39877,"Tunnel-Parking",118,211,1612,"#N/A",2,2009,"Pneumatique",5401
"2481TR5402","Tunnel de la Comédie",50,"1699",39871,39877,"Tunnel-Citadelle",1301,1216,16008,"#N/A",2,2009,"Pneumatique",5402
"2481TR5401","Tunnel de la Comédie",50,"1702",39871,39877,"Parking-Tunnel",175,225,1843,"#N/A",2,2009,"Pneumatique",5401
"2481TR5401","Tunnel de la Comédie",50,"971",38759,38765,"Tunnel-Parking",183,228,1824,"#N/A",2,2006,"Pneumatique",5401
"2481TR5401","Tunnel de la Comédie",50,"972",38759,38765,"Parking-Tunnel",180,248,2194,"#N/A",2,2006,"Pneumatique",5401
