FID_;CODE_COM;PRE;SECTION_;TEXTE;SYM;Shape_Leng;Shape_Area
1;57;0;AB;Fossé;Cours d'eau;432,28406;576,59145
2;57;0;AD; ;Cours d'eau;351,183815;418,815499
3;57;0;AD;La Lironde (Ruisseau);Cours d'eau;1230,814314;1974,53505
4;57;0;AK;Fossé;Cours d'eau;496,718583;778,356549
5;57;0;AK;Fossé;Cours d'eau;536,250015;645,5808
6;57;0;AL; ;Cours d'eau;284,670056;403,89845
7;57;0;AL; ;Cours d'eau;286,888742;292,447499
8;57;0;AL; ;Cours d'eau;305,369607;633,6587
9;57;0;AL;Fossé;Cours d'eau;621,352496;1167,93545
10;57;0;AM;Fossé;Cours d'eau;275,701619;235,1849
11;57;0;AM;Fossé Fossé;Cours d'eau;279,702693;499,837399
12;57;0;AO;Fossé;Cours d'eau;680,084636;584,9705
13;57;0;AW;Le Lez (Rivière);Cours d'eau;932,507675;8224,822256
14;57;0;AY;LE LEZ (Rivière);Cours d'eau;427,832008;5088,692778
15;57;0;BA; ;Cours d'eau;25,232218;26,8042
16;57;0;BA; ;Cours d'eau;69,194553;66,8164
17;57;0;BA;(Fleuve) LE LEZ;Cours d'eau;973,770814;8495,127822
18;57;0;BA;(Fleuve);Cours d'eau;488,031979;3402,301824
19;57;0;BB;LEZ LE;Cours d'eau;272,248968;2026,850849
20;57;0;BB;Ruisseau;Cours d'eau;193,072915;187,2424
21;57;0;BD;(Fleuve) LEZ LE;Cours d'eau;1777,298992;13048,10826
22;57;0;BE;(Fleuve) LEZ LE;Cours d'eau;478,362891;3291,456192
23;57;0;BI;Ruisseau de Courtarelle;Cours d'eau;1200,83359;2432,12415
24;57;0;BI;Fossé;Cours d'eau;2372,604415;3570,45545
25;57;0;BK;(Fleuve) LEZ LE;Cours d'eau;1423,032694;13543,03341
26;57;0;BK; ;Cours d'eau;171,027135;554,6148
27;57;0;BK; ;Cours d'eau;378,220505;595,3865
28;57;0;BK; ;Cours d'eau;168,423077;149,49765
29;57;0;BL;Ruisseau des;Cours d'eau;462,82896;419,083229
30;57;0;BL;Canaux;Cours d'eau;129,86341;174,798099
31;57;0;BL;LE LEZ (Fleuve);Cours d'eau;1257,981993;11305,46995
32;57;0;BW; ;Cours d'eau;310,775933;364,89695
