nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Dates,Quartiers,CODES,Cod acteurs,,code date,Code cadastre
IA,1007,Villa,70,385000,Particulier,Constructeur,15/01/2008,PA -Aiguerelles,Villa,Particuli,Construct,1,PA -Aiguer
IA,2935,Terrain,,600000,Particulier,Entreprise industrielle ou commerciale (EPIC),14/04/2008,,Terrain,Particuli,Entrepris,4,
IA,,Appartement et annexes,"68,59",82000,Particulier,Particulier,03/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,"62,15",26000,Particulier,Particulier,02/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Appartement et annexes,"51,9",136000,Particulier,Particulier,03/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,198,Terrain,,10890,Particulier,Particulier,07/01/2008,,Terrain,Particuli,Particuli,1,
IA,,Appartement,"17,5",65000,Particulier,Particulier,08/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,250,Remise,167,290000,Particulier,SCI,09/01/2008,PA -Aiguerelles,Remise,Particuli,SCI,1,PA -Aiguer
IA,,Appartement et annexes,"44,2",154000,Particulier,Particulier,04/01/2008,HF -Aiguelongue,Apparteme,Particuli,Particuli,1,HF -Aiguel
IA,,Appartement et annexes,53,125000,Particulier,Particulier,01/02/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,2,PA -Saint 
IA,386,Villa,106,290000,Particulier,Particulier,03/01/2008,,Villa,Particuli,Particuli,1,
IA,,Local commercial,"52,81",45000,SCI,Particulier,11/01/2008,MC -Les Aubes,Local com,SCI,Particuli,1,MC -Les Au
IA,,Appartement,"36,27",118000,SCI,Particulier,03/01/2008,CE -Alco,Apparteme,SCI,Particuli,1,CE -Alco
IA,,Appartement et annexes,"22,04",68000,Particulier,Particulier,02/01/2008,HF -Aiguelongue,Apparteme,Particuli,Particuli,1,HF -Aiguel
IA,,Appartement et annexes,"52,51",145000,Particulier,Particulier,02/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Comble,8,1,Autre personne morale,,03/01/2008,CA -Lemasson,Comble,Autre per,,1,CA -Lemass
IA,,Appartement,"41,2",95000,Particulier,Particulier,03/01/2008,HF -Plan des quatre Seigneurs,Apparteme,Particuli,Particuli,1,HF -Plan d
IA,,Appartement,"17,46",70000,Particulier,Particulier,03/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"50,04",134000,Particulier,Particulier,02/01/2008,MO -Celleneuve,Apparteme,Particuli,Particuli,1,MO -Cellen
IA,,Garage,,9900,Particulier,Particulier,02/01/2008,MO -La Paillade,Garage,Particuli,Particuli,1,MO -La Pai
IA,262,Villa,98,265000,Particulier,Particulier,10/01/2008,HF -Hopitaux Facultés,Villa,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,0,122000,Particulier,Particulier,03/01/2008,CA -Pas du Loup,Apparteme,Particuli,Particuli,1,CA -Pas du
IA,253,Immeuble,200,475000,Particulier,Particulier,15/01/2008,MC -Gambetta,Immeuble,Particuli,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"42,73",81000,Particulier,,02/01/2008,MC -Gares,Apparteme,Particuli,,1,MC -Gares
IA,,Appartement et annexes,"97,28",120000,Particulier,Particulier,02/01/2008,MC -Figuerolles,Apparteme,Particuli,Particuli,1,MC -Figuer
IA,,Appartement,"82,26",236000,Particulier,Particulier,02/01/2008,MC -Figuerolles,Apparteme,Particuli,Particuli,1,MC -Figuer
IA,,Appartements 2 et +,175,250000,Particulier,Particulier,02/01/2008,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"69,94",160000,Particulier,Particulier,02/01/2008,,Apparteme,Particuli,Particuli,1,
IA,,Parking,,45000,promoteur immobilier,,03/01/2008,MC -Antigone,Parking,promoteur,,1,MC -Antigo
IA,,Parking,,13000,promoteur immobilier,,03/01/2008,MC -Antigone,Parking,promoteur,,1,MC -Antigo
IA,,Appartement,"21,57",62000,Particulier,Particulier,04/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"70,59",175000,Particulier,Particulier,03/01/2008,MC -Les Aubes,Apparteme,Particuli,Particuli,1,MC -Les Au
IA,,Appartement et annexes,"21,96",46000,Particulier,,03/01/2008,MC -Gares,Apparteme,Particuli,,1,MC -Gares
IA,,Appartement et annexes,19,82000,SCI,Particulier,04/01/2008,MC -Gares,Apparteme,SCI,Particuli,1,MC -Gares
IA,,Local professionnel,48,145000,SCI,,03/01/2008,MC -Comédie,Local pro,SCI,,1,MC -Comédi
IA,,Appartement,"24,67",46000,Particulier,Particulier,03/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement et annexes,"40,21",144000,Particulier,Particulier,03/01/2008,MC -Comédie,Apparteme,Particuli,Particuli,1,MC -Comédi
IA,,Appartement,"16,36",55500,Particulier,,03/01/2008,MC -Centre Historique,Apparteme,Particuli,,1,MC -Centre
IA,,Appartement et annexes,39,126000,Particulier,Particulier,07/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,,Appartement et annexes,"29,5",71000,Particulier,,03/01/2008,MC -Comédie,Apparteme,Particuli,,1,MC -Comédi
IA,,Appartement,"71,75",172000,Particulier,Particulier,04/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"44,37",102000,SCI,Particulier,03/01/2008,CA -Estanove,Apparteme,SCI,Particuli,1,CA -Estano
IA,,Garage,,14800,Particulier,Particulier,03/01/2008,CE -La Chamberte,Garage,Particuli,Particuli,1,CE -La Cha
IA,,Appartement et annexes,"50,51",150000,Particulier,Particulier,04/01/2008,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartements 2 et +,"91,63",225000,Particulier,,03/01/2008,MC -Gambetta,Apparteme,Particuli,,1,MC -Gambet
IA,,Appartement et annexes,"100,25",230000,Particulier,Particulier,04/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartements 2 et +,"192,35",600000,SCI,Particulier,04/01/2008,MC -Gares,Apparteme,SCI,Particuli,1,MC -Gares
IA,,Appartement et annexes,"82,05",125000,Particulier,Particulier,04/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Appartement et annexes,"47,01",155000,Particulier,Particulier,03/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,,Appartement et annexes,"66,62",150000,Particulier,Particulier,04/01/2008,CA -Croix d'Argent,Apparteme,Particuli,Particuli,1,CA -Croix 
IA,,Appartement et annexes,"62,61",117000,,Particulier,04/01/2008,CE -Alco,Apparteme,,Particuli,1,CE -Alco
IA,321,Villa,"106,5",270000,Particulier,Particulier,04/01/2008,CE -La Martelle,Villa,Particuli,Particuli,1,CE -La Mar
IA,4821,Terrain,,144630,Particulier,SEM,04/01/2008,MO -La Paillade,Terrain,Particuli,SEM,1,MO -La Pai
IA,,Appartement et annexes,"17,75",55000,Particulier,Particulier,09/01/2008,MC -Figuerolles,Apparteme,Particuli,Particuli,1,MC -Figuer
IA,,Appartement et annexes,"68,87",153000,Particulier,Particulier,09/01/2008,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"55,23",113000,Particulier,Particulier,08/01/2008,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,,Local ,"39,41",91000,Particulier,Particulier,09/01/2008,MC -Boutonnet,Local ,Particuli,Particuli,1,MC -Bouton
IA,,Appartement,"69,24",200000,Particulier,Particulier,08/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Garage,25,10000,Particulier,Particulier,08/01/2008,MC -Figuerolles,Garage,Particuli,Particuli,1,MC -Figuer
IA,,Parking,,28000,,Particulier,08/01/2008,MC -Comédie,Parking,,Particuli,1,MC -Comédi
IA,,Appartement et annexes,"40,17",113000,Particulier,SCI,08/01/2008,MC -Boutonnet,Apparteme,Particuli,SCI,1,MC -Bouton
IA,,Appartement,"30,13",90000,Particulier,Particulier,08/01/2008,MC -Comédie,Apparteme,Particuli,Particuli,1,MC -Comédi
IA,,Appartement et annexes,"85,84",146000,Particulier,Particulier,08/01/2008,,Apparteme,Particuli,Particuli,1,
IA,,Appartement et annexes,"49,1",90000,Particulier,Particulier,08/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement,"27,91",35000,SCI,Particulier,07/01/2008,MC -Gambetta,Apparteme,SCI,Particuli,1,MC -Gambet
IA,,Appartement et annexes,39,80000,Particulier,Particulier,07/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement,"66,06",153000,Particulier,Particulier,07/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement,"86,59",33000,Particulier,Particulier,07/01/2008,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,,Appartement,"30,7",30000,SCI,Particulier,07/01/2008,MC -Figuerolles,Apparteme,SCI,Particuli,1,MC -Figuer
IA,,Appartement et annexes,"74,76",270000,Particulier,Particulier,07/01/2008,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Appartements 2 et +,"122,08",327500,Particulier,Particulier,10/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Local commercial,"73,25",30000,,Particulier,07/01/2008,MC -Comédie,Local com,,Particuli,1,MC -Comédi
IA,,Appartement et annexes,"40,5",113000,Particulier,Particulier,07/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Local ,"106,1",210000,Particulier,Particulier,07/01/2008,MC -Les Beaux Arts,Local ,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"89,1",192000,Particulier,Particulier,07/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement,"26,48",80000,Particulier,Particulier,07/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"69,65",183000,Particulier,Particulier,08/01/2008,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"55,33",126000,Particulier,Particulier,09/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"54,01",130000,Particulier,Particulier,09/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"34,96",121500,Particulier,Particulier,09/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement,"27,08",62500,Particulier,Particulier,10/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Parking,,3100,Particulier,SCI,10/01/2008,MC -Gares,Parking,Particuli,SCI,1,MC -Gares
IA,,Appartement et annexes,"36,63",73000,Particulier,Particulier,10/01/2008,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Appartement,13,30000,Particulier,,07/01/2008,MC -Gambetta,Apparteme,Particuli,,1,MC -Gambet
IA,,Appartement et annexes,"46,48",130000,Particulier,SCI,10/01/2008,MC -Antigone,Apparteme,Particuli,SCI,1,MC -Antigo
IA,,Appartement et annexes,"34,48",95000,Notaire,Particulier,10/01/2008,MC -Antigone,Apparteme,Notaire,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"65,31",152158,Particulier,Particulier,10/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"57,92",120000,Particulier,Particulier,10/01/2008,MC -Figuerolles,Apparteme,Particuli,Particuli,1,MC -Figuer
IA,,Appartement,"71,17",119575,Particulier,Particulier,10/01/2008,MC -Les Aubes,Apparteme,Particuli,Particuli,1,MC -Les Au
IA,,Local ,"29,86",41000,SCI,Particulier,10/01/2008,MC -Gambetta,Local ,SCI,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"55,76",140000,Particulier,Particulier,17/01/2008,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Local commercial,"280,7",280000,,,11/01/2008,MC -Comédie,Local com,,,1,MC -Comédi
IA,,Appartement et annexes,"45,35",135000,Particulier,Particulier,07/01/2008,CE -La Martelle,Apparteme,Particuli,Particuli,1,CE -La Mar
IA,,Cave,5,2100,Particulier,Particulier,10/01/2008,MC -Centre Historique,Cave,Particuli,Particuli,1,MC -Centre
IA,,Appartement et annexes,"60,46",167000,,Particulier,10/01/2008,MC -Comédie,Apparteme,,Particuli,1,MC -Comédi
IA,63,Maison,111,380000,Particulier,Particulier,10/01/2008,MC -Centre Historique,Maison,Particuli,Particuli,1,MC -Centre
