nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Quartiers,Dates,Dates D,Occup,CODES,Cod acteurs,,code date,Code cadastre,delais
IA,,Appartement et annexes,"30,17",78000,Particulier,Particulier,CA -Croix d'Argent,14/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Croix ,12
IA,1463,Villa,150,350000,Particulier,Particulier,PM -Pompignane,25/01/2010,04/02/2010,Locataire,Villa,Particuli,Particuli,1,PM -Pompig,10
IA,,Local professionnel,"352,95",335000,SACI-SCCV,SCI,MC -Gambetta,11/01/2010,19/02/2010,,Local pro,SACI-SCCV,SCI,1,MC -Gambet,39
IA,,Appartement,"74,08",215000,Particulier,Particulier,MC -Centre Historique,07/01/2010,26/01/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Centre,19
IA,,Appartement et annexes,"18,75",60000,Particulier,Particulier,MC -Les Beaux Arts,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Les Be,7
IA,,Appartements 2 et +,"56,36",190000,Particulier,Particulier,MC -Gambetta,11/01/2010,12/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gambet,32
IA,408,Villa,140,286000,Particulier,Particulier,MC -Les Aubes,08/01/2010,18/01/2010,Propriétaire,Villa,Particuli,Particuli,1,MC -Les Au,10
IA,275,Villa,"102,7",203000,Particulier,SCI,MO -Hauts de Massane,12/01/2010,04/02/2010,Propriétaire,Villa,Particuli,SCI,1,MO -Hauts ,23
IA,,Appartement et annexes,"85,77",190000,Particulier,Particulier,MC -Antigone,15/01/2010,03/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Antigo,19
IA,,Appartement et annexes,"81,37",310000,Particulier,Particulier,PM -Port Marianne,05/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,PM -Port M,6
IA,,Appartement et annexes,"67,77",139000,SCI,Particulier,HF -Hopitaux Facultés,04/01/2010,11/01/2010,Sans occupant,Apparteme,SCI,Particuli,1,HF -Hopita,7
IA,,Appartement et annexes,"72,07",188000,Particulier,Particulier,PM -Pompignane,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,PM -Pompig,7
IA,,Appartement et annexes,"68,88",190000,Particulier,Particulier,CE -Les Cévennes,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CE -Les Cé,7
IA,,Appartements 2 et +,"89,51",250000,SCI,SCI,MC -Gares,04/01/2010,11/01/2010,Locataire,Apparteme,SCI,SCI,1,MC -Gares,7
IA,,Parking,,22000,SCI,SACI-SCCV,CE -Les Cévennes,04/01/2010,11/01/2010,,Parking,SCI,SACI-SCCV,1,CE -Les Cé,7
IA,,Appartement et annexes,"39,03",87000,Particulier,Particulier,CA -Lemasson,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Lemass,7
