nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Quartiers,Dates,Dates D,Occup,CODES,Cod acteurs,,Code date,Code cadastre,delais
IA,446,Terrain,,200500,Particulier,Particulier,CA -Croix d'Argent,25/02/2011,03/03/2011,Sans occupant,Terrain,Particuli,Particuli,2,CA -Croix ,6
IA,,Local commercial,51,40000,Particulier,Particulier,MO -La Paillade,10/01/2011,,Sans occupant,Local com,Particuli,Particuli,1,MO -La Pai,-40553
IA,,Appartement et annexes,"39,19",129000,Particulier,Particulier,MC -Les Beaux Arts,04/01/2011,21/01/2011,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Les Be,17
IA,,Local ,"29,7",62370,Autre personne morale,SCI,PM -Millénaire,05/01/2011,13/01/2011,Propriétaire,Local ,Autre per,SCI,1,PM -Millén,8
IA,137,Villa,"78,28",261000,Particulier,,HF -Aiguelongue,03/01/2011,07/01/2011,Sans occupant,Villa,Particuli,,1,HF -Aiguel,4
IA,,Appartement et annexes,"38,5",125000,Particulier,Particulier,CA -Lemasson,04/01/2011,07/01/2011,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Lemass,3
IA,,Appartement et annexes,"61,02",190000,Particulier,Particulier,MC -Les Beaux Arts,03/01/2011,13/01/2011,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Les Be,10
IA,,Appartement et annexes,"50,36",122000,Particulier,Particulier,MC -Gambetta,03/01/2011,21/01/2011,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Gambet,18
IA,,Appartement et annexes,"85,61",223000,Particulier,Particulier,MC -Antigone,04/01/2011,13/01/2011,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Antigo,9
IA,,Local commercial,"80,28",270000,Particulier,SCI,MC -Comédie,05/01/2011,13/01/2011,Propriétaire,Local com,Particuli,SCI,1,MC -Comédi,8
IA,,Appartement et annexes,"70,03",146000,Particulier,Particulier,CA -Lemasson,05/01/2011,13/01/2011,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Lemass,8
IA,,Appartement et annexes,"57,19",135000,Particulier,Particulier,MC -Les Aubes,05/01/2011,,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Au,-40548
IA,,Appartement,"37,15",230000,Particulier,Particulier,MC -Comédie,04/01/2011,21/01/2011,Locataire,Apparteme,Particuli,Particuli,1,MC -Comédi,17
IA,,Appartement,"50,18",155000,Particulier,Particulier,MC -Gares,05/01/2011,13/01/2011,Locataire,Apparteme,Particuli,Particuli,1,MC -Gares,8
IA,,Appartements 2 et +,"43,65",135000,Particulier,Particulier,MC -Centre Historique,05/01/2011,21/01/2011,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Centre,16
IA,,Appartement,"66,05",170000,Particulier,Particulier,MC -Centre Historique,06/01/2011,27/01/2011,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Centre,21
IA,,Appartement et annexes,"23,68",81000,Particulier,Particulier,MC -Centre Historique,05/01/2011,03/03/2011,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Centre,57
IA,,Appartement,"53,44",165000,SCI,Particulier,MC -Antigone,06/01/2011,13/01/2011,Sans occupant,Apparteme,SCI,Particuli,1,MC -Antigo,7
IA,,Appartement et annexes,"96,15",330000,Particulier,Particulier,MC -Les Beaux Arts,04/01/2011,13/01/2011,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Be,9
