Valeur ETP (en mm) observée par semaine;
;
30/05/2011;4,24
31/05/2011;3,46
01/06/2011;2,41
02/06/2011;0,9
03/06/2011;2,51
04/06/2011;1
05/06/2011;2,86
Moyenne semaine;2,48
13/06/2011;4,3
14/06/2011;5,79
15/06/2011;6,16
16/06/2011;4,66
17/06/2011;3,26
18/06/2011;4,58
19/06/2011;6,35
Moyenne semaine;5,01
13/06/2011;4,3
14/06/2011;5,79
15/06/2011;6,16
16/06/2011;4,66
17/06/2011;3,26
18/06/2011;4,58
19/06/2011;6,35
Moyenne semaine;5,01
27/06/2011;5,38
28/06/2011;5,68
29/06/2011;6,04
30/06/2011;7,1
01/07/2011;7,23
02/07/2011;6,85
03/07/2011;6,28
Moyenne semaine;6,37
25/07/2011;3,06
26/07/2011;2,91
27/07/2011;3,31
28/07/2011;4,81
29/07/2011;5,61
30/07/2011;5,51
31/07/2011;6,19
Moyenne semaine;4,49
01/08/2011;5,88
02/08/2011;4,35
03/08/2011;5,1
04/08/2011;6,2
05/08/2011;4,45
06/08/2011;1,81
07/08/2011;1,69
Moyenne semaine;4,21
08/08/2011;5,12
09/08/2011;5,95
10/08/2011;6,66
11/08/2011;5,97
12/08/2011;5,23
13/08/2011;6,3
14/08/2011;3,9
Moyenne semaine;5,59
15/08/2011;5,22
16/08/2011;5,87
17/08/2011;5,33
18/08/2011;4,38
19/08/2011;5,15
20/08/2011;4,95
21/08/2011;4,48
Moyenne semaine;5,05
22/08/2011;5,33
23/08/2011;4,64
24/08/2011;3,6
25/08/2011;3,18
26/08/2011;2,93
27/08/2011;4,61
28/08/2011;4,65
Moyenne semaine;4,13
29/08/2011;4,84
30/08/2011;5,1
31/08/2011;2,71
01/09/2011;3,17
02/09/2011;4,38
03/09/2011;2,3
04/09/2011;1,74
Moyenne semaine;3,46
05/09/2011;4,78
06/09/2011;4,92
07/09/2011;5,05
08/09/2011;5,17
09/09/2011;4,42
10/09/2011;3,24
11/09/2011;2,18
Moyenne semaine;4,25
12/09/2011;4,68
13/09/2011;4,7
14/09/2011;4,55
15/09/2011;4,09
16/09/2011;3
17/09/2011;2,77
18/09/2011;1,7
Moyenne semaine;3,64
26/09/2011;2,82
27/09/2011;3,06
28/09/2011;3,04
29/09/2011;2,95
30/09/2011;3,08
01/10/2011;2,98
02/10/2011;2,94
Moyenne semaine;2,98
03/10/2011;3,02
04/10/2011;3,32
05/10/2011;3,09
06/10/2011;2,62
07/10/2011;2,99
08/10/2011;2,78
09/10/2011;2,57
Moyenne semaine;2,91
10/10/2011;3,31
11/10/2011;3,06
12/10/2011;3,15
13/10/2011;2,85
14/10/2011;2,74
15/10/2011;1,97
16/10/2011;1,56
Moyenne semaine;2,66
12/03/2012;3,28
13/03/2012;3,65
14/03/2012;2,7
15/03/2012;1,61
16/03/2012;1,68
17/03/2012;1,04
18/03/2012;1,23
Moyenne semaine;2,17
19/03/2012;2,45
20/03/2012;2,35
21/03/2012;1,48
22/03/2012;2,03
23/03/2012;3,26
24/03/2012;3,38
25/03/2012;3,64
Moyenne semaine;2,66
26/03/2012;3,78
27/03/2012;3,94
28/03/2012;3,69
29/03/2012;3,57
30/03/2012;4,88
31/03/2012;4,42
01/04/2012;4,16
Moyenne semaine;4,06
04/06/2012;6,09
05/06/2012;5,78
06/06/2012;3,53
07/06/2012;1,73
08/06/2012;3,25
09/06/2012;5,03
10/06/2012;3,73
Moyenne semaine;4,16
18/06/2012;5,4
19/06/2012;3,79
20/06/2012;6,62
21/06/2012;6,27
22/06/2012;7,08
23/06/2012;6,27
24/06/2012;6,37
Moyenne semaine;5,97
25/06/2012;7,36
26/06/2012;6,9
27/06/2012;6,93
28/06/2012;5,33
29/06/2012;4,6
30/06/2012;1,95
01/07/2012;1,45
Moyenne semaine;4,93
23/07/2012;7,01
24/07/2012;5,77
25/07/2012;6,02
26/07/2012;5,02
27/07/2012;4,64
28/07/2012;6,29
29/07/2012;6,85
Moyenne semaine;5,94
30/07/2012;6,6
31/07/2012;6,98
01/08/2012;5,32
02/08/2012;5,52
03/08/2012;6,11
04/08/2012;6,15
05/08/2012;4,97
Moyenne semaine;5,95
06/08/2012;4,7
07/08/2012;6,22
08/08/2012;6,51
09/08/2012;6,63
10/08/2012;7,26
11/08/2012;6,65
12/08/2012;6,18
Moyenne semaine;6,31
13/08/2012;5,94
14/08/2012;5,56
15/08/2012;3,31
16/08/2012;5,72
17/08/2012;5,92
18/08/2012;5,29
19/08/2012;5,04
Moyenne semaine;5,25
20/08/2012;5,12
21/08/2012;4,79
22/08/2012;4,57
23/08/2012;3
24/08/2012;3,34
25/08/2012;4,28
26/08/2012;5,74
Moyenne semaine;4,41
27/08/2012;5,56
28/08/2012;2,72
29/08/2012;2,39
30/08/2012;3,2
31/08/2012;4,33
01/09/2012;3,89
02/09/2012;3,96
Moyenne semaine;3,72
03/09/2012;2,99
04/09/2012;4,12
05/09/2012;4,13
06/09/2012;3,95
07/09/2012;4,34
08/09/2012;3,75
09/09/2012;3,29
Moyenne semaine;3,8
10/09/2012;2,72
11/09/2012;3,02
12/09/2012;1,65
13/09/2012;3,23
14/09/2012;4,68
15/09/2012;4,51
16/09/2012;3,45
Moyenne semaine;3,32
17/09/2012;2,92
18/09/2012;2,02
19/09/2012;3,83
20/09/2012;3,44
21/09/2012;1,5
22/09/2012;2,4
23/09/2012;1,78
Moyenne semaine;2,56
