"materiau,C,50","type,C,50","hauteur,N,19,8"
"Aluminium","LANTERNE FACADE",0
"Aluminium","Mât d'éclairage",8
"Aluminium","Mât d'éclairage","4,5"
"Aluminium","Mât d'éclairage",8
"Béton","Poteau béton",10
"Béton","Poteau béton",8
"Béton","Poteau béton",9
"Aluminium","Mât d'éclairage","4,5"
"Béton","Poteau béton",8
"Aluminium","Mât d'éclairage","4,5"
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
,"BORNE COLONNE",0
"Alu","BORNE COLONNE","3,20000005"
"Acier","Candélabre",10
"Acier","Candélabre",10
"Acier","Candélabre",10
"Acier","Candélabre",10
"Acier","Candélabre",10
"Alu","Candélabre",8
"Acier","Candélabre",14
"Acier","Candélabre",14
"Acier","Candélabre",14
"Alu","BORNE COLONNE","3,20000005"
"Alu","BORNE COLONNE","3,20000005"
"Fonderie d'aluminium","BORNE COLONNE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",8
,"LANTERNE FACADE",8
,"LANTERNE FACADE",8
,"LANTERNE FACADE",8
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
,"Poteau béton",8
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Alu","LANTERNE FACADE",0
"Alu","LANTERNE FACADE",0
"Alu","LANTERNE FACADE",0
"Alu","LANTERNE FACADE",0
"Alu","LANTERNE FACADE",0
"Alu","LANTERNE FACADE",0
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",6
"Alu","Candélabre",8
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
,"Candélabre",8
"Aluminium","Candélabre",10
"FONTE","Candélabre","3,20000005"
"Acier","Candélabre","3,5"
"Acier","Candélabre","3,5"
"Acier","Candélabre","3,5"
"Béton","Poteau béton",10
,"Candélabre",0
,"Candélabre",0
,"Candélabre",0
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
,"Candélabre",0
,"Candélabre",0
,"Candélabre",0
"Aluminium","Candélabre",10
"Alu","Candélabre",10
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Béton","Candélabre",4
"Alu","Candélabre",8
"Alu","Candélabre",8
"Béton","Candélabre",4
"Béton","Candélabre",4
"Béton","Candélabre",4
"Alu","Candélabre",8
"Alu","Candélabre",8
"Acier","Candélabre","3,5"
,"Candélabre",0
"Alu","Candélabre",8
,"Candélabre",0
"Béton","Candélabre",4
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",4
"Alu","Candélabre",4
"Alu","Candélabre",4
"Alu","Candélabre",4
"Béton","Candélabre",4
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Béton","Candélabre",4
,"LANTERNE FACADE",0
"Alu","Candélabre",4
,"LANTERNE FACADE",8
"Béton","Poteau béton",8
"Béton","Poteau béton",8
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
,"LANTERNE FACADE",0
"FONTE","Candélabre",0
"Alu","BORNE COLONNE","3,20000005"
"Béton","Poteau béton",8
"Alu","BORNE COLONNE","3,20000005"
"Alu","BORNE COLONNE","3,20000005"
"FONTE","Candélabre",0
"FONTE","Candélabre",0
"FONTE","Candélabre",0
"Acier","Candélabre",4
"Acier","Candélabre",4
"ALU","CANDELABRE",8
,"Poteau béton",8
"Acier","Candélabre",4
"Béton","Poteau béton",10
"Béton","Poteau béton",10
,"Poteau béton",8
"Béton","Poteau béton",10
"Acier","Candélabre",4
"Béton","Poteau béton",8
"Béton","Poteau béton",7
"Béton","Poteau béton",6
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre",8
"Alu","Candélabre","3,20000005"
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"Alu","Candélabre","3,20000005"
"Alu","Candélabre","3,20000005"
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"Acier","Candélabre",4
"Acier","Candélabre",4
"Acier","Candélabre",4
"Béton","Poteau béton",8
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
,"Poteau béton",8
"Béton","Poteau béton",10
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",0
"ALU","CANDELABRE",0
"ALU","CANDELABRE",8
"ALU","CANDELABRE",10
"ALU","CANDELABRE",7
"ALU","CANDELABRE",7
"ALU","CANDELABRE",7
"ALU","CANDELABRE",0
"ALU","CANDELABRE",0
"ALU","CANDELABRE",0
"ALU","CANDELABRE",12
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"Béton","Poteau béton",10
"Béton","Poteau béton",8
"Béton","Poteau béton",8
,"Poteau béton",0
,"Poteau bois",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
,"Poteau bois",8
"Aluminium","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"ALU","CANDELABRE",9
,"Poteau béton",0
"Alu","Candélabre",8
"Béton","Poteau béton",8
"Alu","Candélabre",8
"Alu","Candélabre",8
,"Poteau bois",9
,"Poteau béton",8
"Alu","Candélabre",8
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"Aluminium","Candélabre",6
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Aluminium","Candélabre",8
"Béton","Poteau béton",9
,"Candélabre",10
,"Candélabre",10
"Béton","Poteau béton",7
"Béton","Poteau béton",10
"Béton","Poteau béton",10
"Béton","Poteau béton",9
"Béton","Poteau béton",9
,"Poteau béton",8
"Béton","Poteau béton",10
"ALU","CANDELABRE",6
"ALU","CANDELABRE",6
"ALU","CANDELABRE",6
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",8
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"ALU","CANDELABRE",9
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",8
"Alu","Candélabre",8
"Béton","Poteau béton",10
,"Poteau béton",8
"Béton","Poteau béton",10
"Béton","Poteau béton",10
"Béton","Poteau béton",10
,"Poteau béton",8
"Alu","Candélabre",8
"Alu","Candélabre",8
,"Candélabre",6
"Béton","Poteau béton",9
"Béton","Poteau béton",9
,"Poteau béton",8
,"Candélabre",6
,"Candélabre",6
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",8
"Alu","Candélabre",7
"Alu","Candélabre",7
"Alu","Candélabre",7
"Aluminium","Candélabre",8
"Alu","Candélabre",10
"Alu","Candélabre",10
"Alu","Candélabre",5
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Béton","Poteau béton",8
"Aluminium","Candélabre",6
"Béton","Poteau béton",8
"Béton","Poteau béton",10
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"BOIS","Poteau bois",6
"Aluminium","Candélabre",6
"Aluminium","Candélabre",6
"Béton","Poteau béton",9
"Aluminium","Candélabre",6
"BOIS","Poteau bois",8
"BOIS","Poteau bois",8
"BOIS","Poteau bois",8
"BOIS","Poteau bois",8
"Béton","Poteau béton",9
,"Poteau béton",8
"Béton","Poteau béton",10
"Béton","Poteau béton",10
"Béton","Poteau béton",10
