"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Oui","Non","19900101",376,"Non","Espace chiens MoularÞs / Trinquat",5,14,"Les Aiguerelles","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","EspChi","Espace chiens","19900101","rue du pont Trinquat",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,34451,"N7",1,"SEV",50,"Sariviere",33633,3,"Rustique",0,0,0,0,416,0,0,"725656,77215639","145322,63571243",0,0,1,"Ville de Montpellier","Accompagnement de voirie","Accompagnement de voirie",416,0,416,0,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 - MoularÞs (465 m)","8 - CollÞge des Aiguerelles (121 m)",0,"Non","Chiens MoularÞs","3,892965","43,597153"
"Oui","Non","19890101",476,"Non","Espace chiens Echelles de la ville",3,25,"Antigone","Centre","C","Antigone","EspChi","Espace chiens","19890101","Ave Henri Frenay",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,34862,"M9",1,"SEV",50,"Sariviere",33633,2,"Normal",0,0,0,0,881,0,0,"725084,69204019","146488,13202118",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",881,0,881,0,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",40065,"1 - Antigone (119 m)","8 - H¶tel de Ville (291 m)",0,"Non","Chiens Echelles","3,886152","43,607739"
"Oui","Non","20040101",981,"Non","Espace chiens  Benjamin Milhau",7,20,"Les Arceaux","Centre","B","Peyrou","EspChi","Espace chiens",,"Bd Benjamin Milhau",0,0,0,0,1452,0,0,0,"Non","Non","Non",,0,0,,"i10",1,"SEV",47,"UPEE7",38071,2,"Normal",0,0,0,0,0,0,0,"722988,1860549","146868,50276168",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1452,0,1452,0,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",39464,,"6 - Ave de l'agriculture (86 m)",0,"Oui","Chiens Milhau","3,860273","43,611515"
"Oui","Non","20040101",982,"Non","Espace chiens  rue Antonin BalmÞs",5,12,"PrÞs d'ArÞnes","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","EspChi","Espace chiens",,"rue Antonin BalmÞs - Ave de Maurin",0,0,0,0,2327,0,0,0,"Non","Non","Non",,0,0,,"K3",1,"SEV",50,"Sariviere",38071,2,"Normal",0,0,0,0,0,0,0,"724269,19146668","143237,90135548",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",2327,0,2327,0,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"16 - Tournezy (Terminus) (252 m)",0,"Oui","Chiens BalmÞs","3,875299","43,578626"
"Oui","Non",,1014,"Non","Espace chiens Clemenceau",1,22,"Gambetta","Centre","B","Peyrou","Espchi","Espace chiens","19500101","Avenue Georges Clemenceau",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,,"J8",1,"SEV",47,"UPEE7",38673,2,"Normal",0,0,0,0,364,0,0,"723908,47514134","146033,13756536",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",364,0,364,0,0,0,0,0,0,"Centre","Non",1,"Portail","Non",0,"Pas d'Úvolution possible","Non",39134,"2 - Rondelet (321 m)","7 - LycÚe Clemenceau (54 m)",0,"Non","Chiens Clemenceau","3,871479","43,603844"
"Oui","Non","19790101",1015,"Non","Espace chiens du Square du Mas Drevon",6,10,"Lemasson","Croix d'Argent","W","Croix d'Argent","EspChi","Espace chiens","19790101","rue Henri Roseau",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,,"J6",1,"SEV",50,"Sariviere",38673,2,"Normal",0,0,0,0,813,0,0,"723710,56464","144717,44789154",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",813,0,813,0,0,0,0,0,0,"Sud","Oui",1,"Portail","Non",0,"Pas d'Úvolution possible","Non",,"2 - Croix d'Argent (235 m)","5 - Richemont (254 m)",0,"Non","Chiens Mas Drevon","3,868725","43,592036"
"Oui","Non","19840101",1016,"Non","Espace chiens Mail Saint-Martin",5,13,"Saint-Martin","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","EspChi","Espace chiens","19840101","Avenue du MarÚchal Leclerc",0,0,0,0,0,0,0,0,"Non","Non","Oui",,0,0,,"L6",1,"SEV",50,"Sariviere",38673,2,"Normal",0,0,0,0,486,0,0,"724889,72444593","144863,33199981",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",486,0,486,0,0,0,0,0,0,"Sud","Oui",1,"Portail","Oui",1,"Circulations Ó modifier","Oui",,,"12 - Castors (200 m)",0,"Non","Chiens St-Martin","3,88336","43,59315"
"Oui","Non","19830101",1017,"Non","Espace chiens Jardin de la PÚpiniÞre",5,13,"Saint-Martin","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","EspChi","Espace chiens","19830101","418, Rue de Centrayrargues",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,,"L7",1,"SEV",50,"Sariviere",38674,2,"Normal",0,0,0,0,520,0,0,"725022,05016085","145073,9600639",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",520,0,520,0,0,0,0,0,0,"Sud","Non",1,"Portail","Non",1,"Circulations Ó modifier","Non",,,"12 - La CrÞche (53 m)",0,"Non","Chiens PÚpiniÞre","3,885047","43,595023"
"Oui","Non","01/01/1880",1018,"Non","Espace chiens Parc Rimbaud",4,24,"Les Aubes","Centre","E","Verdanson","EspChi","Espace chiens","20050101","Rue St AndrÚ de Novigens",0,0,0,0,0,0,0,0,"Non","Oui","Non","platane",0,0,,"N11",1,"SEV",50,"Sariviere",38677,2,"Normal",0,0,0,0,3387,0,0,"725877,38508381","147704,81389242",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",3387,0,3387,0,1,2,1,3,0,"Centre","Oui",1,"Portail","Non",0,"Pas d'Úvolution possible","Non",40065,,"La Ronde - Foyer des Aubes (126 m)",0,"Non","Chiens Rimbaud","3,896256","43,618555"
"Oui","Non","19881201",1019,"Non","Espace chiens Parc Edith Piaf",3,28,"Les Beaux Arts","Centre","E","Verdanson","EspChi","Espace chiens","19881201","Avenue St Lazare",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,,"M12",1,"SEV",50,"Sariviere",38677,2,"Normal",0,0,0,0,658,0,0,"725257,37762368","148141,41517897",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",658,0,658,0,0,0,0,0,0,"Centre","Oui",3,"Tourniquet handicapÚ","Non",0,"Pas d'Úvolution possible","Non",40065,"2 - Saint-Lazare (431 m)","La Ronde - Le Mail (199 m)",0,"Non","Chiens Piaf","3,888676","43,622589"
