ID_MTPWEB;CATEGORIE;NOM;QUARTIER;SOUSQUARTIER;TELEPHONE;FAX;COURRIEL;SITEWEB;STATIONNEMENT;ID_GIS_DELTA;LATITUDE;LONGITUDE;ADDR_NUMERO;ADDR_SUFFIXE;ADDR_VOIETYPE;ADDR_NOMVOIE;ADDR_COMPLEMENTAIRE;ADDR_CODEPOSTAL;ADDR_VILLE;ADDR_CEDEX;AME_ACCESSIBILITEGENERALE;AME_BOUCLEMAGNETIQUE;AME_TOILETTE;AME_ASCENSEUR;AME_PLACESTATIONNEMENT;AME_ACCESSIBILITESTATIONNEMENT;ACCES_PRECISION;ACCES_TRAM;ACCES_BUS;COMMENTAIRE;ENSAVOIRPLUS
404;Lycées;Lycée Agropolis;Hôpitaux - Facultés;;04 67 63 89 89;04 67 63 26 36;;;;70009600;43.6465099873;3.86416642895;3224;;route de Mende;;;34093;Montpellier;Cedex 5;;0;;;;;;;;<ul><li>Section enseignement général et technologique </li><li>Avec internat et demi-pension</li></ul>;
1219;Musées;Agropolis Museum;Hôpitaux - Facultés;;04 67 04 75 00;;museum@agropolis.fr;www.museum.agropolis.fr;;274;43.6462560065;3.86794968574;951;;avenue Agropolis;;;34394;Montpellier 5;5;;0;;;;;;;;<p>Agropolis-Museum est un musée de science et de société, un lieu unique pour découvrir un autre monde à travers l'alimentation et les hommes qui la produisent. </p>;
1292;Centres de recherche;Institut de recherche pour le développement (IRD);Hôpitaux - Facultés;;04 67 41 61 00;04 67 41 63 30;;www.mpl.ird.fr;;39645;43.6451942948;3.86747599572;911;;avenue Agropolis;;;34394;Montpellier;cedex 5;;0;;;;;;;;<p>L'IRD a pour mission de développer des projets scientifiques centrés sur les relations entre l'homme et son environnement dans la zone intertropicale.</p>;
752;Crèches municipales;Crèche Agropolis;Hôpitaux - Facultés;;04 67 41 20 97;;;;;834;43.6446658852;3.87006461137;30;;rue Jean-François-Breton;;;34090;Montpellier;;;0;;;;;;;;;
1281;Hôpitaux;Centre Val d'Aurelle-Paul Lamarque;;;04 67 61 31 00;;;www.valdorel.fnclcc.fr/;;39073;43.6435108463;3.83794994554;208;;rue;des Apothicaires;parc Euromédecin;34298;Montpellier;;;0;;;;;;"T1, descendre à la station ""Occitanie"" ";"bus n° 16, direction ""Euromédecine"", descendre à l'arrêt ""Antennes"" pour Val d'Aurelle A ou arrêt ""Val d'Aurelle"" pour Val d'Aurelle B.";"<p>Le centre Val d'Aurelle-Paul Lamarque est le Centre R&#233;gional de Lutte contre le Cancer (CRLC) de la r&#233;gion Languedoc-Roussillon.</p> <p>L'&#233;tablissement, situ&#233; &#224; Montpellier, est sp&#233;cialis&#233; dans le traitement du cancer, la recherche, l' enseignement et la pr&#233;vention.</p> <p>Pr&#232;s de 750 professionnels oeuvrent quotidiennement pour proposer des soins de qualit&#233;.</p>";"<p><strong>Pr&#233;cisions acc&#232;s :</strong></p> <ul> <li>Par le train :<br>Depuis la gare, tramway ligne T1, direction ""Mosson"", descendre &#224; la station ""Occitanie"" </li> </ul> <p>Continuer par le bus n&#176; 16. direction ""Eurom&#233;decin"", descendre &#224; l'arr&#234;t ""Antennes"" pour Val d'Aurelle A ou arr&#234;t ""Val d'Aurelle"" pour Val d'Aurelle B.</p> <ul> <li>En voiture :<br>Par l' Ouest (Itin&#233;raire) : A9<br>Emprunter la sortie n&#176; 32 : Saint Jean de V&#233;das, suivre la direction Montpellier-Mosson, puis Ganges, Parc Eurom&#233;decine. </li> <li>Par l' Est (Itin&#233;raire) : A9<br>Emprunter la sortie n&#176; 29 : Montpellier Est, suivre la direction Antigone, puis Millau, H&#244;pitaux-Facult&#233;s, Ganges, Parc Eurom&#233;decine. </li> <li>Par le Nord : De Millau ou de Mende A75 (Itin&#233;raire) : Entrer dans Montpellier, suivre la direction Mosson-Grabels, puis Parc Eurom&#233;decine <br>Venir de Ganges (Itin&#233;raire) : Entrer dans Montpellier par la route de Ganges D986, prendre &#224; droite direction Parc Eurom&#233;decine</li> </ul>"
384;Etat;CNFPT Languedoc Roussillon;Hôpitaux - Facultés;;04 67 61 77 77;;;www.lr.cnfpt.fr;;38967;43.6430916727;3.83969126057;337;;rue des Apothicaires;;Parc Euromédecine;34090;Montpellier;;;0;;;;;;;;Centre nationale de la fonction publique territoriale du Languedoc-Roussillon;
1260;Parcs et jardins;La Serre Amazonienne;Hôpitaux - Facultés;;04 67 54 45 23;;;www.zoo.montpellier.fr/;;477;43.6426998691;3.87696267556;50;;avenue ;d'Agropolis;;34090;Montpellier;;;0;;;;;;;"n°9 "" la navette "", direction Agropolis, arrêt "" zoo "".
";"<p style=""MARGIN-RIGHT: 0px"">La Serre Amazonienne de la Ville de Montpellier est une r&#233;alisation unique en France. Recr&#233;ant toutes les caract&#233;ristiques et sp&#233;cificit&#233;s de la for&#234;t amazonienne, elle permet aux visiteurs de d&#233;couvrir plus de 500 animaux et 3 500 v&#233;g&#233;taux. Elle a pour but de sensibiliser&#160;le public&#160;aux beaut&#233;s et aux particularit&#233;s de l'&#233;cosyst&#232;me amazonien et &#224; la n&#233;cessit&#233; de sa pr&#233;servation.<br>La serre amazonienne a &#233;t&#233; inaugur&#233;e le <strong>30 juin 2007</strong>.</p> <p style=""MARGIN-RIGHT: 0px"">&#160;</p> <p style=""MARGIN-RIGHT: 0px"" align=""center""><img src=""/uploads/Image/73/WEB_CHEMIN_6442_1233677404.gif"" alt="" "" width=""357"" height=""236"" align=""left"" idtf=""6442""></p>";"<p style=""MARGIN-RIGHT: 0px""><strong>Toutes les infos pratiques (horaires, tarifs) sur le site zoo.montpellier.fr</strong></p> <p style=""MARGIN-RIGHT: 0px""><strong></strong></p> <p style=""MARGIN-RIGHT: 0px""><strong>L'AMAZOONE le restaurant de la Serre Amazonienne</strong> :</p> <p style=""MARGIN-RIGHT: 0px"">Sur deux niveaux, le restaurant permet d'avoir une vue panoramique sur l'ensemble de la serre et plus particuli&#232;rement sur l'enclos des sakis &#224; face blanche et des tamarins.<br>Il n'est pas rare que ces derniers s'installent derri&#232;re les vitres pour regarder avec convoitise les assiettes des clients.<br>Le restaurant&#160;a une capacit&#233; de 96 places &#224; l&#8217;int&#233;rieur et une terrasse ext&#233;rieure de 80 places.<br><br>Contact : 04 67 29 88 35</p>"
911;Parcs et jardins;Zoo de Montpellier;Hôpitaux - Facultés;;04 67 54 45 23;;;www.zoo.montpellier.fr;;477;43.6426998691;3.87696267556;50;;Avenue ;Val d'Agropolis;;34090;Montpellier;;;0;;;;;;Ligne 1 arrêt St Eloi;puis bus La Navette direction Agropolis Lavalette, arrêt devant l'entrée du zoo.;"<p style=""MARGIN-RIGHT: 0px"">Le zoo de Montpellier n'est pas un ""poumon vert"" comme les autres. Il est comme une formidable synth&#232;se de toutes les esp&#232;ces animales et v&#233;g&#233;tales que l'on peut trouver dans le milieu m&#233;diterran&#233;en au sens le plus large. <br><br>Avec ses quatre vingts hectares, il est aujourd'hui l'espace vert le plus vaste de Montpellier et le lieu de promenade privil&#233;gi&#233; des Montpelli&#233;rains. <br><br>Il abrite, non seulement, le parc zoologique, mais aussi la r&#233;serve naturelle du Lez, la ferme pour enfants et la serre amazonienne.</p>";<p>Toutes les infos pratiques (horaires, tarifs ...) sont sur le site du zoo, consultez-le.</p>
338;Collèges;Collège Les Garrigues;Mosson;Les Hauts de Massane;04 67 10 73 00;04 67 10 73 04;;;;70010500;43.6426324254;3.81710132197;145;;avenue du Comté-de-Nice;;;34085;Montpellier;;;0;;;;;;;;Sans internat - avec demi pension;
38;Ecoles maternelles;Ecole maternelle Jacques-Prévert;Mosson;;04 67 75 64 66;;;;;1040;43.6426142643;3.81573258262;209;;avenue du Comté de Nice;;;34080;Montpellier;;;0;;;;;;;;;
