ID_MTPWEB;CATEGORIE;NOM;QUARTIER;SOUSQUARTIER;TELEPHONE;FAX;COURRIEL;SITEWEB;STATIONNEMENT;ID_GIS_DELTA;LATITUDE;LONGITUDE;ADDR_NUMERO;ADDR_SUFFIXE;ADDR_VOIETYPE;ADDR_NOMVOIE;ADDR_COMPLEMENTAIRE;ADDR_CODEPOSTAL;ADDR_VILLE;ADDR_CEDEX;AME_ACCESSIBILITEGENERALE;AME_BOUCLEMAGNETIQUE;AME_TOILETTE;AME_ASCENSEUR;AME_PLACESTATIONNEMENT;AME_ACCESSIBILITESTATIONNEMENT;ACCES_PRECISION;ACCES_TRAM;ACCES_BUS;COMMENTAIRE;OSM_ID;OSM_TYPE;ID_ANCHOR
1375;salles; Salle Louis Feuillade;Mosson;;04 99 77 00 99;;;;;;;;410;;Avenue;de Barcelone;;34000;Montpellier;;;0;;;;;;Ligne 1 - arrêt Mosson;;;;;1218
465;Adresses utiles;A cœur ouvert;Montpellier Centre;Centre historique;04 67 66 12 30;;;;;;;;7;;rue;de Candolle;;34000;Montpellier;;;0;;;;;;;;;;;512
1217;Associations;A coeur ouvert;Montpellier Centre;;04 67066012030;;;;;;;;7;;Rue;de Candolle;;34000;Montpellier;;;0;;;;;;;;;;;1082
1131;Baby sitting;A Domicile Hérault;Les Cévennes;;04 76 92 84 01;;;;;;;;130;;Impasse;Jean Brullet;;34000;Montpellier;;;0;;;;;;;;;;;1015
1155;Ecoles d'enseignement supérieur;Académie Mercure des Affaires Internationales;Mosson;Les Hauts de Massane;04 67 10 57 57;04 67 52 33 30;info@academiemercure.com;www.academie-mercure.com;;;;;1702;;Rue;de Saint-Priest;Eurocampus;34097;Montpellier;5;;0;;;;;;Ligne 1 arrêt Malbosc;;;;;1035
1097;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison de quartier Jean-Pierre-Caillens;Prés d'Arènes;Tournezy;04 67 42 63 04;;;;;;;;;;Place;de Tibériade;;34070;Montpellier;;;0;;;;;;;;;;;995
1179;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison de quartier Pierre-Azéma;Port Marianne;Millénaire;;;;;;;;;35;;Rue;André Malraux;;34000;Montpellier;;;0;;;;;;;;;;;1058
1101;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous Albert-Dubout;Hôpitaux - Facultés;Aiguelongue;04 67 02 68 58;;;;;;;;1071;;Avenue;de la Justice de Castelnau;;34090;Montpellier;;;0;;;;;;;;;;;999
1094;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous André-Chamson;Les Cévennes;La Martelle;04 67 75 10 55;;;;;;;;105;;Rue;Gustave Eiffel;;34070;Montpellier;;;0;;;;;;;;;;;992
1093;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous François-Villon;Les Cévennes;Alco;04 67 45 04 57;;;;;;;;;;Rue;des Araucarias;;34080;Montpellier;;;0;;;;;;;;;;;991
