,2011,,,,,,,,,,,,
,"Janvier","Février","Mars","Avril","Mai","Juin","Juillet","Août","Septembre","Octobre","Novembre","Décembre",
"Naissance",733,711,725,659,749,787,843,739,765,771,737,791,9010
"Mariage",30,37,43,70,90,137,139,73,91,89,42,40,881
,2010,,,,,,,,,,,,
"Naissance",703,669,732,680,749,727,835,777,793,808,784,734,8991
"Mariage",46,26,46,70,80,110,130,81,85,82,42,58,856
,2009,,,,,,,,,,,,
"Naissance",679,631,745,725,715,713,803,784,762,790,727,767,8841
"Mariage",24,41,46,83,112,129,119,120,73,79,48,48,922
,2008,,,,,,,,,,,,
"Naissance",715,667,668,741,747,700,781,771,756,767,702,713,8728
"Mariage",36,32,43,59,113,117,117,122,78,65,34,53,869
,2007,,,,,,,,,,,,
"Naissance",754,636,730,659,663,676,803,728,715,740,725,741,8570
"Mariage",34,35,49,66,83,147,120,99,100,42,41,52,868
,2006,,,,,,,,,,,,
"Naissance",687,666,694,663,692,688,707,755,743,735,694,665,8389
"Mariage",58,51,52,77,70,124,132,97,87,50,47,60,905
,2005,,,,,,,,,,,,
"Naissance",662,585,662,664,705,618,683,647,674,733,648,699,7980
"Mariage",57,46,57,84,93,120,168,97,104,76,59,53,1014
,2004,,,,,,,,,,,,
"Naissance",645,599,641,598,646,591,731,703,674,710,703,724,7965
"Mariage",53,58,55,65,86,137,160,106,88,81,58,83,1030
,2003,,,,,,,,,,,,
"Naissance",650,645,694,671,688,682,674,713,697,693,647,662,8116
"Mariage",43,61,56,66,85,110,115,119,101,92,59,80,987
,2002,,,,,,,,,,,,
"Naissance",650,574,655,624,685,679,745,704,764,714,656,676,8126
"Mariage",35,48,55,63,76,140,123,126,81,65,54,51,917
,2001,,,,,,,,,,,,
"Naissance",715,607,648,682,723,620,723,698,716,677,690,672,8171
"Mariage",44,45,53,60,56,127,117,113,103,49,39,64,870
,2000,,,,,,,,,,,,
"Naissance",644,594,666,640,659,617,708,750,693,720,637,632,7960
"Mariage",40,45,38,66,66,113,123,67,88,59,43,56,804
