"HIERARCHIE,C,50","IDARC,N,10,0","CODE_VOIE,C,4","DATE_DCM,D","LIB_OFF,C,254","LIBTRI,C,254","TYPVOI,C,4","NOMVOI,C,80","DOMANIALIT,C,50","SENS_CIRCU,C,50","LONGUEUR,N,19,8","OCCUPATION,C,50","RIVOLI_DGI,C,50","NOTE,C,80","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","LEN,N,19,11"
,293,"2693",24/10/90,"Place de la Célette","Célette (Place de la)","PL","DE LA CELETTE","Publique","DOUBLE SENS","44,70000076",,"01149",,"N",,,"44,7673090315"
,294,"2963",26/09/94,"Rue René Grousset","Grousset (Rue René)","RUE","RENE GROUSSET","Publique","SENS UNIQUE","156,1000061",,"06070",,"N",,,"156,195237469"
,295,"2941",07/02/94,"Place Paul Dirac","Dirac (Place Paul)","PL","PAUL DIRAC","Privée","DOUBLE SENS","94,80000305",,"06050",,"N","SERM","BLAISE PASCAL","94,8429803125"
,296,"2442",20/09/88,"Rue Hippolyte Fizeau","Fizeau (Rue Hippolyte)","RUE","HIPPOLYTE FIZEAU","Publique","SENS UNIQUE","38,09999847",,"02834","Parcelle ex-SERM vendu à la Ville le 20/12/2007","N",,"BLAISE PASCAL","38,157609116"
,119,"579",18/10/65,"Boulevard Benjamin Milhaud","Milhaud (Boulevard Benjamin)","BD","BENJAMIN MILHAUD","Publique","DOUBLE SENS","38,09999847",,"00645",,"N",,,"38,1401278856"
,120,"1824",,"Rue de Provence","Provence (Rue de)","RUE","DE PROVENCE","Publique","DOUBLE SENS",72,,"04695",,"N",,,"72,0168417643"
,121,"2148",,"Rue Washington","Washington (Rue)","RUE","WASHINGTON","Publique","DOUBLE SENS","38,5",,"05875",,"N",,,"38,508866482"
,122,"2148",,"Rue Washington","Washington (Rue)","RUE","WASHINGTON","Publique","DOUBLE SENS","49,09999847",,"05875",,"N",,,"49,1059554899"
,123,"1108",,"Cours Gambetta","Gambetta (Cours)","COUR","GAMBETTA","Publique","SENS UNIQUE","48,70000076",,"02460",,"N",,,"48,7200394521"
,124,"1108",,"Cours Gambetta","Gambetta (Cours)","COUR","GAMBETTA","Publique","SENS UNIQUE","62,09999847",,"02460",,"N",,,"62,113432368"
,125,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","32,79999924",,"04085",,"N",,,"32,8375687518"
,126,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","156,3999939",,"04085",,"N",,,"156,493878646"
,127,"1631",,"Rue des Ormeaux","Ormeaux (Rue des)","RUE","DES ORMEAUX","Publique","DOUBLE SENS","49,70000076",,"04050",,"N",,,"49,7198077934"
,128,"2152",,"Rue de l'Yeuse","Yeuse (Rue de l')","RUE","DE L'YEUSE","Publique","DOUBLE SENS","62,20000076",,"05885",,"N",,,"62,2482297441"
,129,"1627",18/10/65,"Boulevard d'Orient","Orient (Boulevard d')","BD","D'ORIENT","Publique","SENS UNIQUE","9,89999962",,"04040",,"N",,,"9,8714184472"
,130,"1400",,"Boulevard Louis Blanc","Blanc (Boulevard Louis)","BD","LOUIS BLANC","Publique","SENS UNIQUE","156,1000061","Piéton","03320",,"N",,,"156,136353769"
,131,"2297",23/04/87,"Rue Emile Gaboriau","Gaboriau (Rue Emile)","RUE","EMILE GABORIAU","Privée","DOUBLE SENS","99,30000305",,"01974",,"N",,,"99,3835725525"
,132,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","44,09999847",,"04085",,"N",,,"44,123233268"
,133,"1041",,"Rue de la Flore Juvénale","Flore Juvénale (Rue de la)","RUE","DE LA FLORE JUVENALE","Privée","DOUBLE SENS",61,,"02245",,"N",,,"61,0658699276"
,134,"1224",,"Rue de l'Herbe d'Amour","Herbe d'Amour (Rue de l')","RUE","DE L'HERBE D'AMOUR","Privée","DOUBLE SENS","39,5",,"02815",,"N",,,"39,4932928692"
,135,"2259",23/04/87,"Allée du Briol","Briol (Allée du)","ALL","DU BRIOL","Publique","DOUBLE SENS","36,3",,"00868",,"N",,,"36,3040555613"
,136,"441",23/03/78,"Avenue Albert Dubout","Dubout (Avenue Albert)","AV","ALBERT DUBOUT","Publique","DOUBLE SENS","63,40000153",,"00144",,"N",,,"63,3843925479"
,137,"441",23/03/78,"Avenue Albert Dubout","Dubout (Avenue Albert)","AV","ALBERT DUBOUT","Publique","SENS UNIQUE","107,19999695",,"00144",,"N",,,"107,220161196"
,138,"1529",,"Rue Michel-Ange","Michel-Ange (Rue)","RUE","MICHEL-ANGE","Publique","DOUBLE SENS","76,09999847",,"03743",,"N",,,"76,1306338552"
,139,"974",,"Rue des Erables","Erables (Rue des)","RUE","DES ERABLES","Publique","DOUBLE SENS","61,79999924",,"02020",,"N",,,"61,7866737432"
,140,"930",27/10/86,"Avenue de l'Ecole d'Agriculture-Gabriel Buchet","Ecole d'Agriculture-Gabriel Buchet (Avenue de l')","AV","DE L'ECOLE D'AGRICULTURE-GABRIEL BUCHET","Publique","DOUBLE SENS","83,5",,"01871",,"N",,,"83,5726855456"
,141,"1355",18/10/65,"Rue de Las Sorbes","Sorbes (Rue de Las)","RUE","DE LAS SORBES","Publique","DOUBLE SENS","174,6000061",,"03175",,"N",,,"174,63954063"
,142,"1355",18/10/65,"Rue de Las Sorbes","Sorbes (Rue de Las)","RUE","DE LAS SORBES","Publique","DOUBLE SENS","25,89999962",,"03175",,"N",,,"25,8838321492"
