"Ministe?re de l'Inte?rieur D.G.C.L",,"S/D des finances locales",,"Bureau des concours financiers de l'Etat",
,,,,,
"Fiche Individuelle DGF",2011,"Commune membre de","CA DE MONTPELLIER","Commune en zone de montagne","NON"
34172,"MONTPELLIER","Strate de?mographique     15","FPU","Commune en ZRR","NON"
,,,,"DOTATION FORFAITAIRE N-1 (notifie?e ou recale?e)",51 232 627
"Superficie en ha",5 688,"Produit net FB (avant e?cre?trement)",94 181 681,"Dotation de base",33 635 071
"Superficie parc national en ha",,"Produit net FNB (avant e?cre?tement)",617 620,"Dotation superficie",18 333
"Population INSEE",256 344,"Produit net TH (avant e?cre?tement)",72 396 926,"Comple?ment de garantie",16 021 351
"Re?sidences secondaires",4 463,"Produit EPCI",0,"Dotation parc national",0
"Places de caravanes (*2 si Dsu-Dsr BC anne?e N-1) ",40,"Exone?rations",1 387 926,"Comp part salaires TP",0
"Total Population DGF",260 887,"Taxe ou redevance O.M (commune)",0,"Comp baisses de DCTP",684 012
,,"Taxe ou redevance O.M (EPCI)",34 658 953,"Prélèvement TASCOM",0
,,,,"Dont prélèvement sur fiscalité (TASCOM)",0
"Population en ZUS ",34 327,"Bases nettes FB",297 578 993,"DOTATION FORFAITAIRE N",50 358 767
" Population en ZFU",16 015,"Bases nettes FNB",524 935,"Potentiel financier superficiaire moyen ","496,68220"
" Population 3 a? 16 ans INSEE",35 394,"Bases nettes TH",299 996 068,"Potentiel financier -10 000","752,70836"
" Longueur de voirie en m",550 000,"Produit communal EF (hors e?cre?tement)",167 196 076,"Potentiel financier superficiaire ","43 981,19585"
"Nombre de logements sociaux",24 326,"Potentiel fiscal 3 taxes",117 730 487,"DOTATION SOLIDARITE RURALE",0
"Total logements TH ",129 114,"Taux net 3 taxes N-1","0,278622"," Fraction bourg centre",0
"Nombre d'APL ",103 830,,," Garantie bourg centre",0
"Revenu",2 818 993 064,"Taux net 3 taxes N","0,279545","Fraction pe?re?quation",0
,,"Taux moyen strate N-1","0,144038"," Part Potentiel financier",0
,,"Taux moyen strate N","0,149012",,
"Bases brutes de TP",326 620 899,"Produit communal EF (apre?s e?cre?tement)",167 196 076,"Indice synthe?tique DSU","1,243019"
"- dont transferts de TP de l'anne?e (loi de 1980)",0,"Produit total EF",203 242 955,"Rang DSU",246
"- dont bases ventile?es cumule?es du groupement",,,,"Potentiel financier + 10 000 ","1 140,18198"
"Bases brutes de FB (hors transferts)",302 239 923,"Effort fiscal","1,726341","Logement moyen +10 000 ","0,225244"
"Transferts de bases brutes de FB (loi de 1980)",,"Effort fiscal moyen de la strate","0,945900","Apl moyen +10 000","0,526405"
"Bases brutes FNB",524 935,,," Revenu moyen + 10 000 ","13 655,68706"
"Bases brutes TH",381 582 771,,,"Potentiel financier 5 000 a? 10 000","968,23828"
"Compensation part salaires TP prise en compte pour PFi ",29 201 989,"Potentiel financier -1000 ","580,392972"," Logement moyen 5 000 a? 10 000","0,14107"
"Potentiel fiscal 4 taxes ",199 616 427,"Dotation e?lu local",0," Apl moyen 5 000 a? 10 000 ","0,39289"
"Dot. forfaitaire prise en compte pour PFi ",50 548 615,,,"Revenu moyen 5 000 a? 10 000","12 947,01716"
"Pre?le?vement sur fiscalite? pour PFI",,,,"DSU CIBLE",1 077 960
,,"Dotation nationale de pe?re?quation (part princ.)",3 737 494," Dotation DSU",10 464 344
,,"Potentiel fiscal TP par pop DGF",81 885 940,,
"Potentiel financier ",250 165 042,"Potentiel fiscal TP de la strate","313,875126","FORFAITAIRE + DSU + DSR + DNP ",64 560 605
"Potentiel financier par pop DGF ",958 901 908,"Majoration DNP",0,"Taux de progression ","0,28%"
"Potentiel financier par hab de la strate",1 387 462 357,"Garantie DNP",0,"Total/pop DGF","247,47"
,,"DOTATION TOTALE DNP",3 727 494,,
