"ID","F00_FAIT,C,8","NUMERO,C,30","ADRESSE,C,254","NB_PLACES,N,19,11","SECTEUR,C,10","F05_DATE,C,16","F07_COMMEN,C,254","F08_COMMEN,C,254"
1,"Fait","201","Rue joffre",22,"2","26/05/2010 13:45","3,87925827808276","43,606685399744"
2,"Fait","209","Rue Du guesclin",27,"2","26/05/2010 13:21","3,88291821033673","43,6072790167536"
3,"Fait","211","Rue Du guesclin",0,"2","26/05/2010 13:14","3,8831547322334","43,6080263965746"
4,"Fait","301","Rue de la Merci",12,"3","31/05/2010 08:45","3,87084457603587","43,6091876946528"
5,"Fait","302","Rue de la Merci",0,"3","31/05/2010 08:48","3,87109790739546","43,6101093651894"
6,"Fait","303","Rue Donnat",10,"3","31/05/2010 10:10","3,87048957533162","43,610069359746"
7,"Fait","304","Rue Clapies",49,"3","31/05/2010 08:53","3,8701479087","43,610469357446"
8,"Fait","306","Rue de l Ecole de Droit",0,"3","31/05/2010 09:51","3,86955124535296","43,6091426831085"
9,"Fait","307","Place Pierre Flotte",43,"3","31/05/2010 08:57","3,86872957825695","43,6104160115077"
10,"Fait","310","1 Rue Auguste Comte",36,"3","31/05/2010 09:02","3,86838124609255","43,6101210078882"
11,"Fait","311","7 Rue Auguste Comte",0,"3","31/05/2010 09:05","3,86757624846804","43,6096443332154"
12,"Fait","316","Rue Paul Brousse",15,"3","31/05/2010 08:20","3,8738485827346","43,6070792242109"
13,"Fait","317","Rue Marceau",18,"3","31/05/2010 08:30","3,87301866653323","43,6073782218987"
14,"Fait","320","Rue Paul Brousse",0,"3","31/05/2010 08:35","3,87212790856336","43,6080793707767"
15,"Fait","801","Rue Chaptal",21,"8","01/06/2010 12:33","3,87188047546752","43,605896635496"
16,"Fait","802","Rue Louise Guiraud",13,"8","01/06/2010 12:49","3,87337583685033","43,6047371236416"
17,"Fait","803","Rue Dom Vaissette",23,"8","01/06/2010 10:24","3,87209124666528","43,6051126986308"
18,"Fait","804","Rue Dom Vaissette",0,"8","01/06/2010 12:47","3,87271622406441","43,6048003104413"
19,"Fait","805","Rue St Claude",20,"8","01/06/2010 12:27","3,87304970171829","43,6050778951129"
20,"Fait","806","Rue Trente Deuxième",15,"8","01/06/2010 10:20","3,87065810220225","43,6058033522819"
21,"Fait","807","Rue Toiras",50,"8","01/06/2010 10:16","3,86986291570024","43,606471014366"
22,"Fait","808","Rue de la Raffinerie",31,"8","01/06/2010 10:14","3,86904625051912","43,6065760072445"
23,"Fait","809","Rue Daru",11,"8","01/06/2010 08:51","3,86796286725333","43,6076969732003"
24,"Fait","810","Rue du Faubourg Figuerolles",75,"8","01/06/2010 08:57","3,8676769192738","43,6078762205004"
25,"Fait","811","Place Roger Salengro",43,"8","01/06/2010 10:03","3,8672719279624","43,6071270144827"
26,"Fait","812","Rue du Jardin Martel",6,"8","01/06/2010 10:07","3,86799291879678","43,6068959984152"
27,"Fait","813","Rue de la Palissade",8,"8","01/06/2010 10:10","3,8688912494888","43,6074043407202"
28,"Fait","814","Place Roger Salengro",0,"8","01/06/2010 10:04","3,8672879208795","43,6064959913497"
29,"Fait","817","Rue du Faubourg Figuerolles",0,"8","01/06/2010 09:09","3,86359126227582","43,6061576242247"
30,"Fait","818","Rue du Faubourg Figuerolles",0,"8","01/06/2010 09:13","3,86253626469042","43,6059976144342"
31,"Fait","904","Place des Beaux arts",14,"9","27/05/2010 09:00","3,88141364495832","43,6159223550805"
32,"Fait","906","Rue lakanal",12,"9","27/05/2010 08:31","3,87954008894878","43,6161678845949"
33,"Fait","908","Rue Belmont",6,"9","27/05/2010 08:53","3,88073959866767","43,6152949552365"
34,"Fait","909","Rue de la Cavalerie",12,"9","27/05/2010 08:18","3,8793657338166","43,6157343834314"
35,"Fait","911","Rue Proudhon",0,"9","27/05/2010 08:57","3,88127987307576","43,6154077012337"
36,"Fait","912","Quai du Verdanson",4,"9","25/05/2010 13:28","3,87838455196717","43,6152111038664"
37,"Fait","122","Parking joffre(rue d'argencourt)",254,"12","27/05/2010 09:24","3,88554743407471","43,6128780794638"
38,"Fait","1302","Rue Adam de Crapone",29,"13","02/06/2010 08:47","3,86666623202397","43,6054689641192"
39,"Fait","1303","Rue des Pins",24,"13","01/06/2010 13:24","3,86955693639384","43,6051220608884"
40,"Fait","1304","Rue Chaptal",0,"13","01/06/2010 13:34","3,86929862859558","43,604614048674"
41,"Fait","1305","Rue Rambaud",5,"13","01/06/2010 13:27","3,86909224804297","43,605717345135"
42,"Fait","1306","Rue Balard",53,"13","02/06/2010 08:28","3,86998294751693","43,604797999189"
43,"Fait","1307","Rue Balard",0,"13","02/06/2010 08:31","3,87034337401358","43,6047518469948"
44,"Fait","1308","Rue Balard",0,"13","02/06/2010 08:08","3,87148178473759","43,6035820507899"
45,"Fait","1309","Rue Desmazes",44,"13","01/06/2010 13:30","3,86836225967647","43,605114952954"
46,"Fait","1310","Rue Nissole",19,"13","01/06/2010 13:40","3,86958886636136","43,6047031264121"
47,"Fait","1701","Rue Barthez",0,"17","31/05/2010 12:48","3,87175558823127","43,612267574961"
48,"Fait","1703","plan narcissa",44,"17","31/05/2010 12:58","3,87162222475209","43,6125761250819"
49,"Fait","1705","rue eugene varlin",17,"17","31/05/2010 13:02","3,86813726704347","43,6127481514301"
50,"Fait","1708","Rue doria",7,"17","31/05/2010 13:59","3,86709957829694","43,6123526674729"
51,"Fait","1709","Rue Doria",16,"17","31/05/2010 13:55","3,86770290907881","43,6131926743255"
52,"Fait","1710","avenue d assas",0,"17","31/05/2010 13:16","3,86768509191568","43,6124118244996"
53,"Fait","1713","Rue bonnard",0,"17","31/05/2010 13:36","3,87034427000622","43,6152093531106"
54,"Fait","1714","Rue Bonnard",24,"17","31/05/2010 13:41","3,87092607196869","43,6156309494009"
55,"Fait","1716","Boulevard Henri IV",56,"17","31/05/2010 12:35","3,87326789667403","43,6142127245798"
56,"Fait","1717","Impasse richer de belleval",0,"17","31/05/2010 13:05","3,86913957384195","43,6126443525249"
57,"Fait","1720","Boulevard Henri IV",0,"17","31/05/2010 12:40","3,87307182035131","43,6135795394454"
58,"Fait","1721","Rue du Carré du Roi",0,"17","31/05/2010 13:53","3,86746790909842","43,6134593394434"
59,"Fait","1722","avenue st charles",19,"17","31/05/2010 15:05","3,87244030486705","43,6171309232106"
