"Relevé des infractions concernant les emplacements GIG GIC (21200)",,,,,
,,,,,16/09/2011
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Année 2008","Service","Service","TOTAUX","Verbalisation 2007",
,"ASVP","PM",,"verbalisation 2007",
"Janvier",134,191,325,512,
"Février",60,146,206,435,
"Mars",161,178,339,529,
"Avril",173,178,351,477,
"Mai",186,145,331,421,
"Juin",147,179,326,424,
"Juillet",174,200,374,371,
"Août",147,129,276,324,
"Septembre",183,205,388,412,
"Octobre",176,173,349,392,
"Novembre",107,176,283,323,
"Décembre",126,107,233,247,
"TOTAUX",1774,2007,3781,4867,
,,,,,
"Année 2009","Service","Service","TOTAUX",,
,"ASVP","PM",,"verbalisation 2008",
"Janvier",132,158,290,325,
"Février",112,180,292,206,
"Mars",181,146,327,339,
"Avril",140,181,321,351,
"Mai",131,165,296,331,
"Juin",159,152,311,326,
"Juillet",113,172,285,374,
"Août",103,202,305,276,
"Septembre",209,245,454,388,
"Octobre",185,178,363,349,
"Novembre",103,161,264,283,
"Décembre",84,128,212,233,
"TOTAUX",1652,2068,3720,3781,
,,,,,
"Année 2010","Service","Service","TOTAUX",,
,"ASVP","PM",,"verbalisation 2009",
"Janvier",114,137,251,290,
"Février",75,176,251,292,
"Mars",174,172,346,327,
"Avril",130,112,242,321,
"Mai",130,84,214,296,
"Juin",133,86,219,311,
"Juillet",220,99,319,285,
"Août",152,102,254,305,
"Septembre",237,147,384,454,
"Octobre",152,143,295,363,
"Novembre",100,97,197,264,
"Décembre",88,90,178,212,
"TOTAUX",1705,1445,3150,3720,
,,,,,
"Année 2011","Service","Service","TOTAUX",,
,"ASVP","PM",,"verbalisation 2010",
"Janvier",125,101,226,251,
"Février",86,79,165,251,
"Mars",93,74,167,346,
"Avril",79,55,134,242,
"Mai",96,60,156,214,
"Juin",75,43,118,219,
"Juillet",,,0,319,
"Août",,,0,254,
"Septembre",,,0,384,
"Octobre",,,0,295,
"Novembre",,,0,197,
"Décembre",,,0,178,
"TOTAUX",554,412,966,,
,,,,,
"pour le mois de juin la recherche s'arrête le 22,",,,,,
