"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","AUTEUR_FIC","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Non","Non","19780101",2,"Non","PinÞde Mosson",9,1,"Les Hauts de Massane","La Mosson","F","Hauts de Massane","Bois","Bois","19780101","Ave de bologne.",0,0,0,0,4000,0,0,30,"Non","Non","Non","olivier, cyprÞs",0,0,35117,"B14",1,"SEV",1,"SEV",33717,3,"Rustique",0,0,1,1,0,,0,35940,"719536,47135781","148979,19776325",0,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",39940,0,39940,2,2,2,2,0,0,"Nord-Ouest","Oui",0,"Pas de fermeture","Oui",1,"Circulations Ó modifier","Oui",39139,"1 - Saint-Paul (219 m)","15 - Lausanne (372 m)",0,"Oui","PinÞde Mosson","3,817989","43,631078"
"Non","Non","19830101",7,"Non","Petit bois de la Colline",8,7,"La Chamberte","Les CÚvennes","H","CÚvennes","Bois","Bois","19830101","Rue de la croix de Figuerolles",0,0,260,350,200,0,0,0,"Non","Non","Non",,2,0,35076,"F9",1,"SEV",1,"SEV",33681,3,"Rustique",0,0,0,0,0,"AndrÚ  Pical",0,19670,"721382,62003338","146147,70073396",330,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",20480,0,20810,0,3,0,2,4,1,"Nord-Ouest","Oui",4,"Mixte","Oui",3,"Plusieurs amÚnagements Ó modifier","Oui",,,"7 - MÚrairie de l'oiseau (443 m)",0,"Oui","Petit bois Colline","3,840223","43,605293"
"Non","Non","19620101",10,"Non","Lac des Garrigues",9,1,"Les Hauts de Massane","La Mosson","F","Hauts de Massane","Bois","Bois","19620101","Ave de Naples, ave Guilhem de Poitiers",0,0,5000,0,3000,0,0,0,"Non","Non","Non","2 cÞdres",0,0,35076,"B16",1,"SEV",1,"SEV",33695,3,"Rustique",0,0,0,2,100,,0,84678,"719423,06433129","149920,19230309",0,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",92778,0,92778,2,2,0,4,3,1,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"15 - Pierre de Coubertin (Terminus) (127 m)",0,"Oui","Lac des Garrigues","3,816795","43,639565"
"Non","Non","19100101",15,"Non","Bois de Montmaur",2,17,"H¶pitaux-FacultÚs","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Bois","Bois","19100101","Rue Arthur Young",0,0,2000,0,0,0,0,0,"Non","Non","Non","15 pins Pignon, 17 platanes, chÛnes verts et Úrables",1,0,35117,"j16",1,"SEV",1,"SEV",33679,3,"Rustique",0,0,17,15,0,"Martin-Rabaud",0,267900,"723646,87172241","150312,75508722",6000,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",269900,0,275900,32,2,0,4,3,0,"Nord-Ouest","Oui",1,"Portail","Oui",1,"Circulations Ó modifier","Oui",39749,,"La Navette - Val de Montferrand (202 m)",0,"Oui","Bois de Montmaur","3,869227","43,642402"
"Non","Non","19740101",40,"Non","RÚservoir ChÛne-ColombiÞre",2,17,"H¶pitaux-FacultÚs","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Bois","Bois","19740101","Ave d'Occitanie",0,0,300,0,0,0,0,0,"Non","Non","Oui","PIN/ CHENE VERT",0,0,35072,"H15",1,"SEV",1,"SEV",33637,3,"Rustique",0,0,0,0,0,,0,2912,"722538,026375","149655,75108091",0,0,1,"Ville de Montpellier","Accompagnement de bÔtiments publics","Accompagnement de bÔtiments publics",3212,0,3212,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Navette - Maurice Chauvet (257 m)",0,"Non","RÚs ChÛne-ColombiÞre","3,855334","43,636674"
"Non","Non","19790101",66,"Non","Mare Úcologique",4,29,"Grammont","Port Marianne","J","Grammont Entretien","Bois","Bois","01/01/1550","Grammont",0,0,0,0,0,0,0,0,"Non","Non","Non",,1,0,34661,"R11",1,"SEV",1,"SEV",33633,3,"Rustique",0,0,0,0,0,,0,10032,"728159,50442298","147481,99378469",0,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",10032,0,10032,0,2,4,4,0,0,"Est","Oui",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,,0,"Non","Mare Úcologique","3,924472","43,616157"
"Non","Non","19880101",178,"Non","Sous-bois CitÚ Astruc",7,6,"Les CÚvennes","Les CÚvennes","H","CÚvennes","Bois","Bois","19880101","Rue des Coronilles",0,0,342,0,0,0,0,0,"Non","Non","Non",,0,0,34661,"G10",1,"SEV",1,"SEV",33676,3,"Rustique",0,0,0,0,0,,0,1367,"722330,55142564","146833,18787668",0,0,1,"Ville de Montpellier","Accompagnement de voirie","Accompagnement de voirie",1709,0,1709,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"15 - CitÚ Astruc (86 m)",0,"Non","Bois CitÚ Astruc","3,85212","43,611306"
"Non","Non","19800101",305,"Non","Bois de la ChaumiÞre",4,29,"Grammont","Port Marianne","J","Grammont Entretien","Bois","Bois","01/01/1850","Avenue Albert Einstein",0,0,0,0,0,0,0,0,"Non","Non","Non",,1,0,34942,"T11",1,"SEV",1,"SEV",33675,3,"Rustique",0,0,0,0,21570,,0,17650,"728862,12348909","147427,33979601",0,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",39220,0,39220,0,2,2,2,2,0,"Est","Non",0,"Pas de fermeture","Oui",1,"Circulations Ó modifier","Oui",,,"12 - CimetiÞre ST-Etienne (94 m)",0,"Non","Bois de la ChaumiÞre","3,933162","43,615543"
"Non","Non","19790101",308,"Non","Parcours de santÚ",4,29,"Grammont","Port Marianne","J","Grammont Entretien","Bois","Bois","19810101","Avenue Albert Einstein",0,0,0,0,0,0,0,0,"Non","Non","Non","cÞdre",0,0,34942,"S11",1,"SEV",1,"SEV",33633,3,"Rustique",0,0,0,0,4000,,0,114700,"728341,33403919","147749,69322544",5000,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",118700,0,123700,0,2,1,2,3,1,"Est","Non",0,"Pas de fermeture","Oui",1,"Circulations Ó modifier","Oui",,,,0,"Non","Parcours de santÚ","3,926789","43,618535"
"Non","Non","19600101",543,"Non","Cannalette",9,1,"Les Hauts de Massane","La Mosson","F","Hauts de Massane","Bois","Bois","19600101","Rue de Tipasa, Berges de la Mosson",0,0,0,0,0,0,0,0,"Non","Non","Non","platane,acacia,saule",0,0,34862,"B15",1,"SEV",1,"SEV",33633,3,"Rustique",0,0,10,0,0,,0,74780,"719335,19753409","149597,73376984",0,0,1,"Ville de Montpellier","Espaces naturels amÚnagÚs","Espaces naturels amÚnagÚs",74780,0,74780,10,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"15 - Mas de Bellevue (100 m)",0,"Non","Cannalette","3,815633","43,636677"
