MAPINFO_ID,dossier,aire_de_jeux,nom_aire,Total,_1_à_4_ans,_1_à_5_ans,_1_à_6_ans,_10_à_15_ans,_14_et_plus,_2_à_10_ans,_2_à_12_ans,_2_à_15__ans,_2_à_4_ans,_2_à_5_ans,_2_à_6_ans,_2_à_7_ans,_2_à_8_ans,_3_à_12_ans,_3_à_15__ans,_3_à_6_ans,_3_à_7_ans,_3_à_8_ans,_3_à_9_ans,_4_à_10_ans,_4_à_12_ans,_4_à_15__ans,_4_à_6_ans,_4_à_8_ans,_5_à_12_ans,_5_à_15__ans,_5_à_8_ans,_6_à_12_ans,_6_à_14_ans,_6_à_15__ans,_7_à_14_ans,Longitude,Latitude
1,1,1,Esplanade Paul Valéry,9,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,846336","43,59975"
2,7,2,Aire du Petit Bois,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"3,840232","43,605288"
3,9,3,Aire du Mas de la Paillade,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"3,81615","43,627853"
4,11,4,Parc Edith Piaf,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"3,888388","43,622217"
5,13,5,Parc de la Guirlande,5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,860929","43,607974"
6,14,6,Parc Rimbaud,7,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"3,894425","43,618048"
7,16,8,Parc Sainte Odile,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,"3,871725","43,62481"
8,35,11,Aire de jeux Brassens (basse),5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"3,812949","43,636962"
9,36,14,Aire de Louisville,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,"3,815174","43,622784"
10,47,16,Square François Deuzeuze,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,839686","43,607743"
11,49,18,Square des Arceaux,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,860929","43,611969"
12,67,20,Parc Magnol,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,862917","43,617431"
13,69,21,Parc Azema,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,828396","43,615705"
14,954,22,Esplanade de la Musique,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,"3,881877","43,616976"
15,143,23,Grand Mail,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,816504","43,622825"
16,144,24,Square Maquis Bir-Hakeim,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,858997","43,61107"
