NomAsso,Tel_Asso,Fax_Asso,Mail_Asso,INTERNET,Domaine,Sous-Domaine,Sigle,Adresse,Code_Quartier,Code_Sous_Quartier,Circonscription,Canton,Code_Postal,Longitude,Latitude
 Anadolu Association Montpellier Anatolie,,,34anadolu@gmail.com,,INTERNATIONAL,CULTURE ETRANGERE,ANADOLU,133  RUE EDMOND HALLEY,05,16,1,05,34070,"3,89967141","43,59480072"
280 communications,04 67 60 00 31,,info@280com.com,http://www.duelsrock.com,CULTURE,MUSIQUE,,3  RUE BEAU SEJOUR,07,24,3,03,34000,"3,882606364","43,618551336"
A Bras Ouverts,,,abo.montpellier@gmail.com,http://abrasouvert.asso.fr,SOCIAL ET CITOYENNETE,HANDICAP,ABO,116  RUE DES IMPRESSIONNISTES,01,03,3,03,34090,"3,89065592","43,627499469"
A Coeur ouvert,04 67 66 12 30,04 67 66 12 30,acoeurouvert34@free.fr,,SOCIAL ET CITOYENNETE,SOLIDARITE,,7  RUE DE CANDOLLE,07,26,1,01,34000,"3,875077407","43,613013185"
A Consommer avant le...,04 67 73 88 62,,acal.asso@neuf.fr,http://www.acalexpo.com,CULTURE,ARTS PLASTIQUES,ACAL,105  IMPASSE NICEPHORE NIEPCE,05,16,1,05,34070,"3,892509338","43,598505815"
A Domicile Hérault,04 67 92 84 01,,adomicile34@adh.asso.fr,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,ADH,130  IMP JEAN BRULLER (VERCORS),07,29,2,07,34070,"3,86170812","43,606625371"
A Domicile Services 34,04 67 92 84 01,04 67 58 21 03,adomicileservices34@adh.aso.fr,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,ADS,130  IMP JEAN BRULLER (VERCORS),07,29,2,07,34070,"3,86170812","43,606625371"
A la Barak Atelier de Photographie,04 67 86 98 21,,alabarak@gmail.com,http://www.alabarak.com,CULTURE,PHOTO,,10  RUE DE LA PETITE LOGE,07,27,1,01,34000,"3,878239209","43,610502861"
A la Découverte de l'Histoire en Occitanie,04 67 54 58 54,,reginenina@orange.fr,,SCIENCES,HISTOIRE,ADHOC,2  RUE DE LA SAUZEDE,07,23,2,10,34000,"3,86983275","43,615319392"
A l'Air Libre,04 67 41 95 80,,alairlibre@yahoo.fr,http://www.alairlibre.com,CULTURE,MUSIQUE,,75  RUE DU FESQUET,03,07,2,10,34080,"3,849277511","43,622673931"
A L'Ecoute de L'Océan,,,contact@aaleco.org,http://www.aaleco.org,ENVIRONNEMENT ET CADRE DE VIE,ECOLOGIE,AALECO,440  BOULEVARD PEDRO DE LUNA,04,12,1,06,34070,"3,872555836","43,593742513"
A Portee D'Arts,,,aporteedart@gmail.com,www.aporteedarts.com,CULTURE,DIVERS CULTURE,,12  RUE DE LA SALLE-L'EVEQUE,07,24,1,01,34000,"3,880165482","43,612922594"
A Vous de Choisir - AVDC,04 34 26 06 01,04 67 04 49 52,avdc34@aol.com,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,AVDC,160  RUE D'ALCO,03,08,2,07,34080,"3,843980016","43,613803841"
A.P.P.E.L Radio Terra One,04 30 60 23 26,,contact@terraone.fr,www.terraone.fr,COMMUNICATION ET MEDIAS,COMMUNICATION ET MEDIAS,APPEL,3  RUE DU COLLEGE,07,27,1,01,34000,"3,879250669","43,611593153"
A.S. Inter de Montpellier,04 67 74 48 73,,,,SPORTS,FOOTBALL,,54  RUE ALFRED JARRY,04,13,4,08,34070,"3,847309664","43,594330858"
AALECO,0467521657,,contact@aaleco.org,http://www.aaleco.org,ENVIRONNEMENT ET CADRE DE VIE,ECOLOGIE,AALECO,440  BOULEVARD PEDRO DE LUNA,04,12,1,06,34070,"3,872555836","43,593742513"
Académie de management et de Marketing Européens,,04 67 45 17 60,amme@memoconsult.com,http://www.lesmanageriales.fr,ENTREPRISE ET TRAVAIL,AIDE A LA GESTION,AMME,33  PLAN LE CORBUSIER,,,,,,,
Académie des Arts Martiaux Jacques Levinet,04 67 07 50 44,,ajl@academielevinet.com,http://www.academielevinet.com,SPORTS,ARTS MARTIAUX,AAMJL,10  RUE MONTCALM,07,26,2,10,34000,"3,870791014","43,608753967"
