"TYPE,C,16","CODCOMM,C,6","ID_CONT,N,10,0","INDICE_1,C,80","INDICE_2,C,80","COMENT,C,80","SURFACE,N,19,8","AREA,N,19,11","LEN,N,19,11"
"PAES","340172",1,"PAE Tournezy","DCM du 31/05/1999",,"61734,72","61786,1996758","1134,19764186"
"PAES","340172",2,"PAE Terre de l'Hirondelle","DCM du 18/11/1993",,"23658,38","23678,0287645","670,095311093"
"PAES","340172",3,"PAE Richemont Marquerose","DCM du 26/10/1995",,"84497,506","84566,8331312","1564,90443191"
"PAES","340172",5,"PAE Molière","DCM du 25/07/2001",,"16909,774","16923,5672289","845,552845806"
"PAES","340172",6,"PAE Saint-Hillaire","DCM du 28/02/1991",,"39341,298","39373,3689533","929,104301285"
"PAES","340172",7,"PAE du Jardin aux Pivoines","DCM du 18/09/1991",,"10629,956","10638,0317146","471,919728254"
"PAES","340172",8,"PAE de l'Aiguelongue","DCM du 22/12/2003",,"208048,139","208206,047107","2146,82836298"
"PAES","340172",10,"PAE Saint Exupéry","DCM du 30/04/1999",,"32311,739","32337,7912626","816,938170215"
"PAES","340172",12,"PAE de Saint Priest","DCM du 26/11/1999",,"49963,816","50001,2991421","2257,22718778"
"PAES","340172",13,"PAE Aqueduc","DCM du 22/12/2003",,"160593,252","160713,153587","3161,46144049"
"PAES","340172",4842,"PAE du Mas de Calenda","DCM du 03 fevrier 2003",,"517002,573","517395,225915","3235,55450103"
"PAES","340172",4897,"PAE Multisites Marquerose","DCM du 7/02/2011","PAE Marquerose MAJ06","9041,389","59887,6237061","2108,92618882"
"PAES","340172",4898,"PAE Prés d'Arènes","DCM du 07/02/2007",,0,"70655,2939235","1211,37121414"
"PAES","340172",1,"PAE allée du Tiers Etat","DCM du 16/12/2011",,0,"5264,68106728","361,685387842"
