"ID_N_6_0,N,16,6","NOM_C_50,C,254","EXISTANCE_,C,254","NBRE_PLACE,N,16,6","TYPARK_C_2,C,254","DOM_C_254,C,254","COLLDEL_C_,C,254","MODGEST_C_,C,254","EXPLOI_C_2,C,254","DATDC_D,D","DATFC_D,D","DURC_N_4_0,N,16,6","COORD_X_C_,N,16,6","COORD_Y_C_,N,16,6"
1,"Arc de Triomphe","Existant",474,"Souterrain","Public","Ville de Montpellier","Affermage","EFFIA",01/01/08,31/12/13,6,"3,873201","43,611003"
2,"Triangle","Existant",594,"Souterrain","Privé",,"Privé","VINCI PARK",,,0,"3,881844","43,609234"
3,"Pitot","Existant",781,"Souterrain","Public","Ville de Montpellier","Concession","VINCI PARK",16/12/91,31/12/56,65,"3,870191","43,612245"
4,"Arceaux","Existant",220,"Surface","Public","Ville de Montpellier","Affermage","TaM",01/01/08,31/12/10,3,"3,867491","43,611716"
5,"Gambetta","Existant",500,"Souterrain","Public","Ville de Montpellier","Concession","TaM",22/05/85,31/12/29,44,"3,871374","43,606951"
6,"Laissac","Existant",274,"Superstructure","Public","Ville de Montpellier","Affermage","TaM",01/01/09,21/12/11,3,"3,876588","43,606108"
7,"Foch Préfecture","Existant",685,"Souterrain","Public","Ville de Montpellier","Concession","VINCI PARK",25/05/71,14/12/13,42,"3,876571","43,610749"
8,"Comédie","Existant",889,"Souterrain","Public","Ville de Montpellier","Affermage","TaM",22/12/07,31/12/13,6,"3,879762","43,608561"
9,"Gare Parvis","Existant",128,"Surface","Privé",,"Privé","EFFIA",,,0,"3,879937","43,603933"
11,"Polygone","Existant",1973,"Souterrain","Public","Ville de Montpellier","Bail commercial","SPP",,,0,"3,884765","43,608371"
12,"Nombre d'Or","Existant",278,"Souterrain","Public","Ville de Montpellier","Affermage","TaM",01/02/10,31/01/14,4,"3,888819","43,608716"
13,"Europa","Existant",600,"Souterrain","Public","Ville de Montpellier","Concession","TaM",29/07/94,01/01/36,46,"3,892531","43,60785"
14,"Corum","Existant",500,"Souterrain","Public","Communauté d'Agglomération de Montpellier","Concession","TaM",,,0,"3,882258","43,613888"
15," Nouveau Saint Roch","Futur",2000,"Souterrain","Public",,,,,,0,"3,87752","43,603765"
16,"Saint Charles","A l'étude",0,,,,,,,,0,"3,873173","43,616478"
17," Joffre","Existant",0,"Surface","Public",,,,,,0,"3,885331","43,612881"
18,"Beaux Arts","A l'étude",0,,,,,,,,0,"3,881664","43,617578"
19,"Peyrou","A l'étude",0,"Souterrain","Public",,,,,,0,"3,870384","43,611297"
20,"Pagézy","A l'étude",0,,,,,,,,0,"3,884597","43,609334"
10,"Gare Routière","Existant",762,"Surface","Privé",,"Privé","EFFIA",,,0,"3,876258","43,601349"
11,"Hôtel de ville","Existant",717,"Souterrain","Public","Ville de Montpellier","Marché public","EFFIA",01/11/11,31/12/16,5,"3,896102","43,599429"
