"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
1208,2563,"3,81313","43,62593","OUI","OUI","""18-10-2010""","1208",201
1382,2559,"3,81345","43,62541","OUI","OUI","""18-10-2010""","1382",202
1382,2492,"3,81338","43,62283","NON","NON","""18-10-2010""","1382",203
1808,2512,"3,82329","43,62636","NON","NON","""18-10-2010""","1808",204
1808,6389,"3,83144","43,62312","TVX","TVX","""18-10-2010""","1808",205
1431,3630,"3,83266","43,62549","OUI","OUI","""18-10-2010""","1431",206
1431,3630,"3,83231","43,62577","OUI","OUI","""18-10-2010""","1431",207
1431,6216,"3,83134","43,63095","OUI","NON","""18-10-2010""","1431",208
2390,2418,"3,82504","43,61413","OUI","OUI","""18-10-2010""","2390",209
1781,2143,"3,83285","43,60328","OUI","OUI","""18-10-2010""","1781",210
1781,2140,"3,83316","43,60355","OUI","OUI","""18-10-2010""","1781",211
617,2141,"3,8331","43,60332","OUI","OUI","""18-10-2010""","617",212
2574,2175,"3,82809","43,61026","NON","NON","""18-10-2010""","2574",213
1182,2176,"3,82848","43,61116","OUI","OUI","""18-10-2010""","1182",214
1525,4897,"3,846","43,60858","OUI","OUI","""18-10-2010""","1525",215
949,4923,"3,84522","43,60862","OUI","OUI","""18-10-2010""","949",216
1584,3863,"3,84622","43,60672","OUI","OUI","""18-10-2010""","1584",217
1812,12152,"3,85271","43,60869","OUI","OUI","""18-10-2010""","1812",218
765,3828,"3,86067","43,61312","NON","NON","""18-10-2010""","765",219
1414,4550,"3,85893","43,61343","NON","OUI","""18-10-2010""","1414",220
2153,4797,"3,85608","43,61047","TVX","TVX","""18-10-2010""","2153",221
2028,4816,"3,85451","43,61182","OUI","NON","""18-10-2010""","2028",222
1568,2440,"3,82913","43,61466","NON","NON","""18-10-2010""","1568",223
1380,14732,"3,82151","43,61547","TVX","TVX","""18-10-2010""","1380",224
823,2302,"3,83296","43,61243","OUI","OUI","""18-10-2010""","823",225
823,2302,"3,83276","43,61328","OUI","OUI","""18-10-2010""","823",226
1651,2301,"3,83272","43,61298","OUI","OUI","""18-10-2010""","1651",227
1230,8713,"3,84181","43,60798","OUI","OUI","""18-10-2010""","1230",228
1230,8713,"3,84194","43,60757","OUI","OUI","""18-10-2010""","1230",229
2221,1911,"3,83974","43,59585","NON","NON","""18-10-2010""","2221",230
2220,1910,"3,84048","43,59668","NON","NON","""18-10-2010""","2220",231
645,521,"3,85365","43,59301","NON","OUI","""18-10-2010""","645",232
2543,546,"3,86084","43,58864","NON","NON","""18-10-2010""","2543",233
2544,454,"3,86091","43,58858","NON","NON","""18-10-2010""","2544",234
2544,557,"3,86301","43,58997","NON","NON","""18-10-2010""","2544",235
1254,558,"3,86312","43,58991","NON","NON","""18-10-2010""","1254",236
1549,1394,"3,88733","43,5832","OUI","OUI","""18-10-2010""","1549",237
1473,1392,"3,88933","43,58683","OUI","OUI","""18-10-2010""","1473",238
411,1389,"3,88852","43,58955","TVX","TVX","""18-10-2010""","411",239
1801,5983,"3,87837","43,59517","TVX","TVX","""18-10-2010""","1801",240
1325,104,"3,88163","43,60576","OUI","OUI","""18-10-2010""","1325",241
2110,54,"3,88181","43,60595","OUI","OUI","""18-10-2010""","2110",242
2006,5419,"3,88211","43,60579","OUI","OUI","""18-10-2010""","2006",243
1780,880,"3,88199","43,60579","OUI","OUI","""18-10-2010""","1780",244
500,5426,"3,88265","43,60649","OUI","NON","""18-10-2010""","500",245
556,5412,"3,8824","43,60827","NON","NON","""18-10-2010""","556",246
1515,961,"3,88761","43,60453","NON","NON","""18-10-2010""","1515",247
3257,61920,"3,83075","43,63246","NON","NON","""18-10-2010""","3257",248
1588,2616,"3,81993","43,63377","OUI","OUI","""18-10-2010""","1588",249
1568,2464,"3,83407","43,62113","TVX","TVX","""18-10-2010""","1568",250
1568,2464,"3,83336","43,62053","TVX","TVX","""18-10-2010""","1568",251
1517,2309,"3,8334","43,6204","NON","OUI","""18-10-2010""","1517",252
1475,2428,"3,82707","43,61745","TVX","TVX","""18-10-2010""","1475",253
1031,4404,"3,85016","43,62281","NON","OUI","""18-10-2010""","1031",254
1568,3429,"3,84328","43,63393","NON","OUI","""18-10-2010""","1568",255
915,3529,"3,85326","43,63141","NON","OUI","""18-10-2010""","915",256
1118,3583,"3,85869","43,63186","NON","OUI","""18-10-2010""","1118",257
1911,1911,"3,85873","43,63213","NON","NON","""18-10-2010""","1911",258
641,2986,"3,85947","43,63772","NON","NON","""18-10-2010""","641",259
408,2985,"3,85949","43,63823","TVX","TVX","""18-10-2010""","408",260
3280,0,"3,86202","43,645","OUI","OUI","""18-10-2010""","3280",261
2741,2866,"3,87273","43,64038","OUI","OUI","""18-10-2010""","2741",262
2342,3011,"3,87467","43,63642","OUI","NON","""18-10-2010""","2342",263
759,348,"3,87317","43,63478","NON","NON","""18-10-2010""","759",264
759,348,"3,87094","43,63525","NON","NON","""18-10-2010""","759",265
759,348,"3,86848","43,63557","NON","OUI","""18-10-2010""","759",266
430,3164,"3,87263","43,63129","OUI","OUI","""18-10-2010""","430",267
2510,3198,"3,88348","43,63166","NON","NON","""18-10-2010""","2510",268
1898,1898,"3,88326","43,63179","NON","OUI","""18-10-2010""","1898",269
1480,6697,"3,88329","43,6287","OUI","NON","""18-10-2010""","1480",270
1480,1480,"3,88439","43,62644","OUI","OUI","""18-10-2010""","1480",271
1545,3137,"3,8816","43,62792","NON","NON","""18-10-2010""","1545",272
1187,3148,"3,88045","43,62868","NON","NON","""18-10-2010""","1187",273
1545,3144,"3,88003","43,62947","OUI","OUI","""18-10-2010""","1545",274
