 Nom modèle,Surface de plancher (SHON),Surface terrain,Date signature décision finale,Nature avis décision,Nombre de logements créés,1 pièce logements individuels,2 pièces logements individuels,3 pièces logements individuels,4 pièces logements individuels,5 pièces logements individuels,1 pièce logements collectifs,2 pièces logements collectifs,4 pièces logements collectifs,3 pièces logements collectifs,5 pièces logements collectifs,Quartier,Secteur
Permis de Construire,"4119,13",9908,03/08/2007,Favorable,69,,,,,,20,2,10,37,,PA -Prés Arènes,5
Permis de Construire,2521,13499,03/10/2007,Favorable,,,,,,,,,,,,MC -Boutonnet,2
Permis de Construire,158,1779,29/01/2008,Favorable,,,,,1,,,,,,,PM -Port Marianne,4
Permis de Construire,,63,21/12/2007,Favorable,,,,,,,,,,,,MO -Celleneuve,10
Permis de Construire,52,5998,10/08/2007,Favorable,,,,,,,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,,629,30/03/2009,Favorable,,,,,,,,,,,,MC -Gares,4
Permis de Construire,,1880,22/06/2009,Favorable,,,,,,,,,,,,MC -Figuerolles,7
Permis de Construire,"32,4",2313,24/03/2009,Favorable,,,,,,,,,,,,CA -Estanove,7
Permis de Construire,,1008,22/02/2010,Favorable,,,,,,,,,,,,MC -Les Aubes,4
Permis de Construire,,672,24/09/2009,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,33,383,11/08/2010,Favorable,,,,,,,,,,,,MC -Centre Historique,10
Permis de Construire,"80,78",1627,16/11/2010,Favorable,1,,,,1,,,,,,,PM -Port Marianne,4
Permis de Construire,2274,33973,15/03/2011,Favorable,,,,,,,,,,,,CE -La Chamberte,8
Permis de Construire,169,458,30/05/2011,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,"44,8",2287,01/03/2011,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,"349,32",1331,17/10/2011,Favorable,4,,,,4,,,,,,,CE -La Chamberte,8
Permis de Construire,22,2389,24/08/2011,Favorable,,,,,,,,,,,,CE -Alco,10
Permis de Construire,4263,910,11/04/2012,Favorable,49,,,,,,,13,13,18,5,PM -Port Marianne,4
Permis de Construire,"19,7",118,25/02/2009,Favorable,,,,,,,,,,,,MC -Figuerolles,1
Permis de Construire,"23,27",314,20/03/2008,Favorable,1,1,,,,,,,,,,MC -Les Arceaux,7
Permis de Construire,85,343,11/06/2008,Favorable,,,,,,,,,,,,MC -Les Aubes,4
Permis de Construire,239,2011,11/07/2008,Favorable,1,,,,,,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,568,9310,24/09/2008,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
