"FID_","F00_DATE_S","F01_TYPE_D","F03_COORDONNEES_X","F05_COORDONNEES_Y"
1,14/09/2010 14:28,"Autre","3,8572999759","43,6068736383"
2,20/09/2010 14:03,"GIG/GIC","3,8727128932","43,6170843913"
3,20/09/2010 14:08,"Taxi","3,8700145655","43,6167877009"
4,20/09/2010 14:10,"Livraison","3,8700262354","43,6147476974"
5,20/09/2010 14:11,"GIG/GIC","3,8700262354","43,6147310307"
6,20/09/2010 14:12,"Livraison","3,8698812358","43,6146443626"
7,20/09/2010 14:14,"Livraison","3,8696195724","43,6129393573"
8,20/09/2010 14:15,"GIG/GIC","3,8695545724","43,6130176902"
9,20/09/2010 14:15,"GIG/GIC","3,8689979071","43,612877685"
10,20/09/2010 14:18,"Livraison","3,8664845793","43,6124859957"
11,20/09/2010 14:18,"GIG/GIC","3,86640958","43,6121093276"
12,20/09/2010 14:19,"Livraison","3,8668262456","43,612287665"
13,20/09/2010 14:20,"Livraison","3,8672262442","43,6126910026"
14,20/09/2010 14:21,"Livraison","3,8666845767","43,6138376667"
15,20/09/2010 14:23,"Livraison","3,8704479002","43,6154043689"
16,20/09/2010 14:24,"GIG/GIC","3,8739012263","43,6157827327"
17,20/09/2010 14:25,"GIG/GIC","3,87335623","43,6141227252"
18,20/09/2010 14:26,"GIG/GIC","3,872569567","43,6127493827"
19,20/09/2010 14:29,"GIG/GIC","3,864311251","43,6119726423"
20,20/09/2010 14:30,"Livraison","3,8641345846","43,6120526409"
21,20/09/2010 14:31,"Livraison","3,8620995884","43,6121376233"
22,20/09/2010 14:32,"Livraison","3,8626645879","43,6117959609"
23,20/09/2010 14:32,"Livraison","3,8639012523","43,6116809715"
24,20/09/2010 14:33,"GIG/GIC","3,8650462504","43,6114943145"
25,20/09/2010 14:34,"GIG/GIC","3,8655845827","43,6114559858"
26,20/09/2010 14:37,"GIG/GIC","3,8678229157","43,6089876675"
27,20/09/2010 14:38,"Livraison","3,8678379156","43,6090443344"
28,20/09/2010 14:39,"GIG/GIC","3,8690579106","43,6106410148"
29,20/09/2010 14:40,"Taxi","3,8671962492","43,6096309965"
30,20/09/2010 14:43,"GIG/GIC","3,8701179117","43,6086076872"
31,20/09/2010 14:45,"GIG/GIC","3,8707679094","43,6092743608"
32,20/09/2010 14:48,"GIG/GIC","3,8709695736","43,6105293648"
