"Prénom","Nombre","/oo"
"Emma",874,"9.43"
"Lucas",842,"9.09"
"Thomas",749,"8.09"
"Léa",741,"8.00"
"Enzo",740,"7.99"
"Hugo",683,"7.37"
"Manon",674,"7.28"
"Inès",671,"7.24"
"Théo",627,"6.77"
"Mathis",615,"6.64"
"Camille",598,"6.46"
"Clément",577,"6.23"
"Sarah",569,"6.14"
"Tom",565,"6.10"
"Jade",559,"6.03"
"Chloé",554,"5.98"
"Clara",553,"5.97"
"Nathan",553,"5.97"
"Maxime",529,"5.71"
"Alexandre",524,"5.66"
"Léo",510,"5.51"
"Louis",488,"5.27"
"Yanis",484,"5.22"
"Paul",447,"4.83"
"Gabriel",444,"4.79"
"Arthur",441,"4.76"
"Raphaël",433,"4.67"
"Lola",419,"4.52"
"Marie",414,"4.47"
"Eva",411,"4.44"
"Lisa",406,"4.38"
"Jules",405,"4.37"
"Anaïs",395,"4.26"
"Mathilde",375,"4.05"
"Quentin",371,"4.00"
"Adam",369,"3.98"
"Mohamed",368,"3.97"
"Romain",362,"3.91"
"Lou",361,"3.90"
"Lucie",360,"3.89"
"Baptiste",355,"3.83"
"Carla",355,"3.83"
"Juliette",354,"3.82"
"Océane",354,"3.82"
"Laura",351,"3.79"
"Antoine",338,"3.65"
"Lena",336,"3.63"
"Nicolas",330,"3.56"
"Julie",325,"3.51"
"Axel",324,"3.50"
