"AREA,N,19,8","PERIMETER,N,19,8","COULEUR,C,25","TYPE,C,254","INDICE_1,C,254","INDICE_2,C,254","AREA_1,N,19,11","LEN,N,19,11"
0,0,,"Quartier des Près d'Arènes",,"DCM n°44 du 30 mars 2006","907946,844684","6127,90429588"
0,0,,"Secteur Hameau de la Cavalade","projet de travaux publics","DCA n°8785 en date du 23 mars 2009","73290,3748537","1338,00248131"
0,0,,"Plateau de la Pompignane",,"DCM n°142 du 28 mars 2011","475321,808484","2969,45563756"
0,0,"5","réalisation de la","deuxième ligne du tramway","DCA n°4502 en date du 23 novembre 2001","2057354,40395","36297,6188863"
0,0,"4","dédoublement","autoroute A9","AP n° 2002-I-3417 en date du 15 juillet 2002","822884,680923","7138,53098109"
0,0,,"extension de la première ligne du tramway","et troisième ligne de tramway","DCA n°6916 en date du 20 mars 2006","2049991,89049","39220,4426161"
0,0,,"Secteur quai des Tanneurs",,"DCM n°318 en date du 26 juillet 2010","8105,2160228","613,681956157"
0,0,," Secteur Campus",,"DCM n°8 en date du 9 février 2009","7681689,7682","20260,0588991"
0,0,,"Ilot Saint Lazare",,"DCM n°150 en date du 3 mai 2010","14592,1368186","688,694660658"
0,0,,"Secteur Blanquette -","Thomassy - Plan des Quatre Seigeurs","DCM n° 220 en date du 22 juin 2009","1317380,97183","6105,50296536"
0,0,,"projet d'extension","du parc d'activités GAROSUD","DCA n° 5230 du 27 juin 2003","205458,78389","2242,61315793"
0,0,,"Secteur de la copropriété des Cévennes",,"DCM n°321 en date du 26 juillet 2010","89172,9028784","1588,14343224"
0,0,,"liaison entre le rond-point C. de Gaulle","et le giratoire B. Franklin","DCA n°6612 du 19 juillet 2005","37167,0637325","1098,37434199"
0,0,,"Quartier Croix d'Argent","secteur Poutingon","DCM n° 219 en date du 22 juin 2009","299451,816887","2684,31299876"
0,0,,"nouvelle gare centrale","de Montpellier","DCM n°56 en date du 5 novembre 2001","356358,536296","3408,27025739"
0,0,"5","Entrée de ville","Route de Nîmes","DCM n°239 en date du 24 avril 2008","189820,696708","2911,27761941"
0,0,,"projet de création d'un pôle tertiaire","secteur ""entrée EST""","DCA n°9371 en date du 12 février 2010","636680,276408","4285,41287889"
0,0,"5","Port Marianne","Secteur de la Baume","DCM n°241 en date du 24 avril 2008","62015,1940294","1717,51958252"
0,0,"3","déviation à l'est de Montpellier","des RN 110 et RN 113 vers le chemin de la Vielle Poste","AP n°2005.01.1740 du 8 juillet 2005","736585,197342","5098,80307877"
0,0,,"Secteur Mosson sud","tour d'Assas","DCM n°306 en date du 27 juillet 2009","41143,5339869","879,241339808"
0,0,,"Secteur ""Ilot Vergnes""","(rue Adam de Craponne)","DCM n° 317 en date du 26 juillet 2010","13856,5929645","477,30271297"
0,0,,"Centre de quartier","de la Pompignane","DCM n° 141 du 28 mars 2011","90829,7548838","1543,70940459"
0,0,,"EAI","Ecole d'Application de l'Infanterie","DCM n°617 en date du 22 décembre 2008","506296,692342","3391,36871009"
