"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
849,Mosson / Franchissement,Aucun,"3,8172591287346","43,6164646094869"
730,Justice / Cétoines,Aucun,"3,8752716888539","43,6266311954968"
731,Justice / Pioch De Boutonnet,Aucun,"3,87727088594569","43,6261074493107"
732,Justice / Tourterelles,Aucun,"3,8792038752874","43,6256437268087"
733,Justice / Montasinos,Partiel,"3,88237138184634","43,6260312726532"
605,Castelnau / Montasinos,Aucun,"3,88281168739779","43,6222143779359"
622,Liberté / Forgues / Tédenat,Aucun,"3,85280013554476","43,6088211467742"
721,Rimbaud / Carrieu / St Clément,Partiel,"3,84331199461923","43,6177163058435"
720,Alco / Carrieu / Bringuier,Aucun,"3,8410509106141","43,6162333007612"
819,Alco / Paul Rimbaud,Aucun,"3,83943467404807","43,6178913194268"
601,Boulevard Des Sports / Saint Maur / Novingens,Tout,"3,89361107838115","43,6186287750013"
737,Pont Du Garigliano,Tout,"3,8972849232706","43,6182774608087"
869,Passage Piéton / Ecole Du Lez / Alphonse Juin,Aucun,"3,89826045925467","43,6184596208879"
858,Vieille Poste / Pinville,Tout,"3,90494905652229","43,6134608399336"
857,Vieille Poste / Nobel,Partiel,"3,91039663785747","43,6161811715953"
860,Einstein / Becquerel,Aucun,"3,914918566853","43,6105165326184"
859,Einstein / Nobel,Aucun,"3,91244214054194","43,6100091962339"
740,Passage Piéton / Ecole Painlevé,Aucun,"3,8985059520348","43,6112007055854"
741,Pompignane / Vieille Poste,Partiel,"3,89885202304681","43,6099234091351"
611,Agriculture / Las Sorbès,Aucun,"3,85625439068688","43,6155831518403"
610,Gaillarde / Las Sorbès,Aucun,"3,85808307837185","43,616117125303"
505,Assas / Roumieux,Aucun,"3,86290011137934","43,6156787250967"
626,Figairasse                     ( Passage Alterné ),Aucun,"3,85373808827921","43,6054630388666"
735,Justice / Roqueturière,Aucun,"3,88956896241733","43,6268343571365"
722,Rimbaud / Allées Rubens,Partiel,"3,84616895453326","43,6186487584804"
327,Mermoz / Montmorency,Partiel,"3,89044601673202","43,6103112103767"
326,Mermoz / Sémalen,Partiel,"3,88945317677404","43,6121597070436"
507,Assas / Saint-Louis,Aucun,"3,86642561087324","43,613505913729"
108,Jeu De Paume / Grand Rue,Aucun,"3,87595715968048","43,6066101249373"
109,Observatoire / Anatole France / République,Aucun,"3,87723647640548","43,6062131989451"
510,Renouvier / Place Chaptal,Partiel,"3,86773391948088","43,6035037055543"
835,Soulas / Saint Priest,Aucun,"3,84548233791834","43,6287667211102"
834,Soulas / Muscadet / Aramon,Aucun,"3,8472120415153","43,6272199296206"
851,Mende / Fac De Lettres,Partiel,"3,86835345881668","43,6321653806983"
887,Mende / Lycée Agricole,Aucun,"3,86255596924717","43,6457903893969"
101,Verdanson / Proudhon,Aucun,"3,88135741121148","43,6148301823836"
832,Passage Piéton / Soulas / Les deux Ruisseaux,Aucun,"3,85246009101051","43,6245071886412"
831,Soulas / Eucalyptus,Tout,"3,85456186219839","43,6226752386979"
724,Marès / Voie Domitienne / Soulas,Partiel,"3,8577953667677","43,6206724286216"
504,Passage Piéton / Assas / Bartholdi,Aucun,"3,85920499436675","43,6183865091187"
816,Place Robert Schuman,Aucun,"3,81799778898463","43,6202543375367"
817,Europe / Cos,Aucun,"3,81868934486709","43,6215206580805"
805,Liberté / Les Grezes,Partiel,"3,82864012778786","43,6113089738335"
806,Bouisse / Mr Teste,Aucun,"3,83128024933207","43,6102939346513"
804,Monsieur Teste / Eiffel,Aucun,"3,83486162326191","43,6082103937484"
401,Clémenceau / Carlencas,Partiel,"3,87197251966456","43,6032915664074"
400,Place Rondelet / Maurin / Bonnié,Partiel,"3,87475020517932","43,6031896586582"
310,Alger / Levat / Grand Saint Jean,Aucun,"3,87775373698165","43,6043797101622"
307,Place Carnot,Partiel,"3,88253841746272","43,6030997898047"
306,Palavas / Strasbourg / Lattes,Partiel,"3,88458457457043","43,6033319463634"
657,Palavas / Iris,Aucun,"3,88526201059564","43,5991052539786"
655,Dubout / Antonelli,Aucun,"3,88978186109996","43,5989503397734"
647,Prés D'Arènes / Tulipes,Aucun,"3,87927657300845","43,5942040960272"
648,Prés D'Arènes / Lesseps / Prés D'Hermès,Aucun,"3,87957723105474","43,5931180087639"
649,Prés D'Arènes / Pivoines,Aucun,"3,88002121495646","43,5925074607861"
513,Berthelot / Maurin,Partiel,"3,87563133679312","43,5997432197027"
512,Berthelot / Ernest Michel,Aucun,"3,87339715961368","43,5993831968055"
639,Angoulême / Saint Cléophas,Tout,"3,87112124585358","43,5979234961635"
642,Maurin / Pédro De Luna,Partiel,"3,87475159635105","43,5929796276359"
650,Prés D'Arènes / Yuccas,Aucun,"3,88475553517015","43,5906198075126"
651,Prés D'Arènes / Industrie,Aucun,"3,88571755240912","43,5902719966215"
652,Industrie / Fabre De Morlhon,Aucun,"3,884787884486","43,5890750654943"
640,Pedro De Luna / Chartier-Alain,Aucun,"3,86966764964629","43,5951117411336"
638,Angoulême / Pédro De Luna,Partiel,"3,86832358823473","43,5958407552494"
715,Pavelet / Trancavel,Aucun,"3,85847937560956","43,5872033979253"
714,Pavelet / Angoulême,Aucun,"3,85940300117464","43,5849883326055"
644,Angoulême / Bounin / Colucci,Aucun,"3,8656456365229","43,5882849753173"
713,Pavelet / Cholet / Méhul,Aucun,"3,86333521867183","43,5822447331989"
712,Pavelet / Castelle,Aucun,"3,86911467702145","43,5797559418665"
707,Palavas / Leclerc,Aucun,"3,88997810357024","43,5911866790892"
311,Gambetta / Clémenceau,Aucun,"3,87513774329439","43,6053477154455"
729,Justice / Major Flandre,Aucun,"3,87296620572885","43,6270087383005"
734,Justice / Mas De Calenda,Aucun,"3,88446537191243","43,6262551078847"
209,Durand / Pagézy,Aucun,"3,87902653401605","43,6046739162526"
828,Gimel / Grabels / Puech Villa,Partiel,"3,82855077573707","43,639430086514"
826,Europe / Gimel / Raimbaud D'Orange,Aucun,"3,82254438477077","43,6374347305167"
844,Ganges / Pic Saint Loup / Lyre,Aucun,"3,84736944448788","43,6386095029004"
912,Europe / Biterrois / Albigeois,Aucun,"3,82255677116527","43,6326553933221"
822,Barcelone / Oxford / Heidelberg / Bologne,Aucun,"3,81758138946117","43,6270533834112"
900,Barcelone / Leyde,Aucun,"3,81744322449284","43,6237213123156"
902,Barcelone / Saragosse,Aucun,"3,8175102953424","43,6246468404941"
904,Barcelone / Cambridge,Aucun,"3,81758733864141","43,6258812969253"
906,Bologne / Tipasa,Aucun,"3,81761666629831","43,6290480523068"
908,Pont Badie / Centre Commercial / Station St Paul,Aucun,"3,82213674140822","43,6305505161525"
824,Europe / Guilhem De Poitiers / Agathois,Aucun,"3,82256110038392","43,634412606275"
914,Pr. Viala / Grabels / 18 Juin 1940,Aucun,"3,8313401726372","43,6369040749592"
