"TYPE,C,16","COMENT,C,80","SURFACE,N,19,8","INDICE_1,C,80","INDICE_2,C,80","AREA,N,19,11","LEN,N,19,11"
AC2S_C,Site Classé,"14149,192",AC2,,"14160,0144372","575,889457238"
AC2S_C,Site Classé,"48688,435",AC2,,"48726,461967","1076,88689165"
AC2S_C,Site Classé,"1218,22",AC2,,"1219,17347556","154,722994486"
AC2S_C,Site Classé,"11236,751",AC2,,"11245,5945415","436,791117172"
AC2S_C,Site Classé,"60623,673",AC2,,"60672,1052402","1247,57070579"
AC2S_C,Site Classé,"7937,451",AC2,,"7944,02660392","472,968439903"
AC2S_C,Site Classé,"45250,442",AC2,,"45286,4980339","1916,4822825"
AC2S_C,Site Classé,"37284,64",AC2,,"37313,0991762","801,774152639"
AC2S_I,Site Inscrit,0,AC2,,"58252,6053823","1250,44303333"
AC2S_I,Site Inscrit,0,AC2,,"45797,4752888","1732,75371652"
AC2S_I,Site Inscrit,0,AC2,,"70733,906529","1607,49894941"
AC2S_I,Site Inscrit,0,AC2,,"38188,6867522","932,218270457"
AC2S_I,Site Inscrit,0,AC2,,"14596,3248131","479,417081296"
AC2S_I,Site Inscrit,0,AC2,,"149693,51506","2627,14456871"
AC2S_I,Site Inscrit,0,AC2,,"67461,3391592","2817,49260741"
AC2S_I,Site Inscrit,0,AC2,,"35,187004325","421,338261868"
AC2S_C,Site Classé,0,AC2,,"432164,040642","2886,33772118"
AC2S_C,Site Classé,0,AC2,,"622638,502015","10376,002068"
AC2S_C,Site Classé,84774,AC2,,"84773,709511","1284,3421393"
AC2S_I,Site Inscrit,0,AC2,,"1815912,99849","8142,07260024"
