"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
"DOUBLE SENS","340172","Publique",,293,348,"44,70000076",,0,0,0,0,"FILAIRE_293",,0,"2693",,,,,0,0,349,,"N",,,"44,7673090315",
"SENS UNIQUE","340172","Publique",,294,341,"156,1000061",,0,0,0,0,"FILAIRE_294",,0,"2963",,,,,0,0,337,,"N",,,"156,195237469",
"DOUBLE SENS","340172","Privée",,295,7758,"94,80000305",,0,0,0,0,"FILAIRE_295",,0,"2941",,,,,0,0,7757,,"N","SERM","BLAISE PASCAL","94,8429803125",
"SENS UNIQUE","340172","Publique",,296,350,"38,09999847","Parcelle ex-SERM vendu à la Ville le 20/12/2007",0,0,0,0,"FILAIRE_296",,0,"2442",,,,,0,0,7658,,"N",,"BLAISE PASCAL","38,157609116",
"DOUBLE SENS","340172","Publique",,119,137,"38,09999847",,0,0,0,0,"FILAIRE_119",,0,"579",,,,,0,0,136,,"N",,,"38,1401278856","vert"
"DOUBLE SENS","340172","Publique",,120,137,72,,0,0,0,0,"FILAIRE_120",,0,"1824",,,,,0,0,138,,"N",,,"72,0168417643",
"DOUBLE SENS","340172","Publique",,121,138,"38,5",,0,0,0,0,"FILAIRE_121",,0,"2148",,,,,0,0,132,,"N",,,"38,508866482",
"DOUBLE SENS","340172","Publique",,122,81,"49,09999847",,0,0,0,0,"FILAIRE_122",,0,"2148",,,,,0,0,138,,"N",,,"49,1059554899",
"SENS UNIQUE","340172","Publique",,123,139,"48,70000076",,0,0,0,0,"FILAIRE_123",,0,"1108",,,,,0,0,37,,"N",,,"48,7200394521",
"SENS UNIQUE","340172","Publique",,124,47,"62,09999847",,0,0,0,0,"FILAIRE_124",,0,"1108",,,,,0,0,139,,"N",,,"62,113432368",
"DOUBLE SENS","340172","Publique",,125,140,"32,79999924",,0,0,0,0,"FILAIRE_125",,0,"1640",,,,,0,0,141,,"N",,,"32,8375687518",
"DOUBLE SENS","340172","Publique",,126,141,"156,3999939",,0,0,0,0,"FILAIRE_126",,0,"1640",,,,,0,0,142,,"N",,,"156,493878646",
"DOUBLE SENS","340172","Publique",,127,143,"49,70000076",,0,0,0,0,"FILAIRE_127",,0,"1631",,,,,0,0,144,,"N",,,"49,7198077934",
"DOUBLE SENS","340172","Publique",,128,143,"62,20000076",,0,0,0,0,"FILAIRE_128",,0,"2152",,,,,0,0,145,,"N",,,"62,2482297441",
"SENS UNIQUE","340172","Publique",,129,147,"9,89999962",,0,0,0,0,"FILAIRE_129",,0,"1627",,,,,0,0,14497,,"N",,,"9,8714184472","orange"
"SENS UNIQUE","340172","Publique",,130,149,"156,1000061",,0,0,0,0,"FILAIRE_130","Piéton",0,"1400",,,,,0,0,148,,"N",,,"156,136353769",
"DOUBLE SENS","340172","Privée",,131,150,"99,30000305",,0,0,0,0,"FILAIRE_131",,0,"2297",,,,,0,0,151,,"N",,,"99,3835725525",
"DOUBLE SENS","340172","Publique",,132,152,"44,09999847",,0,0,0,0,"FILAIRE_132",,0,"1640",,,,,0,0,153,,"N",,,"44,123233268",
"DOUBLE SENS","340172","Privée",,133,154,61,,0,0,0,0,"FILAIRE_133",,0,"1041",,,,,0,0,153,,"N",,,"61,0658699276",
"DOUBLE SENS","340172","Privée",,134,155,"39,5",,0,0,0,0,"FILAIRE_134",,0,"1224",,,,,0,0,154,,"N",,,"39,4932928692",
"DOUBLE SENS","340172","Publique",,135,156,"54,59999847",,0,0,0,0,"FILAIRE_135",,0,"2259",,,,,0,0,157,,"N",,,"54,629670972",
"DOUBLE SENS","340172","Publique",,136,158,"63,40000153",,0,0,0,0,"FILAIRE_136",,0,"441",,,,,0,0,159,,"N",,,"63,3843925479",
"SENS UNIQUE","340172","Publique",,137,160,"107,19999695",,0,0,0,0,"FILAIRE_137",,0,"441",,,,,0,0,159,,"N",,,"107,220161196",
"DOUBLE SENS","340172","Publique",,138,161,"76,09999847",,0,0,0,0,"FILAIRE_138",,0,"1529",,,,,0,0,162,,"N",,,"76,1306338552",
"DOUBLE SENS","340172","Publique",,139,144,"61,79999924",,0,0,0,0,"FILAIRE_139",,0,"974",,,,,0,0,163,,"N",,,"61,7866737432",
"DOUBLE SENS","340172","Publique",,140,163,"83,5",,0,0,0,0,"FILAIRE_140",,0,"930",,,,,0,0,164,,"N",,,"83,5726855456",
"DOUBLE SENS","340172","Publique",,141,164,"174,6000061",,0,0,0,0,"FILAIRE_141",,0,"1355",,,,,0,0,165,,"N",,,"174,63954063",
"DOUBLE SENS","340172","Publique",,142,165,"25,89999962",,0,0,0,0,"FILAIRE_142",,0,"1355",,,,,0,0,166,,"N",,,"25,8838321492",
"DOUBLE SENS","340172","Publique",,143,73,"14,10000038",,0,0,0,0,"FILAIRE_143",,0,"1777",,,,,0,0,167,,"N",,,"14,0658279962",
"SENS UNIQUE","340172","Privée",,253,305,"58,79999924",,0,0,0,0,"FILAIRE_253",,0,"2979",,,,,0,0,8557,,"O",,,"58,8407223083",
"DOUBLE SENS","340172","Publique",,254,308,"55,70000076","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_254",,0,"2165",,,,,0,0,306,,"N",,,"55,7564671266",
"DOUBLE SENS","340172","Publique",,255,309,"30,70000076","Classée par acte notarié en mars 2003",0,0,0,0,"FILAIRE_255",,0,"2224",,,,,0,0,310,,"N",,,"30,7032493142",
"DOUBLE SENS","340172","Publique",,256,310,"141,1000061","Classée par acte notarié en mars 2003",0,0,0,0,"FILAIRE_256",,0,"2224",,,,,0,0,311,,"N",,,"141,204056708",
"DOUBLE SENS","340172","Publique",,257,310,"140,3999939","Classée par acte notarié en mars 2003",0,0,0,0,"FILAIRE_257",,0,"2276",,,,,0,0,311,,"N",,,"140,431452771",
"DOUBLE SENS","340172","Publique",,258,306,"28,70000076","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_258",,0,"2165",,,,,0,0,8519,,"N",,,"28,6965775064",
"DOUBLE SENS","340172","Publique",,259,8537,"32,5","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_259",,0,"2207",,,,,0,0,313,,"N",,,"32,5070400083",
"DOUBLE SENS","340172","Publique",,260,314,"24,29999924","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_260",,0,"2202",,,,,0,0,315,,"N",,,"24,2889613796",
"DOUBLE SENS","340172","Publique",,261,316,"75,09999847","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_261",,0,"2203",,,,,0,0,315,,"N",,,"75,0934165144",
"DOUBLE SENS","340172","Publique",,262,315,"32,59999847","Classée par acte notarié le 15/02/2008",0,0,0,0,"FILAIRE_262",,0,"2202",,,,,0,0,309,,"N",,,"32,6149256118",
"DOUBLE SENS","340172","Publique",,263,307,"161,5","Classée par acte notarié en Fév. 96",0,0,0,0,"FILAIRE_263",,0,"1655",,,,,0,0,317,,"N",,,"161,531508249",
"DOUBLE SENS","340172","Privée",,264,318,"50,5",,0,0,0,0,"FILAIRE_264",,0,"2434",,,,,0,0,319,,"N",,,"50,5570209775",
"DOUBLE SENS","340172","Privée",,265,319,"22,20000076",,0,0,0,0,"FILAIRE_265",,0,"2434",,,,,0,0,314,,"N",,,"22,2113372574",
"DOUBLE SENS","340172","Privée",,266,319,"100,40000153",,0,0,0,0,"FILAIRE_266",,0,"2696",,,,,0,0,320,,"N",,,"100,405742683",
"DOUBLE SENS","340172","Privée",,1,1,65,,0,0,0,0,"FILAIRE_1",,0,"2784",,,,,0,0,2,,"N",,,"65,0011367758",
"DOUBLE SENS","340172","Publique",,2,3,78,,0,0,0,0,"FILAIRE_2",,0,"914",,,,,0,0,4,,"N",,,"77,9877588632","vert"
"DOUBLE SENS","340172","Publique",,3,5,24,,0,0,0,0,"FILAIRE_3","Piéton",0,"815",,,,,0,0,4762,,"N",,,"23,9631549526",
"SENS UNIQUE","340172","Publique",,6,12,"100,59999847",,0,0,0,0,"FILAIRE_6",,0,"1251",,,,,0,0,11,,"N",,,"100,689339348","jaune"
"SENS UNIQUE","340172","Publique",,7,13,"61,09999847",,0,0,0,0,"FILAIRE_7",,0,"467",,,,,0,0,14,,"N",,,"61,1357906595","jaune"
"DOUBLE SENS","340172","Privée",,8,15,"33,79999924",,0,0,0,0,"FILAIRE_8",,0,"2784",,,,,0,0,1,,"N",,,"33,7961250631",
"DOUBLE SENS","340172","Publique",,9,16,"39,5",,0,0,0,0,"FILAIRE_9",,0,"864",,,,,0,0,17,,"N",,,"39,4778070475",
"DOUBLE SENS","340172","Publique",,10,18,"69,80000305",,0,0,57,59,"FILAIRE_10",,0,"511",,,,"bis",0,0,4,,"N",,,"69,8270845295","vert"
"DOUBLE SENS","340172","Publique",,11,19,"28,10000038",,0,0,0,0,"FILAIRE_11","Piéton",0,"536",,,,,0,0,20,,"N",,,"28,1546653344",
"DOUBLE SENS","340172","Publique",,13,22,"56,20000076",,0,0,0,0,"FILAIRE_13","Piéton",0,"2043",,,,,0,0,23,,"N",,,"56,193736962",
"DOUBLE SENS","340172","Publique",,14,24,"50,79999924",,0,0,0,0,"FILAIRE_14","Piéton",0,"873",,,,,0,0,25,,"N",,,"50,8364965529",
