"Nom","Nom scientifique","Classe","Ordre","Famille","Zone","Zone détails","Poids","Catégorie","Gestation","Nombre de petits","Longévité","Organismes de protection",,"Points de vue"
"Addax","Addax nasomaculatus (De Blainville)","Mammifère","Artiodactyle","Bovidé","Afrique","Zones arides","80-120 kg","Herbivore","10-11 mois","1","25 ans","UICN/CITES/EEP",,"point1"
"Amazone à ailes orange","Amazona amazonica (Linné)","Oiseau","Psittaciforme","Psittacidé","Amérique du sud","Forêts, mangroves...","300-450 g","Frugivore, Granivore","21 jours d’incubation","2-5","50 ans","UICN/CITES",,"point2"
"Ane de Somalie","Equus africanus (P.L. Sclater)","Mammifère","Périssodactyle","Équidé","Afrique","Zones arides","270-280 kg","Herbivore","11-12 mois","1","20 ans","UICN/CITES/EEP",,"point3"
"Ara ararauna","Ara ararauna (Linné)","Oiseau","Psittaciforme","Psittacidé","Amérique du sud","Forêts chaudes et humides","1-1,7 kg","Granivore, Frugivore","25-28 jours d’incubation","1-3","50-80 ans","UICN/CITES",,"point4"
"Autruche","Struthio camelus (Linné)","Oiseau","Struthioniforme","Struthionidé","Afrique","Savane","60-150 kg","Omnivore","1-2 mois d’incubation","4-8","40 ans","UICN/CITES",,"point5"
"Banteng","Bos javanicus (D’Alton)","Mammifère","Artiodactyle","Bovidé","Asie du sud-est","Forêts","600-900 kg","Herbivore","9 mois","1","10-12 ans","UICN/EEP",,"point2"
"Bharal","Pseudois nayaur (Hodgson)","Mammifère","Artiodactyle","Bovidé","Asie","Montagne","30-80 kg","Herbivore","5 mois","1","15-18 ans","UICN/ESB",,"point3"
"Bongo","Tragelaphus euryceros (Ogilby)","Mammifère","Artiodactyle","Bovidé","Afrique","Forêts","200-300 kg","Herbivore","9 mois","1","20 ans","UICN/EEP",,"point1"
"Calao d’Abyssinie","Bucorvus abyssinicus (Boddaert)","Oiseau","Coraciforme","Bucérotidé","Afrique centrale","Savane","3,5 kg","Carnivore","30 jours d’incubation","2","40 ans","UICN/ESB",,"point3"
"Canard amazonette ou sarcelle du Brésil","Amazonetta brasiliensis (Gmelin)","Oiseau","Ansériforme","Anatidé","Amérique du sud","Terrains inondés, marais","350-480 g","Omnivore","25 jours d’incubation","6-8","8 ans","UICN",,"point4"
"Dendrocygne à ventre noir ou dendrocygne à bec rouge","Dendrocygna autumnalis (Linné)","Oiseau","Ansériforme","Anatidé","Amérique du sud","Milieux humides","600-900 g","Omnivore","26-30 jours d’incubation","12-16","8 ans","UICN/CITES",,"point4"
"Caracal","Caracal caracal (Schreber)","Mammifère","Carnivore","Félidé","Afrique, Moyen-Orient","Zones arides","10-20 kg","Carnivore","2-3 mois","1-4","15 ans","UICN/CITES",,
"Casoar à casque","Casuarius casuarius (Linné)","Oiseau","Struthioniforme","Casuariidé","Océanie","Forêts tropicales","35-70 kg","Omnivore","40-56 jours d'incubation","3-8","60 ans","UICN/ESB",,
"Maki catta","Lemur catta (Linné)","Mammifère","Primate","Lémuridé","Madagascar","Forêts","3 kg","Frugivore","4-5 mois","1-2","20 ans","UICN",,
"Cerf cochon","Axis porcinus (Zimmermann)","Mammifère","Artiodactyle","Cervidé","Asie du sud-est","Lisière des forêts","50 kg","Herbivore","7-8 mois","1","15 ans","UICN/CITES",,
"Cerf du Vietnam","Cervus nippon pseudaxis (Eydoux & Souleyet)","Mammifère","Artiodactyle","Cervidé","Asie du sud-est","Forêts","75-100 kg","Herbivore","7-8 mois","1","15-20 ans","UICN/EEP",,
"Chauna à collier","Chauna torquata (Oken)","Oiseau","Ansériforme","Anhimidé","Amérique du sud","Zones humides","3-4 kg","Herbivore","45 jours d'incubation","4-6","30 ans","UICN",,
"Cobe de Mrs Gray","Kobus megaceros (Fitzinger)","Mammifère","Artiodactyle","Bovidé","Afrique","Zones humides","60-120 kg","Herbivore","7-8 mois","1","10 ans","UICN/EEP",,
"Damalisque à front blanc","Damaliscus pygargus phillipsi (Harper)","Mammifère","Artiodactyle","Bovidé","Afrique","Savane","60-80 kg","Herbivore","7-8 mois","1","15 ans","UICN/ESB",,
"Dik-dik de Kirk","Madoqua kirkii (Günther)","Mammifère","Artiodactyle","Bovidé","Afrique","Steppes, plaines...","3-5 kg","Herbivore","4-5 mois","1","10 ans","UICN/ESB",,
"Dromadaire","Camelus dromedarius (Linné)","Mammifère","Artiodactyle","Camélidé","Afrique du nord","Désert","450-650kg","Herbivore","12-14 mois","1","25 ans",,,
"Eland du Cap","Tragelaphus oryx (Pallas)","Mammifère","Artiodactyle","Bovidé","Afrique","Savane","400-800 kg","Herbivore","9 mois","1","20 ans","UICN",,
"Emeu","Dromaius novaehollandiae (Lathaus)","Oiseau","Struthioniforme","Dromaiidé","Océanie","Savane","30-45 kg","Omnivore","56 jours d'incubation","3-8","60 ans","UICN",,
"Fossa","Cryptoprocta ferox (Bennett)","Mammifère","Carnivore","Eupléridé","Madagascar","Forêts","7-12 kg","Carnivore","4 mois","2-4","18 ans","UICN/CITES/EEP",,
"Gazelle de Mhorr","Nanger dama (Bennett)","Mammifère","Artiodactyle","Bovidé","Afrique du nord","Zones arides","40-75 kg","Herbivore","6-7 mois","1","12 ans","UICN/CITES/EEP",,
"Girafe de Rothschild","Giraffa camelopardalis rothschildi (Lydekker)","Mammifère","Artiodactyle","Giraffidé","Afrique","Savane","950-1500 kg","Herbivore","15 mois","1","25 ans","UICN/EEP",,
"Grue antigone","Grus antigone (Linné)","Oiseau","Gruiforme","Gruidé","Asie du sud-est","Zones humides","8 kg","Omnivore","31-34 jours d'incubation","2-3","25 ans","UICN/CITES",,
"Grue royale","Balearica regulorum (Bennett)","Oiseau","Gruiforme","Gruidé","Afrique","Zones humides","3-4 kg","Omnivore","1 mois d'incubation","1-3","30 ans","UICN/CITES",,
"Guépard","Acinonyx jubatus (Schreber)","Mammifère","Carnivore","Félidé","Afrique, Moyen-Orient","Savane, brousse","36-65 kg","Carnivore","3-4 mois","3-4","15 ans","UICN/CITES/EEP",,
"Hapalémur gris du lac d’Alaotra","Hapalemur alaotrensis (Rumpler)","Mammifère","Primate","Lémuridé","Madagascar","Forêts humides","1500 gr","Folivore","4-5 mois","1","25 ans","UICN/CITES/EEP",,
"Hippotrague noir","Hippotragus niger (Harris)","Mammifère","Artiodactyle","Bovidé","Afrique du sud","Forêts, savane","230-270kg","Herbivore","9 mois","1","15 ans","UICN/CITES/ESB",,
"Ibis rouge","Eudocimus ruber (Linné)","Oiseau","Ciconiiforme","Threskiornithidé","Amérique du sud","Mangroves, lagunes...","700-900 g","Omnivore","19-23 jours d'incubation","3-5","15 ans","UICN/CITES",,
"Petit koudou","Tragelaphus imberbis (Blyth)","Mammifère","Artiodactyle","Bovidé","Afrique de l'est","Brousse","60-110 kg","Herbivore","7 mois","1","20 ans","UICN/ESB",,
"Lion de l’Atlas","Panthera leo leo (Linné)","Mammifère","Carnivore","Félidé","Afrique du nord","Forêts du massif de l'Atlas","170-200 kg","Carnivore","3-4 mois","1-6","15 ans",,,
"Loup ibérique","Canis lupus signatus (Burchell)","Mammifère","Carnivore","Canidé","Europe","Forêts","25-55 kg","Carnivore","2 mois","3-8","15 ans","UICN/CITES/EEP",,
