"Liste des animaux du parc zoologique de Montpellier ",,,
,,,
"Certaines espèces menacées font l’objet de programmes particuliers :",,,
,,,
"·   EEP (Programme Européen d’Elevage) : Programme concerté entre les parcs zoologiques adhérents à l’EAZA (Association Européenne des Zoos et Aquariums), en vue de développer la reproduction d’une espèce menacée.",,,
,,,
"·   ESB (European StudBook) : Liste de recensement d’une espèce ""sensible"" présente dans les parcs zoologiques membres de l’EAZA, en vue de mettre en place un EEP.  ",,,
,,,
,,,
,,,
"Indicateurs de zones géographiques : Vous retrouverez ces couleurs dans le parc zoologique sur les silhouettes et les supports des panneaux pédagogiques, elles indiquent l’origine géographiques des espèces présentées.   ",,,
,,,
"? Afrique du nord ; ? Afrique et/ou Madagascar ; ? Eurasie ; ? Amérique du sud ; ? Océanie   ",,,
,,,
"? Amérique du nord",,,
,,,
"? Espèces présentes dans la serre amazonienne ",,,
,,,
"Mammifères",,,
"Nom courant","Nom scientifique","EEP","ESB"
"? Addax ? ","Addax nasomaculatus","EEP",
"? Agouti doré   ","Dasyprocta leporina",,
"? Ane de Somalie ","Equus asinus somalicus","EEP",
"? Banteng ","Bos javanicus","EEP",
"? Bharal ","Pseudois nayaur",,"ESB"
"? Bongo ","Tragelaphus euryceros isaaci","EEP",
"? Caracal ","Caracal caracal",,
"? Cerf cochon ","Axis porcinus",,
"? Cerf du Vietman ou sika du Tonkin ","Cervus nippon pseudaxis","EEP",
"? Chauve souris de Seba","Carollia perspicillata",,
"? Cobe de Mrs Gray ","Kobus megaceros","EEP",
"? Coendou","Coendou prehensilis",,
"? Cryptoprocte ou fossa ","Cryptoprocta ferox","EEP",
"? Damalisque à front blanc ","Damaliscus dorcas phillipsi",,"ESB"
"? Douroucouli à ventre gris","Aotus lemurinus griseimembra",,"ESB"
"? Dromadaire ","Camelus dromedarius",,
"? Eland du Cap ","Taurotragus oryx",,
"? Gazelle de Mhorr ","Gazella dama mhorr","EEP",
"? Grand fourmilier ou tamanoir","Myrmecophaga tridactyla","EEP",
"? Guanaco ","Lama guanicoe",,
"? Hapalémur du lac d’Alaotra","Hapalemur griseus alaotrensis","EEP",
"? Guépard ","Acinonyx jubatus","EEP",
"? Hippotrague noir ","Hippotragus niger",,"ESB"
,,,
"? Lémur aux yeux turquoise ","Eulemur macaco flavifrons","EEP",
"? Lémur couronné ","Eulemur coronatus",,"ESB"
"? Lémur de Mayotte ","Lemur fulvus mayottensis",,
"? Lémur maki catta ","Lemur catta ",,"ESB"
"? Lémur mongoz ","Eulemur mongoz","EEP",
"? Lémur vari blanc et noir ","Varecia variegata variegata","EEP",
"? Lémur vari roux ","Varecia variegata rubra","EEP",
"? Lion de l'Atlas ","Panthera leo leo",,
"? Loup à crinière ","Chrysocyon brachyurus","EEP",
"? Loup ibérique ","Canis lupus signatus","EEP",
"? Loutre d'Europe ","Lutra lutra","EEP",
"? Lycaon","Lycaon pictus pictus","EEP",
"? Lynx ","Lynx lynx ",,"ESB"
"? Macaque magot ","Macaca sylvanus",,
"? Microcèbe ","Microcebus murinus",,"ESB"
"? Mouflon à manchettes ","Ammotragus lervia",,
"? Muntjac chinois ","Muntiacus reevesi",,
"? Nyala ","Tragelaphus angasii",,"ESB"
"? Ocelot","Leopardus pardalis",,
"? Onagre de Perse ","Equus onager","EEP",
"? Oryx algazelle ","Oryx dammah","EEP",
"? Oryx d'Arabie ","Oryx leucoryx","EEP",
"? Ouistiti argenté","Callithrix argentata argentata",,"ESB"
"? Ours brun de Syrie ","Ursus arctos syriacus",,
"? Paca","Agouti paca",,
"? Paresseux à deux doigts","Choloepus didactylus",,"ESB"
"? Petit koudou ","Tragelaphus imberbis",,"ESB"
"? Petit tenrec","Echinops telfairi",,
"? Rhinocéros blanc du sud ","Ceratotherium simum simum","EEP",
"? Saïmiri à tête noire","Saïmiri boliviensis boliviensis","EEP",
"? Saki à face blanche","Pithecia pithecia","EEP",
"? Singe hurleur","Alouatta caraya",,"ESB"
"? Takin du Tibet","Budorcas taxicolor",,
"? Tamarin à mains rousses","Saguinus midas","EEP",
"? Tamarin de Goeldi","Callimico goeldii","EEP",
"? Tapir terrestre ","Tapirus terrestris","EEP",
"? Tatou à 6 bandes ","Euphractus sexcintus ",,
"? Vigogne ","Vicugna vicugna","EEP",
"? Zèbre de Grévy ","Equus grevyi","EEP",
"Total 63 espèces de mammifères",,"30 EEP","14 ESB"
,,,
"Oiseaux",,,
"Nom courant","Nom scientifique","EEP","ESB"
"? Agami trompette","Psophia crepitans",,
"? Amazone à ailes orange","Amazona amazonica",,
"? Amazonette du Brésil","Amazonetta brasiliensis",,
"? Ara bleu","Ara ararauna",,
"? Ara macao","Ara macao",,
"? Autruche","Struthio camelus",,
"? Bernache nonnette","Branta leucopsis",,
"? Calao","Bucorvus abyssinicus",,
"? Canard à bec tacheté","Anas poecilorhyncha",,
"? Canard caronculé","Sarkidiornis melanotos",,
"? Canard mandarin","Aix galericulata",,
"? Canard pilet","Anas acuta",,
"? Casoar","Casuarius casuarius",,"ESB"
"? Cassique à dos rouge","Cacicus uropygialis",,
"? Cassique huppé","Psarocolius decumanus",,
"? Caurale soleil","Eurypyga helias",,"ESB"
"? Chauna","Chauna torquata",,
"? Dendrocygne à bec rouge","Dendrocyna autumnalis",,
"? Dendrocygne fauve","Dendrocygna bicolor",,
"? Dendrocygne veuf","Dendrocygna viduata",,
"? Emeu","Dromaius novaehollandiae",,
"? Fuligule nyroca ?","Aythya nyroca",,
"? Grand hocco","Crax rubra",,
"? Grue demoiselle","Anthropoides virgo",,
"? Guira cantara","Guira guira",,
"? Ibis rouge","Eudocimus ruber",,
"? Marabout","Leptoptilos crumeniferus",,"ESB"
"? Merle métallique pourpré","Lamprotornis purpureus",,
"? Motmot houtouc","Momotus momota",,
"? Nandou","Rhea americana",,
"? Nette rousse","Netta rufina",,
"? Oie à tête barrée","Anser indicus",,
"? Ouette de l’Orénoque","Neochen jubata",,
"? Paon bleu","Pavo cristatus",,
"? Perroquet vasa","Coracopsis vasa",,
"? Pintade de Numidie","Numida meleagris",,
"? Râle ypécaha","Aramides ypecaha",,
"? Sarcelle d’été","Anas querquedula",,
"? Sarcelle d’hiver","Anas crecca",,
"? Savacou huppé","Cholchlearius colchlearius",,
"? Tadorne casarca","Tadorna ferruginea",,
"? Tangara du Brésil","Ramphocelus bresilius",,
"? Toucan à bec rouge","Ramphastos tucanus",,
"? Touraco pauline","Tauraco erythrolophus",,
"? Tourterelle peinte","Streptopelia picturata",,
"? Troupiale à tête rouge","Amblyramphus holosericeus",,
"? Tyran","Pitangus lictor",,
,,,
"Total 47 espèces d’oiseaux",,,"3 ESB"
,,,
"Reptiles",,,
"Nom courant","Nom scientifique","EEP","ESB"
"? Anaconda vert","Eunectes murinus",,
"? Basilic vert","Basiliscus plumifrons",,
"? Boa arboricole d’Amazonie","Corallus hortulanus",,
"? Boa canin","Corallus caninus",,
"? Boa constricteur","Boa constritor",,
"? Boa de Madagascar","Acrantophis madagascariensis",,
"? Caïman à lunettes","Caiman crocodilus",,
"? Iguane vert","Iguana iguana",,
"? Lézard caïman","Dracaena guianensis",,
"? Matamata","Chelus fimbriatus",,
"? Platémyde de Geoffroy","Phrynops geoffroanus",,
"? Python royal","Python regius",,
"? Téju commun","Tupinambis teguixin",,
"? Tortue boueuse rayée","Kinosternon baurii",,
"? Tortue charbonnière à pattes jaunes","Geochelone denticulata",,
"? Tortue charbonnière à pattes rouges","Geochelone carbonaria",,
"? Tortue de Floride","Trachemys scripta elegans",,
"? Tortue de rivière à tâches jaunes","Podocnemis unifilis",,
"? Tortue grecque","Testudo graeca",,
"? Tortue léopard","Geochelone pardalis",,
"Total 19 espèces de reptiles",,,
,,,
"Amphibiens : grenouilles, salamandres…",,,
"Nom courant","Nom scientifique","EEP","ESB"
